paper,dataset_name,condition_name,model_name,paper_metric_name,local_metric_name,paper_value,local_value,abs_relative_gap_pct,within_threshold
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_1_35Hz12kN,Feature-Transformer,rmse,normalized_rmse,0.0885,0.0590133068496429,33.31829734503625,True
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_1_35Hz12kN,Feature-Transformer,r2,r2,0.9287,0.9586841017127284,3.22861006920733,True
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_1_35Hz12kN,Feature-Transformer,score,phm2012_score,0.9666,58.83630235693556,5986.933825464055,False
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_1_35Hz12kN,LSTM-Transformer,rmse,normalized_rmse,0.0666,0.0898686658418859,34.93793669952846,True
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_1_35Hz12kN,LSTM-Transformer,r2,r2,0.9596,0.9041849157716576,5.774810778276616,True
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_1_35Hz12kN,LSTM-Transformer,score,phm2012_score,0.6788,88.74886301210319,12974.375812036416,False
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_1_35Hz12kN,XLSTM-Transformer,rmse,normalized_rmse,0.0583,0.0645581483485036,10.734388247862116,True
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_1_35Hz12kN,XLSTM-Transformer,r2,r2,0.9691,0.9505553362295004,1.913596509183746,True
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_1_35Hz12kN,XLSTM-Transformer,score,phm2012_score,0.5572,66.83933790370739,11895.573923852726,False
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_2_37_5Hz11kN,Feature-Transformer,rmse,normalized_rmse,0.111,0.1992482685357949,79.50294462684226,False
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_2_37_5Hz11kN,Feature-Transformer,r2,r2,0.8833,0.5334633480116464,39.60564383429793,True
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_2_37_5Hz11kN,Feature-Transformer,score,phm2012_score,4.5334,529.8423728552344,11587.527525813612,False
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_2_37_5Hz11kN,LSTM-Transformer,rmse,normalized_rmse,0.0942,0.2086998954784007,121.54978288577573,False
Jiang et al. 2026 xLSTM-Transformer,XJTU-SY,condition_2_37_5Hz11kN,LSTM-Transformer,r2,r2,0.916,0.4881518718611017,46.70831093219413,True
