experiment_id,dataset,split,task,feature_config,feature_subset,label_config,analysis_source,model_family,model_name,required,metric_primary,metric_secondary,status,notes
xjtu_main_rul_mlp_full_manual_basic,xjtu_sy,xjtu_bearing_index_split,RUL,manual_basic,full_manual_basic,degradation_three_tasks,StepF,tabular_baseline,mlp,yes,RMSE,MAE|MSE|PercentError,planned,Includes mag__time__rms reference feature
xjtu_main_rul_mlp_full_manual_basic_no_reference,xjtu_sy,xjtu_bearing_index_split,RUL,manual_basic,full_manual_basic_no_reference,degradation_three_tasks,StepF,tabular_baseline,mlp,yes,RMSE,MAE|MSE|PercentError,planned,Excludes mag__time__rms
xjtu_main_rul_mlp_compact_non_label_source,xjtu_sy,xjtu_bearing_index_split,RUL,manual_basic,compact_non_label_source,degradation_three_tasks,StepF|StepH|StepI,tabular_baseline,mlp,yes,RMSE,MAE|MSE|PercentError,planned,Compact amplitude subset without label-source feature
xjtu_main_rul_mlp_compact_with_reference,xjtu_sy,xjtu_bearing_index_split,RUL,manual_basic,compact_with_reference,degradation_three_tasks,StepF|StepH|StepI,tabular_baseline,mlp,yes,RMSE,MAE|MSE|PercentError,planned,Compact subset plus mag__time__rms reference feature
xjtu_main_health_mlp_full_manual_basic,xjtu_sy,xjtu_bearing_index_split,HealthState,manual_basic,full_manual_basic,degradation_three_tasks,StepF,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix,planned,Includes mag__time__rms reference feature
xjtu_main_health_mlp_full_manual_basic_no_reference,xjtu_sy,xjtu_bearing_index_split,HealthState,manual_basic,full_manual_basic_no_reference,degradation_three_tasks,StepF,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix,planned,Excludes mag__time__rms
xjtu_main_health_mlp_compact_non_label_source,xjtu_sy,xjtu_bearing_index_split,HealthState,manual_basic,compact_non_label_source,degradation_three_tasks,StepF|StepH|StepI,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix,planned,Compact magnitude-first subset without label-source feature
xjtu_main_health_mlp_compact_with_reference,xjtu_sy,xjtu_bearing_index_split,HealthState,manual_basic,compact_with_reference,degradation_three_tasks,StepF|StepH|StepI,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix,planned,Compact subset plus mag__time__rms reference feature
xjtu_main_early_mlp_full_manual_basic,xjtu_sy,xjtu_bearing_index_split,EarlyFault,manual_basic,full_manual_basic,degradation_three_tasks,StepF,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix|AUC_if_available,planned,Includes mag__time__rms reference feature
xjtu_main_early_mlp_full_manual_basic_no_reference,xjtu_sy,xjtu_bearing_index_split,EarlyFault,manual_basic,full_manual_basic_no_reference,degradation_three_tasks,StepF,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix|AUC_if_available,planned,Excludes mag__time__rms
xjtu_main_early_mlp_compact_non_label_source,xjtu_sy,xjtu_bearing_index_split,EarlyFault,manual_basic,compact_non_label_source,degradation_three_tasks,StepF|StepH|StepI,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix|AUC_if_available,planned,Condition-sensitive task; compact subset excludes horizontal C-level features by default
xjtu_main_early_mlp_compact_with_reference,xjtu_sy,xjtu_bearing_index_split,EarlyFault,manual_basic,compact_with_reference,degradation_three_tasks,StepF|StepH|StepI,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix|AUC_if_available,planned,Condition-sensitive task; includes mag__time__rms reference feature
phm_official_rul_mlp_full_manual_basic,phm2012,phm2012_official,RUL,manual_basic,full_manual_basic,degradation_three_tasks,StepJ,tabular_baseline,mlp,yes,RMSE,MAE|MSE|PercentError|PHM2012Score_if_available,planned,Includes mag__time__rms reference feature
phm_official_rul_mlp_full_manual_basic_no_reference,phm2012,phm2012_official,RUL,manual_basic,full_manual_basic_no_reference,degradation_three_tasks,StepJ,tabular_baseline,mlp,yes,RMSE,MAE|MSE|PercentError|PHM2012Score_if_available,planned,Excludes mag__time__rms
phm_official_rul_mlp_compact_non_label_source,phm2012,phm2012_official,RUL,manual_basic,compact_non_label_source,degradation_three_tasks,StepJ,tabular_baseline,mlp,yes,RMSE,MAE|MSE|PercentError|PHM2012Score_if_available,planned,Compact horizontal and magnitude amplitude subset
phm_official_rul_mlp_compact_with_reference,phm2012,phm2012_official,RUL,manual_basic,compact_with_reference,degradation_three_tasks,StepJ,tabular_baseline,mlp,yes,RMSE,MAE|MSE|PercentError|PHM2012Score_if_available,planned,Compact subset plus mag__time__rms reference feature
phm_official_health_mlp_full_manual_basic,phm2012,phm2012_official,HealthState,manual_basic,full_manual_basic,degradation_three_tasks,StepJ,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix,planned,Includes mag__time__rms reference feature
phm_official_health_mlp_full_manual_basic_no_reference,phm2012,phm2012_official,HealthState,manual_basic,full_manual_basic_no_reference,degradation_three_tasks,StepJ,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix,planned,Excludes mag__time__rms
phm_official_health_mlp_compact_non_label_source,phm2012,phm2012_official,HealthState,manual_basic,compact_non_label_source,degradation_three_tasks,StepJ,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix,planned,Compact horizontal amplitude subset
phm_official_health_mlp_compact_with_reference,phm2012,phm2012_official,HealthState,manual_basic,compact_with_reference,degradation_three_tasks,StepJ,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix,planned,Compact subset plus mag__time__rms reference feature
phm_official_early_mlp_full_manual_basic,phm2012,phm2012_official,EarlyFault,manual_basic,full_manual_basic,degradation_three_tasks,StepJ,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix|AUC_if_available,planned,Includes mag__time__rms reference feature
phm_official_early_mlp_full_manual_basic_no_reference,phm2012,phm2012_official,EarlyFault,manual_basic,full_manual_basic_no_reference,degradation_three_tasks,StepJ,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix|AUC_if_available,planned,Excludes mag__time__rms
phm_official_early_mlp_compact_non_label_source,phm2012,phm2012_official,EarlyFault,manual_basic,compact_non_label_source,degradation_three_tasks,StepJ,tabular_baseline,mlp,yes,WeightedF1,Accuracy|ConfusionMatrix|AUC_if_available,planned,Compact amplitude subset without label-source feature
