experiment_id,dataset,split,task,task_type,feature_subset,label_source_included,model,feature_count,max_epochs,last_epoch,best_epoch,primary_metric,metric_direction,val_primary,test_primary,val_loss,test_loss,status,source_step,notes
xjtu_main_rul_mlp_compact_non_label_source,XJTU-SY,xjtu_bearing_index_split,rul_tabular,regression,compact_non_label_source,no,mlp,7,50,50,9,RMSE,lower_is_better,0.28487269579836516,0.4285912114514033,0.08128363227256376,0.19048943561028864,completed,StepQ,Compact non-reference subset from Step Q; excludes mag__time__rms.
xjtu_main_rul_mlp_compact_with_reference,XJTU-SY,xjtu_bearing_index_split,rul_tabular,regression,compact_with_reference,yes,mlp,8,50,50,9,RMSE,lower_is_better,0.28907587570512255,0.4689084477053923,0.08369079454587985,0.223476385430331,completed,StepR,mag__time__rms included; reference-feature effect caveat applies
xjtu_main_rul_mlp_full_manual_basic_no_reference,XJTU-SY,xjtu_bearing_index_split,rul_tabular,regression,full_manual_basic_no_reference,no,mlp,44,50,50,13,RMSE,lower_is_better,0.3395049303485408,0.4216453132580611,0.11521941136868138,0.17578865063842386,completed,StepS,This run excludes mag__time__rms; it can be treated as an independent non-reference full-feature run.
xjtu_main_rul_mlp_full_manual_basic,XJTU-SY,xjtu_bearing_index_split,rul_tabular,regression,full_manual_basic,yes,mlp,45,50,50,7,RMSE,lower_is_better,0.46278047403325717,0.44069340704404186,0.21405589302691322,0.19189903407823294,completed,StepS,This run includes mag__time__rms; any gain on HealthState/EarlyFault may reflect HI/FPT label-source shortcut.
xjtu_main_health_mlp_compact_non_label_source,XJTU-SY,xjtu_bearing_index_split,health_state_tabular,multiclass_classification,compact_non_label_source,no,mlp,6,50,50,11,WeightedF1,higher_is_better,0.5548335028540462,0.3711011190718926,2.1160333797607263,6.571515962314152,completed,StepQ,Compact non-reference subset from Step Q; excludes mag__time__rms.
xjtu_main_health_mlp_compact_with_reference,XJTU-SY,xjtu_bearing_index_split,health_state_tabular,multiclass_classification,compact_with_reference,yes,mlp,7,50,50,11,WeightedF1,higher_is_better,0.5708064830632816,0.368269487207346,1.9672523068002192,6.7959747482746025,completed,StepR,mag__time__rms included; reference-feature effect caveat applies
xjtu_main_health_mlp_full_manual_basic_no_reference,XJTU-SY,xjtu_bearing_index_split,health_state_tabular,multiclass_classification,full_manual_basic_no_reference,no,mlp,44,50,50,1,WeightedF1,higher_is_better,0.6104327430663516,0.2276959576869329,4.9759878603636825,8.738139419411254,completed,StepS,This run excludes mag__time__rms; it can be treated as an independent non-reference full-feature run.
xjtu_main_health_mlp_full_manual_basic,XJTU-SY,xjtu_bearing_index_split,health_state_tabular,multiclass_classification,full_manual_basic,yes,mlp,45,50,50,1,WeightedF1,higher_is_better,0.5970197543722993,0.21317684187482824,4.750750001927041,10.549318358069257,completed,StepS,This run includes mag__time__rms; any gain on HealthState/EarlyFault may reflect HI/FPT label-source shortcut.
xjtu_main_early_mlp_compact_non_label_source,XJTU-SY,xjtu_bearing_index_split,early_fault_tabular,binary_classification,compact_non_label_source,no,mlp,5,50,50,13,WeightedF1,higher_is_better,0.641964635985999,0.8416822329553054,0.9791955624197033,5.395760671292003,completed,StepQ,Compact non-reference subset from Step Q; excludes mag__time__rms.
xjtu_main_early_mlp_compact_with_reference,XJTU-SY,xjtu_bearing_index_split,early_fault_tabular,binary_classification,compact_with_reference,yes,mlp,6,50,50,13,WeightedF1,higher_is_better,0.6398188170490574,0.8416822329553054,0.9759815546462224,4.997978470991207,completed,StepR,mag__time__rms included; reference-feature effect caveat applies
