step_id,dataset,scope,condition_id,split,feature,label,analysis,run_name,artifact_root,run_dir,report_dir,fit_scope,feature_source,num_features,num_ranked_features,num_leakage_warnings,status,notes
StepC,env,ready_check,,none,none,none,none,environment_check,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-175735_step_c_validate_xjtu_3tasks_25814cfa; artifacts/feature_analysis/runs/20260619-175735_step_c_validate_phm2012_3tasks_718132ec,reports/feature_analysis/environment_check.md,none,none,NA,NA,NA,done,"Ambient dataset env vars unset; repo-local loader roots used for validate."
StepD,xjtu_sy,bearing_index_all_conditions,,xjtu_bearing_index_split,none,none,none,step_d_xjtu_bearing_index_split,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-180939_step_d_xjtu_bearing_index_split_0cd7b5a3,reports/feature_analysis/index_split_sanity,none,none,NA,NA,NA,done,Index/split sanity only.
StepD,xjtu_sy,condition_1,35Hz12kN,xjtu_leave_one_bearing_out,none,none,none,step_d_xjtu_c1_leave_one_bearing_out,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-180939_step_d_xjtu_c1_leave_one_bearing_out_5a66b694,reports/feature_analysis/index_split_sanity,none,none,NA,NA,NA,done,Index/split sanity only.
StepD,xjtu_sy,condition_2,37.5Hz11kN,xjtu_leave_one_bearing_out,none,none,none,step_d_xjtu_c2_leave_one_bearing_out,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-180939_step_d_xjtu_c2_leave_one_bearing_out_9c422007,reports/feature_analysis/index_split_sanity,none,none,NA,NA,NA,done,Index/split sanity only.
StepD,xjtu_sy,condition_3,40Hz10kN,xjtu_leave_one_bearing_out,none,none,none,step_d_xjtu_c3_leave_one_bearing_out,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-180939_step_d_xjtu_c3_leave_one_bearing_out_baa7472a,reports/feature_analysis/index_split_sanity,none,none,NA,NA,NA,done,Index/split sanity only.
StepD,xjtu_sy,cross_condition,,xjtu_cross_condition,none,none,none,step_d_xjtu_cross_condition,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-180939_step_d_xjtu_cross_condition_0cb8b840,reports/feature_analysis/index_split_sanity,none,none,NA,NA,NA,done,Index/split sanity only.
StepD,phm2012,official,,phm2012_official,none,none,none,step_d_phm2012_official_split,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-180939_step_d_phm2012_official_split_3da740d5,reports/feature_analysis/index_split_sanity,none,none,NA,NA,NA,done,Index/split sanity only.
StepE,xjtu_sy,bearing_index_all_conditions,,xjtu_bearing_index_split,manual_basic,none,none,step_e_xjtu_bearing_index_manual_basic,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-213537_step_e_xjtu_bearing_index_manual_basic_43380b33,reports/feature_analysis/feature_extraction_sanity,none,none,45,45,NA,done,Feature extraction sanity only.
StepE,phm2012,official,,phm2012_official,manual_basic,none,none,step_e_phm2012_official_manual_basic,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-213712_step_e_phm2012_official_manual_basic_5ab0834c,reports/feature_analysis/feature_extraction_sanity,none,none,45,45,NA,done,Feature extraction sanity only.
StepF,xjtu_sy,bearing_index_all_conditions,,xjtu_bearing_index_split,manual_basic,degradation_three_tasks,full_feature_analysis_3tasks,xjtu_all_conditions_3tasks_manual_basic,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-215058_xjtu_all_conditions_3tasks_manual_basic_a41a36c4,reports/feature_analysis/xjtu_sy/all_conditions_bearing_index_manual_basic,train_only,raw,45,45,1,done,Main XJTU-SY three-task feature analysis with manual_basic.
StepG,xjtu_sy,bearing_index_all_conditions,,xjtu_bearing_index_split,manual_tsfresh_basic,degradation_three_tasks,full_feature_analysis_3tasks,xjtu_all_conditions_3tasks_manual_tsfresh,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-221616_xjtu_all_conditions_3tasks_manual_tsfresh_99b823be,reports/feature_analysis/xjtu_sy/all_conditions_bearing_index_manual_tsfresh_basic,train_only,raw,NA,NA,NA,blocked,"Command exited 137 before feature extraction completed; current tsfresh backend would build about 604M long-format rows. Deferred; manual_basic remains main feature set for current analysis."
StepH,xjtu_sy,condition_1,35Hz12kN,xjtu_leave_one_bearing_out,manual_basic,degradation_three_tasks,full_feature_analysis_3tasks,xjtu_c1_3tasks_manual_basic,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-225611_xjtu_c1_3tasks_manual_basic_7a08cc4f,reports/feature_analysis/xjtu_sy/condition_1_manual_basic,train_only,raw,45,45,1,done,Condition-wise XJTU-SY manual_basic analysis.
StepH,xjtu_sy,condition_2,37.5Hz11kN,xjtu_leave_one_bearing_out,manual_basic,degradation_three_tasks,full_feature_analysis_3tasks,xjtu_c2_3tasks_manual_basic,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-225749_xjtu_c2_3tasks_manual_basic_51d6cc04,reports/feature_analysis/xjtu_sy/condition_2_manual_basic,train_only,raw,45,45,1,done,Condition-wise XJTU-SY manual_basic analysis.
StepH,xjtu_sy,condition_3,40Hz10kN,xjtu_leave_one_bearing_out,manual_basic,degradation_three_tasks,full_feature_analysis_3tasks,xjtu_c3_3tasks_manual_basic,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-225926_xjtu_c3_3tasks_manual_basic_6304e227,reports/feature_analysis/xjtu_sy/condition_3_manual_basic,train_only,raw,45,45,1,done,Condition-wise XJTU-SY manual_basic analysis.
StepI,xjtu_sy,cross_condition,,xjtu_cross_condition,manual_basic,degradation_three_tasks,full_feature_analysis_3tasks,xjtu_cross_condition_3tasks_manual_basic,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-232459_xjtu_cross_condition_3tasks_manual_basic_49469df1,reports/feature_analysis/xjtu_sy/cross_condition_manual_basic,train_only,raw,45,45,1,done,Cross-condition robustness analysis for XJTU-SY manual_basic.
StepJ,phm2012,official,,phm2012_official,manual_basic,degradation_three_tasks,full_feature_analysis_3tasks,phm2012_3tasks_manual_basic,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-234112_phm2012_3tasks_manual_basic_44cd0a18,reports/feature_analysis/phm2012/manual_basic,train_only,raw,45,45,1,done,PHM2012 official split three-task feature analysis with manual_basic.
StepK,phm2012,official,,phm2012_official,manual_tsfresh_basic,degradation_three_tasks,full_feature_analysis_3tasks,phm2012_3tasks_manual_tsfresh,artifacts/feature_analysis,artifacts/feature_analysis/runs/20260619-235620_phm2012_3tasks_manual_tsfresh_c5ccee59,reports/feature_analysis/phm2012/manual_tsfresh_basic,train_only,raw,44,44,1,needs-review,Compare manual_basic with manual_tsfresh_basic on PHM2012 official split.
