feature,monotonicity,robustness,trendability,prognosability
h__time__mean,0.019871805377655115,0.5500290656562443,0.09715940847526024,0.8632726117357054
h__time__std,0.01422914070247447,0.8337942143199012,0.6448654003319501,0.5994092465033944
h__time__rms,0.01723462453702552,0.8336781787423967,0.6446060631567413,0.5994177841783077
h__time__mean_abs,0.027442361186786376,0.8777651524237958,0.6542994250127496,0.5611488415912095
h__time__ptp,0.022199014558985763,0.7187818588312594,0.5812637874639799,0.6280458640834012
h__time__skewness,0.01477799267949661,0.6060257307511897,0.15125137973014377,0.8620454350560389
h__time__kurtosis,0.01985673635860757,0.6053764067613604,0.16911241053526702,0.970280535039305
h__time__crest_factor,0.01897495940081217,0.6058826576617093,0.1730239642304457,0.920727195463271
h__time__impulse_factor,0.013751189185206902,0.614520055454898,0.1807627756932114,0.9257014153049181
h__time__clearance_factor,0.014534399943130098,0.6160372653213818,0.18941307249067704,0.935850423578169
v__time__mean,0.01433348763387658,0.5506553415441158,0.14295930327034231,0.5604577663569001
v__time__std,0.025857701589039623,0.8426763859790772,0.6406459088403793,0.6457034514866774
v__time__rms,0.026519122219611193,0.8422258069152663,0.640514923845433,0.6445082895434472
v__time__mean_abs,0.030770747848601555,0.9067923293449566,0.645079803915318,0.6643128401547538
v__time__ptp,0.024425356014790785,0.6769434542519699,0.4184691309329162,0.6053299915352491
v__time__skewness,0.013193995923827279,0.5751986994400344,0.055605718298335,0.973979164299312
v__time__kurtosis,0.016658416497223213,0.585323883237623,0.07593073532030133,0.9133324495020837
v__time__crest_factor,0.015309763844644773,0.5953449898578681,0.11507687532387442,0.8314052334497316
v__time__impulse_factor,0.013725329982541494,0.5993863963551666,0.10407058628815685,0.8824269503321697
v__time__clearance_factor,0.011502586341426426,0.599680089557043,0.10205667968780974,0.8942187610765497
mag__time__mean,0.02754667014534995,0.8999277216419115,0.6724924890265566,0.6219051952251751
mag__time__std,0.016744178207513866,0.7733447458153635,0.6106272583239942,0.643682989078189
mag__time__rms,0.015613325840145591,0.8384504725409266,0.6559961013308823,0.6332140502439826
mag__time__mean_abs,0.02754667014534995,0.8999277216419115,0.6724924890265566,0.6219051952251751
mag__time__ptp,0.021168742765891233,0.6800923247828612,0.4148799704105422,0.6793301447702769
mag__time__skewness,0.01062429475523542,0.6159125008300473,0.15516844357372314,0.8742632238562944
mag__time__kurtosis,0.00818415367894629,0.5915060289283355,0.09550880911939662,0.913267842281329
mag__time__crest_factor,0.01052502014102689,0.6040893065481422,0.12948930708855913,0.8677793640884071
mag__time__impulse_factor,0.009015614826666189,0.6080230451546439,0.11877555051083934,0.9023401121814297
mag__time__clearance_factor,0.012663572973326556,0.6079455455370711,0.11834674491521945,0.9137170410748728
h__spectral__centroid,0.020954427977349446,0.8290444299715968,0.362254734196105,0.8545525407127114
h__spectral__bandwidth,0.018011706005694714,0.8360384230050331,0.45336986119054196,0.8112297216948893
h__spectral__rms_frequency,0.01613966213805114,0.8380181555025209,0.38974347828145744,0.839774887654801
h__spectral__peak_frequency,0.016787839557248132,0.6924993578847632,0.39787630156633796,0.9197783007469631
h__spectral__entropy,0.017804425316623677,0.7336543920081341,0.23248392258549655,0.8347874720435182
v__spectral__centroid,0.011239639210445978,0.7734415099718103,0.4021290360680369,0.7228377552505307
v__spectral__bandwidth,0.015122099474258492,0.7241236401754244,0.20107986669080222,0.7998321559879291
v__spectral__rms_frequency,0.016472616330758073,0.7766634644530677,0.43114962377116456,0.696769612206472
v__spectral__peak_frequency,0.012414994447361863,0.6556504254047314,0.34582314087485927,0.7865286270130982
v__spectral__entropy,0.01945196152331738,0.694814557451715,0.23207616945444132,0.8460447305219814
mag__spectral__centroid,0.01429731455155423,0.7224848273659589,0.26751246509322024,0.780484594533485
mag__spectral__bandwidth,0.017898686260116908,0.7173001887871897,0.21663861254900185,0.9017008835034617
mag__spectral__rms_frequency,0.010993583695757167,0.7219372871842853,0.2621675139683018,0.8073142127883305
mag__spectral__peak_frequency,0.0075913454341493694,0.556835959149849,0.0556201794254041,0.9909638343972216
mag__spectral__entropy,0.009861235119051905,0.6883985246709877,0.266115904966664,0.7609646023336964
