feature,feature_family,physical_meaning,rul_score,health_score,early_fault_score,fault_type_score,overall_score,recommended_for,why,caveat,is_label_source,label_source_warning,example_plot
h__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.5438746054672546,0.9438679279730653,0.9939582200552757,0.0,0.6204251883738989,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__mean_abs.png
h__time__std,time_domain,Signal dispersion and vibration intensity.,0.5260136970329972,0.853979508039643,0.9075201712736897,0.0,0.5718783440865824,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__std.png
h__time__rms,time_domain,RMS vibration energy/amplitude level.,0.5265145925153222,0.8495830169340778,0.9062610441129969,0.0,0.5705896633905992,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__rms.png
mag__time__mean,time_domain,Numerical feature extracted from the vibration snapshot.,0.5372811134968272,0.7548126080952737,0.9828177156299598,0.0,0.5687278593055152,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__mean.png
mag__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.5372811134968272,0.7548126080952737,0.9828177156299598,0.0,0.5687278593055152,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__mean_abs.png
mag__time__rms,time_domain,RMS vibration energy/amplitude level.,0.5087477550030763,0.6591535858082536,0.8850230500271102,0.0,0.5132310977096101,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming. Used as HI source for FPT-based labels; do not overclaim independent detection ability.,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,figures/curves/mag__time__rms.png
v__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.49125662307563955,0.461925214532354,0.8670915215222365,0.0,0.4550683397825575,"RUL,EarlyFault",high RUL score from correlation/trend metrics; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__mean_abs.png
mag__time__std,time_domain,Signal dispersion and vibration intensity.,0.4699319131732441,0.543583768774232,0.7278871142067873,0.0,0.4353506990385659,"RUL,HealthState",high RUL score from correlation/trend metrics; separates health-state label distributions,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__std.png
v__time__std,time_domain,Signal dispersion and vibration intensity.,0.4681414515813437,0.3819585673665697,0.7686721225414571,0.0,0.4046930353723426,"RUL,EarlyFault",high RUL score from correlation/trend metrics; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__std.png
v__time__rms,time_domain,RMS vibration energy/amplitude level.,0.4679931543954175,0.3808703555308117,0.7686725815228337,0.0,0.4043840228622657,EarlyFault,changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__rms.png
