feature,rul_score,health_score,early_fault_score,fault_type_score,overall_score,rank_rul,rank_health,rank_early_fault,rank_fault_type,rank_overall,is_label_source,label_source_warning,recommended_for
h__time__mean_abs,0.5438746054672546,0.9438679279730653,0.9939582200552757,0.0,0.6204251883738989,1,1,1,1,1,False,,"RUL,HealthState,EarlyFault"
h__time__std,0.5260136970329972,0.853979508039643,0.9075201712736897,0.0,0.5718783440865824,5,2,4,1,2,False,,"RUL,HealthState,EarlyFault"
h__time__rms,0.5265145925153222,0.8495830169340778,0.9062610441129969,0.0,0.5705896633905992,4,3,5,1,3,False,,"RUL,HealthState,EarlyFault"
mag__time__mean,0.5372811134968272,0.7548126080952737,0.9828177156299598,0.0,0.5687278593055152,2,4,2,1,4,False,,"RUL,HealthState,EarlyFault"
mag__time__mean_abs,0.5372811134968272,0.7548126080952737,0.9828177156299598,0.0,0.5687278593055152,2,4,2,1,4,False,,"RUL,HealthState,EarlyFault"
mag__time__rms,0.5087477550030763,0.6591535858082536,0.8850230500271102,0.0,0.5132310977096101,6,6,6,1,6,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,"RUL,HealthState,EarlyFault"
v__time__mean_abs,0.49125662307563955,0.461925214532354,0.8670915215222365,0.0,0.4550683397825575,7,11,7,1,7,False,,"RUL,EarlyFault"
mag__time__std,0.4699319131732441,0.543583768774232,0.7278871142067873,0.0,0.4353506990385659,8,9,10,1,8,False,,"RUL,HealthState"
v__time__std,0.4681414515813437,0.3819585673665697,0.7686721225414571,0.0,0.4046930353723426,9,17,9,1,9,False,,"RUL,EarlyFault"
v__time__rms,0.4679931543954175,0.3808703555308117,0.7686725815228337,0.0,0.4043840228622657,10,18,8,1,10,False,,EarlyFault
h__time__ptp,0.4511693854270481,0.560192511212132,0.5225092939920749,0.0,0.3834677976578138,11,8,18,1,11,False,,HealthState
v__spectral__rms_frequency,0.34302913941753826,0.4039250962259492,0.7241506306528469,0.0,0.3677762165740836,17,16,11,1,12,False,,
v__spectral__peak_frequency,0.29544635678525066,0.4285722679840791,0.7056698371202825,0.0,0.3574221154724031,23,13,12,1,13,False,,
mag__spectral__entropy,0.35422184860043193,0.5811463670464327,0.4933286671296848,0.0,0.3571742206941374,15,7,19,1,14,False,,HealthState
mag__spectral__centroid,0.36808879513237464,0.46946022206988763,0.572423356000537,0.0,0.3524930933006998,13,10,17,1,15,False,,
mag__spectral__rms_frequency,0.356742834397265,0.4376962859922575,0.6130975057745611,0.0,0.3518841565410209,14,12,16,1,16,False,,
v__spectral__centroid,0.32408444831537775,0.3673903132134544,0.6699240657809881,0.0,0.340349706827455,19,19,14,1,17,False,,
v__spectral__entropy,0.2828044638392101,0.2905868998304413,0.6870781780371635,0.0,0.31511738542670376,24,23,13,1,18,False,,
mag__spectral__bandwidth,0.28200144000676963,0.32661701500019724,0.6222466252728798,0.0,0.30771627006996166,25,20,15,1,19,False,,
h__spectral__entropy,0.3262405769443351,0.41525151014689526,0.3245952940770426,0.0,0.26652184529206824,18,14,27,1,20,False,,
mag__time__ptp,0.37972368065567486,0.3091465933158315,0.32208953868296714,0.0,0.25273995316361836,12,21,30,1,21,False,,
h__spectral__peak_frequency,0.29646650777471734,0.4120797380743178,0.21400858255344474,0.0,0.23063870710061996,22,15,39,1,22,False,,
v__time__ptp,0.35409503520969243,0.1558782343508604,0.27405217574329843,0.0,0.1960063613259628,16,31,33,1,23,False,,
h__spectral__centroid,0.30605992021919487,0.2964073258946312,0.16806846191482575,0.0,0.19263392700716295,21,22,41,1,24,False,,
h__spectral__rms_frequency,0.25299836517844115,0.23137011091115406,0.28340868424199595,0.0,0.1919442900828978,26,24,32,1,25,False,,
h__spectral__bandwidth,0.3172405643671076,0.1706616205055748,0.2452330924419236,0.0,0.1832838193286515,20,27,37,1,26,False,,
h__time__crest_factor,0.16845072605068698,0.1563005644525475,0.3967209989926002,0.0,0.1803680723739587,39,30,20,1,27,False,,
h__time__impulse_factor,0.17765665349290138,0.15846194465390534,0.3661180830792038,0.0,0.17555917030650264,34,29,22,1,28,False,,
h__time__clearance_factor,0.1831693276863537,0.16180543465896718,0.35038685417939663,0.0,0.17384040413117938,32,28,23,1,29,False,,
mag__spectral__peak_frequency,0.1911995814550864,0.14720010237159722,0.33372141178165066,0.0,0.16803027390208358,30,32,26,1,30,False,,
mag__time__kurtosis,0.1762618997616225,0.1421722895144512,0.32223700587022364,0.0,0.16016779878657433,35,34,29,1,31,False,,
mag__time__crest_factor,0.1724137390889419,0.12700686596313077,0.3388585097573055,0.0,0.15956977870234457,36,35,24,1,32,False,,
mag__time__skewness,0.21518329943759928,0.1707187821180477,0.2494914477140901,0.0,0.15884838231743426,28,26,36,1,33,False,,
h__time__kurtosis,0.20038749629961278,0.14491524830874317,0.2669608261828167,0.0,0.15306589269779317,29,33,35,1,34,False,,
v__time__crest_factor,0.1497329700073056,0.0833327593127037,0.37053648363911235,0.0,0.1509005532397804,40,39,21,1,35,False,,
mag__time__clearance_factor,0.18745580743685442,0.12274027133166959,0.27103249566205556,0.0,0.1453071436076449,31,36,34,1,36,False,,
mag__time__impulse_factor,0.18160745548568957,0.10630446081407087,0.29244703282153917,0.0,0.1450897372803249,33,38,31,1,37,False,,
v__time__impulse_factor,0.14568115185368,0.07204995799682187,0.3362404241037204,0.0,0.13849288348855557,43,41,25,1,38,False,,
v__time__clearance_factor,0.14739894492227984,0.06551735771448199,0.32227986245789797,0.0,0.13379904127366493,41,42,28,1,39,False,,
v__spectral__bandwidth,0.25238317348567396,0.1931770372025764,0.07583901682809441,0.0,0.1303498068790862,27,25,42,1,40,False,,
v__time__kurtosis,0.1708673404729683,0.08179411615395711,0.2430450418215498,0.0,0.1239266246121188,37,40,38,1,41,False,,
h__time__skewness,0.17049403529101206,0.10737818743301461,0.2048372147785519,0.0,0.12067735937564464,38,37,40,1,42,False,,
