feature,split,count,missing_count,nan_count,inf_count,mean,std,min,p25,median,p75,max,variance,is_constant
h__time__mean,train,7534,0,0,0,0.0012752790993330238,0.020227187689246327,-0.2798875,-0.007682031250000001,0.001238281249999999,0.0102626953125,0.652714453125,0.00040913912181599825,False
h__time__std,train,7534,0,0,0,0.5279713001324527,0.4043974358098386,0.03699255695227005,0.31680015655185456,0.37380181178739824,0.6155199957948919,6.706945963905146,0.16353728608957255,False
h__time__rms,train,7534,0,0,0,0.5284629231591836,0.40426313727295615,0.03926960597109424,0.31755943676683857,0.37413507613054475,0.6159204734497001,6.707559481368298,0.16342868415777298,False
h__time__mean_abs,train,7534,0,0,0,0.4001396220985698,0.2685277695938478,0.031237109375,0.2452248046875,0.2890189453125,0.48022167968749996,3.93701484375,0.0721071630430466,False
h__time__ptp,train,7534,0,0,0,4.991942129015131,5.345296549924276,0.258,2.605,3.4269999999999996,5.229,92.44300000000001,28.57219520663237,False
h__time__skewness,train,7534,0,0,0,-0.11566281658402015,0.40479985481867553,-14.417526664598661,-0.13944115479681735,-0.04631532733116371,0.02055591250979259,1.0723844149674822,0.16386292246122078,False
h__time__kurtosis,train,7534,0,0,0,2.5125472175122505,10.380745061328676,-0.4141259378396587,0.1769457098682491,0.644316931409672,1.7573579689690189,413.6406575501815,107.75986802829969,False
h__time__crest_factor,train,7534,0,0,0,5.025062872648891,2.1397430584289236,2.9326485502961335,3.863608492029292,4.441072437226204,5.34913933544135,31.66643185955529,4.5785003560947635,False
h__time__impulse_factor,train,7534,0,0,0,6.655065530504371,3.509671458324636,3.5868758900010675,4.892733745853852,5.70960656852707,7.082988715038406,68.06731767806934,12.317793745378578,False
h__time__clearance_factor,train,7534,0,0,0,8.025155952379274,4.561816823147893,4.165580546123822,5.800615176850629,6.824066723318613,8.551006586403888,139.69063957585527,20.810172727955138,False
v__time__mean,train,7534,0,0,0,0.0011448576868197504,0.022673938622838074,-0.5075199218750001,-0.00859306640625,0.0011429687500000012,0.011016503906249999,0.43359101562499996,0.0005141074926722282,False
v__time__std,train,7534,0,0,0,0.5273527485014918,0.34637115239452704,0.06332760678606132,0.32027285623945895,0.42370856348044234,0.6130625431343404,5.094401197829522,0.11997297521111268,False
v__time__rms,train,7534,0,0,0,0.5278159880875212,0.34640958051731113,0.06375704617922634,0.3207306093192957,0.42401608612551195,0.6133502086445451,5.119619129930163,0.11999959747417946,False
v__time__mean_abs,train,7534,0,0,0,0.4027116280154964,0.25079372749008005,0.05091796875,0.25258935546874994,0.33188828125000003,0.43014140624999997,3.3913894531249995,0.06289749374836853,False
v__time__ptp,train,7534,0,0,0,5.379092513936819,6.490304052670671,0.45399999999999996,2.567,3.3705,5.50375,95.69200000000001,42.124046696113325,False
v__time__skewness,train,7534,0,0,0,-0.030817372423955717,0.6221026428460245,-12.67934747532929,-0.04670385927827796,-0.0027268697805425584,0.03145693051626028,6.187814514667895,0.3870116982360083,False
v__time__kurtosis,train,7534,0,0,0,5.604523575450137,27.43197002317383,-0.3734861728377181,0.09698787418056265,0.31444356405130525,0.7910080686960516,316.5658865800887,752.5129793523075,False
v__time__crest_factor,train,7534,0,0,0,5.103144949885224,3.0225235056692945,2.92890207431187,3.757853049756611,4.165932483106136,4.993314013643695,25.803365810750996,9.135648342323401,False
v__time__impulse_factor,train,7534,0,0,0,7.050113920102605,6.691680200599611,3.627452148596531,4.741152402577944,5.290340882400965,6.3890662752514285,79.35948775230555,44.77858390709685,False
v__time__clearance_factor,train,7534,0,0,0,8.543556303675103,8.87270558973787,4.222679052108677,5.61495943663094,6.297204143361057,7.610932959998712,109.7914921943443,78.72490448216566,False
mag__time__mean,train,7534,0,0,0,0.6315197305061917,0.38196048845552705,0.0635738154971359,0.40281901163978856,0.4981016675522945,0.784774810764383,5.609605210704224,0.1458938147411848,False
mag__time__std,train,7534,0,0,0,0.42222005907354376,0.3439626389927306,0.039565551604408666,0.22979075605844576,0.28767250283650436,0.5443103609745465,6.112821729004281,0.11831029702284353,False
mag__time__rms,train,7534,0,0,0,0.763900856412107,0.5076874448315197,0.07488032378819552,0.4672468125279508,0.5814101650383934,0.959035264705326,8.296641495843174,0.2577465416395574,False
mag__time__mean_abs,train,7534,0,0,0,0.6315197305061917,0.38196048845552705,0.0635738154971359,0.40281901163978856,0.4981016675522945,0.784774810764383,5.609605210704224,0.1458938147411848,False
mag__time__ptp,train,7534,0,0,0,3.7347892656733124,4.318280002007672,0.25283656159032725,1.6901263069742454,2.2921166309745793,4.002553949698398,55.77708209455392,18.64754217573938,False
mag__time__skewness,train,7534,0,0,0,1.698615569095563,2.14713588288963,0.527992760665017,0.8864770354525685,1.1493317852511686,1.5232369994656363,17.16964595290847,4.61019249959223,False
mag__time__kurtosis,train,7534,0,0,0,11.031317074615764,39.598935659220075,-0.0466331128958859,0.9687326514300895,1.9398474146650821,4.256801412690544,376.5846141171188,1568.0757053430514,False
mag__time__crest_factor,train,7534,0,0,0,4.580772331854716,2.7544352995633496,2.555074456547789,3.3149753268075126,3.799924719341658,4.605481175961446,24.267784527689088,7.586913819480639,False
mag__time__impulse_factor,train,7534,0,0,0,5.76161316688942,5.1879621778569565,2.875970481918449,3.8330773344356173,4.462994140967099,5.47559229095202,61.36270144612751,26.914951558874293,False
mag__time__clearance_factor,train,7534,0,0,0,6.429241152482116,6.198108238148188,3.093376893609607,4.176597369181914,4.907439018948059,6.061413747806613,76.94526126546869,38.41654573180043,False
h__spectral__centroid,train,7534,0,0,0,4431.907744472833,2871.921660712982,1052.7067688132165,2518.649160472719,3210.3084818609523,5694.001540433141,11128.952005285144,8247934.025272411,False
h__spectral__bandwidth,train,7534,0,0,0,3013.7024502110876,779.1753039971788,1250.5446021547205,2499.5249108259513,2915.247519283772,3514.4763047463684,5003.809105184992,607114.1543590961,False
h__spectral__rms_frequency,train,7534,0,0,0,5496.57538357667,2714.206319758515,1719.5475210512102,3715.270410120718,4235.307897032819,7114.264875875373,11498.41967646066,7366915.946217061,False
h__spectral__peak_frequency,train,7534,0,0,0,3694.7225909211575,4496.93280672499,50.0,1040.0,1360.0,3607.5,12800.0,20222404.6681995,False
h__spectral__entropy,train,7534,0,0,0,0.7971235393356118,0.04793732053619909,0.6379538187997794,0.7674811172611733,0.7959293866924465,0.8289968547777135,0.9260815915729986,0.002297986700190295,False
v__spectral__centroid,train,7534,0,0,0,7801.068254931558,1649.4629594207,731.85563385969,6615.053197099578,7574.283538511398,8375.658561672295,11457.126420337268,2720728.0545008937,False
v__spectral__bandwidth,train,7534,0,0,0,2709.1199875952666,533.0441059025866,1271.7740740260076,2372.5245130773083,2913.871226701573,3039.058963315431,4134.559177631416,284136.01883748797,False
v__spectral__rms_frequency,train,7534,0,0,0,8304.787680109903,1493.7746439547839,1958.929860594957,7273.352446124683,8135.4457961187245,8890.270246016915,11576.9197834458,2231362.6869222415,False
v__spectral__peak_frequency,train,7534,0,0,0,8315.78311653836,2998.2677090820603,10.0,6040.0,9790.0,10160.0,12800.0,8989609.255324187,False
v__spectral__entropy,train,7534,0,0,0,0.8684174713763975,0.04140230091732098,0.6238574932540567,0.8594468851352971,0.8814234788743787,0.8967700754151214,0.9239684349486521,0.0017141505212483977,False
mag__spectral__centroid,train,7534,0,0,0,3959.545090054608,1175.4971942416548,552.8604246338286,2897.388702277405,4083.5118720266855,4919.9704096576115,6239.148692666609,1381793.653670003,False
mag__spectral__bandwidth,train,7534,0,0,0,3590.5397614573935,476.3615081307627,1301.224111632961,3433.823823801844,3748.7182349816812,3860.4488271490527,4548.660508936263,226920.2864286147,False
mag__spectral__rms_frequency,train,7534,0,0,0,5375.498834863415,1132.5631617100878,1413.8029699435795,4498.317080444173,5597.609057050633,6263.841059893781,7487.264451708446,1282699.3152627503,False
mag__spectral__peak_frequency,train,7534,0,0,0,278.5412795327847,836.7154923030907,10.0,50.0,100.0,200.0,12800.0,700092.8150600034,False
mag__spectral__entropy,train,7534,0,0,0,0.8791838394563024,0.048760668777066835,0.624294316280611,0.8461706775059096,0.890001758645302,0.9200667627113853,0.9427558033155666,0.0023776028195868206,False
h__time__mean,val,4330,0,0,0,0.0009824539008371823,0.04702527736845876,-1.559198046875,-0.007774609374999998,0.0016933593750000004,0.011186816406250001,0.93180703125,0.0022113767115804796,False
h__time__std,val,4330,0,0,0,0.5774994995622249,0.9026686066413508,0.23070819637056372,0.2806804541647769,0.36395268845436457,0.5233293730262115,14.253403981157472,0.8148106134158377,False
h__time__rms,val,4330,0,0,0,0.5780204835785795,0.9035601517891825,0.23072172429682472,0.2807004716086081,0.36478791099535973,0.5235887416978315,14.253711132132615,0.8164209479012905,False
h__time__mean_abs,val,4330,0,0,0,0.4273948734302829,0.5971363784194804,0.1818875,0.21751533203124998,0.2868435546875,0.40937060546875,8.5903671875,0.35657185443193296,False
h__time__ptp,val,4330,0,0,0,5.652100923787529,9.08440890895766,1.5230000000000001,2.33825,2.9669999999999996,4.88975,96.27600000000001,82.52648522514927,False
h__time__skewness,val,4330,0,0,0,-0.10987015754022772,0.4475898479344769,-6.501942660536561,-0.1342859464936718,-0.02790277002348595,0.042319283304366684,3.0487484649590044,0.2003366719740082,False
h__time__kurtosis,val,4330,0,0,0,2.6871530329155044,7.610699487645874,-0.26070303929198646,0.1634327890543691,0.404533656444247,1.361115997625582,110.64545844842453,57.922746691253174,False
h__time__crest_factor,val,4330,0,0,0,5.09876590853255,2.2753476559833046,3.0348896500041502,3.838485340005515,4.295082712671366,5.3093539590934125,20.514897637717233,5.177206955588719,False
h__time__impulse_factor,val,4330,0,0,0,6.791451295416936,3.6871688988155547,3.762721873586717,4.857401454443955,5.468920432798116,6.933889887399255,32.67018396241559,13.59521448839271,False
h__time__clearance_factor,val,4330,0,0,0,8.206219603165462,4.706931915493921,4.4171106642246585,5.751019110785091,6.498283224371162,8.35559584056207,40.10107851017642,22.155208057095273,False
v__time__mean,val,4330,0,0,0,0.014150040054849886,0.3444056359326224,-1.6300539062500001,-0.008807519531249999,0.00203359375,0.01418623046875,21.1402140625,0.11861524206215407,False
v__time__std,val,4330,0,0,0,0.6713185123605828,1.0334781416413161,0.244980929563118,0.2895296766909957,0.32321513331599006,0.3884997538800644,13.529110081723632,1.0680770692503883,False
v__time__rms,val,4330,0,0,0,0.6783088336259958,1.085107462977314,0.24502523466981926,0.2896387269753351,0.3244390540523181,0.39026171311052876,25.098714513132318,1.1774582062090633,False
v__time__mean_abs,val,4330,0,0,0,0.4233106821954388,0.6915892239960049,0.194805078125,0.22975429687499999,0.2517712890625,0.2980359375,22.43973828125,0.4782956547473962,False
v__time__ptp,val,4330,0,0,0,7.566658660508082,10.846371994595712,1.5939999999999999,2.13125,2.6719999999999997,5.996499999999999,95.69200000000001,117.64378544515016,False
v__time__skewness,val,4330,0,0,0,-0.7919388075350526,2.1219344812793723,-13.93383401815862,-0.12546718380472768,-0.016099547843196553,0.033423865782557516,5.317431851336442,4.502605942842359,False
v__time__kurtosis,val,4330,0,0,0,17.486843674264072,47.43698476774105,-0.25811080883731075,0.05895339707001279,0.2556482631480126,5.768068527082651,404.1549169095989,2250.2675238548964,False
v__time__crest_factor,val,4330,0,0,0,6.467857193192745,4.646336032199249,1.8291375032764798,3.7438403460399257,4.315672227893731,7.174260429134852,28.48551197660268,21.588438524113062,False
v__time__impulse_factor,val,4330,0,0,0,10.923775882237896,12.368818729466245,2.0458794761594987,4.709142443980916,5.438318104067956,10.404458371626271,91.20980152702074,152.98767676239495,False
v__time__clearance_factor,val,4330,0,0,0,14.239412964551908,17.887220756745673,2.278021172827436,5.567304804877414,6.430483831028209,12.567607304215727,129.99239135641,319.9526664005532,False
mag__time__mean,val,4330,0,0,0,0.6838236235401404,0.9713876604511447,0.3090929702103808,0.34878984310100525,0.4405665413835569,0.5255243222374781,22.509705773229264,0.9435939868767482,False
mag__time__std,val,4330,0,0,0,0.6046136467147037,1.0056457182029166,0.1683487664403375,0.20101826198347197,0.25259011467754255,0.3644239679657332,11.441169069719706,1.01132331053986,False
mag__time__rms,val,4330,0,0,0,0.9316346145053203,1.3856935636631036,0.3542476082752712,0.4031815562442648,0.5145324056612295,0.6527350854639474,25.130664413020277,1.9201466523773516,False
mag__time__mean_abs,val,4330,0,0,0,0.6838236235401404,0.9713876604511447,0.3090929702103808,0.34878984310100525,0.4405665413835569,0.5255243222374781,22.509705773229264,0.9435939868767482,False
mag__time__ptp,val,4330,0,0,0,5.758309781404973,8.373681074408582,1.0005226268239964,1.4450379547060956,1.911430440181345,4.4571181432381,67.81610833116089,70.11853473590847,False
mag__time__skewness,val,4330,0,0,0,2.3936270519732554,3.03112727035155,-0.4057108796463166,0.8416075011301318,0.9988849821256409,2.4541214414234114,18.456346178831755,9.187732529068839,False
mag__time__kurtosis,val,4330,0,0,0,21.309770102608432,56.77566510746973,-0.45364690779823036,0.8461910822332072,1.4983924537320026,10.752379331846882,446.3645963034818,3223.476148395556,False
mag__time__crest_factor,val,4330,0,0,0,5.4313512831284685,3.9710048977325374,1.8277330571639578,3.23666982624933,3.7058787585528696,5.8639160343342365,26.855430129288102,15.7688798978158,False
