feature,mutual_information,fisher_score,anova_f,anova_p,class_count,state_0_mean,state_0_std,state_1_mean,state_1_std,state_2_mean,state_2_std,state_3_mean,state_3_std
h__time__mean,0.034390645815056686,0.0004013429777836596,1.0073708742373126,0.38829048549590917,4,0.0009682699496227456,0.02171874556289123,0.001607674656201349,0.022687237297322624,0.0017043606256496881,0.013644685345377706,0.0006211018374741202,0.021572378503025614
h__time__std,0.4740928531697637,0.682113988359405,1712.106110782109,0.0,4,0.3386153173802126,0.0688916598645728,0.42063849672823583,0.1499768131710519,0.591168979722775,0.20046947668352408,1.1487975752525172,0.7873904641058705
h__time__rms,0.4687821885047485,0.6815413615305886,1710.6688174417807,0.0,4,0.33933619931320397,0.06877484463514696,0.42118399108241256,0.15017033804520163,0.5913907164443565,0.2002869852361361,1.1490744516486169,0.7872822046262203
h__time__mean_abs,0.48597959947900193,0.7885908264422755,1979.3629743701176,0.0,4,0.2596720261030088,0.05351083753665701,0.33181452143876494,0.11699492968376422,0.4557067896472194,0.14895148662920046,0.8208453125,0.48464039463854724
h__time__ptp,0.3269240145508632,0.440274522846052,1105.0890523435905,0.0,4,3.4713860875966143,2.012663035182207,3.285022314478464,1.3782370119281042,5.098919958419958,2.1743757045671885,12.460637681159419,11.407049904284131
h__time__skewness,0.10944629438274589,0.058359226735381575,146.48165910580792,2.9409049703936688e-92,4,-0.16569732684512634,0.4226811757091488,-0.012506016884672644,0.13295644158240702,-0.0546721599957499,0.17374267330502038,-0.30219015811305655,0.7807918319642775
h__time__kurtosis,0.19230529541328956,0.026477731076851484,66.45910500289722,2.076442681244325e-42,4,4.145040913767567,13.622729513161717,0.6728034333129367,2.5560184303674047,1.1092691803880879,1.5348387540659834,4.385847261873816,16.705387807876814
h__time__crest_factor,0.13375414432925936,0.09882635725084787,248.0541566996279,1.6595611062627421e-153,4,5.63197275847022,2.8584527278229266,4.198265536914339,1.27950265711485,4.636901446352785,1.0491780812719347,5.7404737322530694,2.014309944810613
h__time__impulse_factor,0.14360921852916375,0.09200768403749342,230.9392869341084,2.4213977826198647e-143,4,7.534204995908843,4.605279016436272,5.366170670094761,1.8755353706183104,6.026981928388614,1.5120864462583221,8.00445612985848,4.092850912197722
h__time__clearance_factor,0.15075880846133982,0.08939415678117149,224.37933352074054,1.9788148565132264e-139,4,9.078585054811311,5.715093447431682,6.383393234849795,2.3191704950215413,7.233111703778538,1.874776067239127,9.91480711146755,6.2759203775404675
v__time__mean,0.024913908364157855,9.888105262169183e-05,0.24819144208051044,0.8626698475043839,4,0.0011216244076647037,0.017203138159040843,0.001417917463998443,0.022931768633388482,0.0011532248895530146,0.022416616496474872,0.000648832977484472,0.03357031863150715
v__time__std,0.36096382530012083,0.1726850444583784,433.4394615905301,9.053796585054758e-260,4,0.38872808847172646,0.17941874303912722,0.5372418150814856,0.2735794410848363,0.5715023433836949,0.2982062130061394,0.8095920336442102,0.6172039755369189
v__time__rms,0.3593528526096086,0.1728338979922867,433.8130839606401,5.6163102646768195e-260,4,0.3891071372914016,0.17942534334185897,0.5378201818777135,0.2734077667586525,0.571904879911778,0.298279259963559,0.8101833155300528,0.6173413892432045
v__time__mean_abs,0.4226274388325475,0.21733634109808533,545.5142161561955,7.866e-321,4,0.28550721685797753,0.08674118600321609,0.4208545749951349,0.21199446732702254,0.4435956483075624,0.22482827734099578,0.6147427576669254,0.4375828283120068
v__time__ptp,0.19263922322740878,0.04055748869769493,101.7992966312143,1.3502377255158402e-64,4,5.332318733897681,8.076667646110344,4.32504255319149,2.5636884345549893,4.902775467775467,3.1039770933012902,8.561983436853001,9.99760021638604
v__time__skewness,0.04313565572169731,0.0011876420306892676,2.980981497030062,0.03012350485019833,4,-0.030273676586313268,0.814228700156878,-0.0021300503091807575,0.12935912154282245,-0.06192781964651928,0.7341568385504388,-0.027609495456909758,0.2078847723350494
v__time__kurtosis,0.09478703515884668,0.039105524912960356,98.15486753153051,2.5470641447832816e-62,4,12.671823241830621,43.23710625853627,1.25424030299259,6.6607551095405295,1.5152714537965297,10.35138050843514,2.5495171101617866,9.387589486737639
v__time__crest_factor,0.07266914321686047,0.06280550766026381,157.64182422726225,4.251329091186805e-99,4,6.014502468363264,4.297070940249846,4.299186630220552,1.7041852430700128,4.566693738030632,1.5326290986138174,5.21204912783266,2.1525344157294186
v__time__impulse_factor,0.07226771568741475,0.048371620914933744,121.41276849648379,8.583530893204573e-77,4,8.892461560187874,9.913085395786494,5.575223213920057,2.8641199928880003,5.997432382617995,3.6506848082097667,6.907065401285304,3.7173458771609944
v__time__clearance_factor,0.0676006418852717,0.04436102936400926,111.34618370366329,1.5241380804628097e-70,4,10.890937449882584,13.06520199871647,6.663953844805145,3.6488189077378803,7.220335217608229,5.3581315964346174,8.326203025817286,4.904502242334597
mag__time__mean,0.4950869060013574,0.5312170015073606,1333.3546737834774,0.0,4,0.42910969716990965,0.09297749350715762,0.5853971351372106,0.24577871882867597,0.7053783553975211,0.26515085878361006,1.1457250178351637,0.6769477581374406
mag__time__std,0.3453081556678901,0.4004296072594051,1005.0783142211084,0.0,4,0.28969262230157145,0.16363096168906024,0.35778171434858624,0.18123106840031142,0.4465994960505472,0.19644045533764917,0.8749568077802595,0.6642283203590282
mag__time__rms,0.42093869930193084,0.4781797954006571,1200.2312864556493,0.0,4,0.5238620492812396,0.17042713066361484,0.6872408843182285,0.3027365300936604,0.8369605492758824,0.32465459106360484,1.4464498793205616,0.9409970815056886
mag__time__mean_abs,0.4950869060013574,0.5312170015073606,1333.3546737834774,0.0,4,0.42910969716990965,0.09297749350715762,0.5853971351372106,0.24577871882867597,0.7053783553975211,0.26515085878361006,1.1457250178351637,0.6769477581374406
mag__time__ptp,0.2633501932629987,0.17267106184605907,433.4043652336085,9.469179785454648e-260,4,3.2741671436577975,4.4638467191767015,2.560636939359141,1.4536998228172604,3.4375129582432296,2.082978736348848,7.96466654705948,7.424227103362835
