feature,target_column,split_scope,n,pearson,abs_pearson,spearman,abs_spearman,kendall,abs_kendall
h__time__mean,piecewise_rul_norm,fit,7534,-0.0013400270214916222,0.0013400270214916222,-0.014483033075023745,0.014483033075023745,-0.010194274410769635,0.010194274410769635
h__time__std,piecewise_rul_norm,fit,7534,-0.6027186050644658,0.6027186050644658,-0.6477842540771666,0.6477842540771666,-0.5028160100497525,0.5028160100497525
h__time__rms,piecewise_rul_norm,fit,7534,-0.6023973994598473,0.6023973994598473,-0.6472831085749663,0.6472831085749663,-0.5022027591382926,0.5022027591382926
h__time__mean_abs,piecewise_rul_norm,fit,7534,-0.6377482298967407,0.6377482298967407,-0.6588602848092826,0.6588602848092826,-0.5155817476282183,0.5155817476282183
h__time__ptp,piecewise_rul_norm,fit,7534,-0.4839664184341918,0.4839664184341918,-0.5303157215092967,0.5303157215092967,-0.39487390167170194,0.39487390167170194
h__time__skewness,piecewise_rul_norm,fit,7534,0.0657337938760668,0.0657337938760668,0.04384032864248921,0.04384032864248921,0.030223602143583723,0.030223602143583723
h__time__kurtosis,piecewise_rul_norm,fit,7534,0.019437872918914533,0.019437872918914533,-0.11578728214467261,0.11578728214467261,-0.10137771532457249,0.10137771532457249
h__time__crest_factor,piecewise_rul_norm,fit,7534,0.010917741533398242,0.010917741533398242,-0.022644748063008393,0.022644748063008393,-0.028322471405986028,0.028322471405986028
h__time__impulse_factor,piecewise_rul_norm,fit,7534,-0.011186965936634957,0.011186965936634957,-0.04332082847707933,0.04332082847707933,-0.043935765534856806,0.043935765534856806
h__time__clearance_factor,piecewise_rul_norm,fit,7534,-0.02564323628942528,0.02564323628942528,-0.05270188610902684,0.05270188610902684,-0.05106377748489706,0.05106377748489706
v__time__mean,piecewise_rul_norm,fit,7534,0.007369795062498888,0.007369795062498888,-0.010165346597659436,0.010165346597659436,-0.007365063352110165,0.007365063352110165
v__time__std,piecewise_rul_norm,fit,7534,-0.3633516290138429,0.3633516290138429,-0.47146447777197853,0.47146447777197853,-0.33672448773896674,0.33672448773896674
v__time__rms,piecewise_rul_norm,fit,7534,-0.3633785802809925,0.3633785802809925,-0.47090065053821384,0.47090065053821384,-0.336356446485682,0.336356446485682
v__time__mean_abs,piecewise_rul_norm,fit,7534,-0.3974605864072466,0.3974605864072466,-0.49482716988981207,0.49482716988981207,-0.3498732785503825,0.3498732785503825
v__time__ptp,piecewise_rul_norm,fit,7534,-0.1259061444940264,0.1259061444940264,-0.36830336905433586,0.36830336905433586,-0.26337343930890406,0.26337343930890406
v__time__skewness,piecewise_rul_norm,fit,7534,0.006001549872572228,0.006001549872572228,-0.0172330300682339,0.0172330300682339,-0.01316157549048737,0.01316157549048737
v__time__kurtosis,piecewise_rul_norm,fit,7534,0.13345216641299076,0.13345216641299076,-0.09843375039165038,0.09843375039165038,-0.08218416365579019,0.08218416365579019
v__time__crest_factor,piecewise_rul_norm,fit,7534,0.10551406183090467,0.10551406183090467,0.010917588599416841,0.010917588599416841,-0.0015728491267914908,0.0015728491267914908
v__time__impulse_factor,piecewise_rul_norm,fit,7534,0.11293780036325543,0.11293780036325543,-0.0044526366553712515,0.0044526366553712515,-0.013212900200074615,0.013212900200074615
v__time__clearance_factor,piecewise_rul_norm,fit,7534,0.10976856101199803,0.10976856101199803,-0.011931269965579043,0.011931269965579043,-0.018812887106954064,0.018812887106954064
mag__time__mean,piecewise_rul_norm,fit,7534,-0.5691468838196022,0.5691468838196022,-0.6168868680765603,0.6168868680765603,-0.4656671247795645,0.4656671247795645
mag__time__std,piecewise_rul_norm,fit,7534,-0.4931022550468519,0.4931022550468519,-0.5398613365528402,0.5398613365528402,-0.4087094716236124,0.4087094716236124
mag__time__rms,piecewise_rul_norm,fit,7534,-0.5415345540750247,0.5415345540750247,-0.5884431679105091,0.5884431679105091,-0.4453182002300148,0.4453182002300148
mag__time__mean_abs,piecewise_rul_norm,fit,7534,-0.5691468838196022,0.5691468838196022,-0.6168868680765603,0.6168868680765603,-0.4656671247795645,0.4656671247795645
mag__time__ptp,piecewise_rul_norm,fit,7534,-0.2919843405695809,0.2919843405695809,-0.4441058169300612,0.4441058169300612,-0.3284863805238333,0.3284863805238333
mag__time__skewness,piecewise_rul_norm,fit,7534,0.05209274985964603,0.05209274985964603,-0.1666029624801038,0.1666029624801038,-0.12533463845735995,0.12533463845735995
mag__time__kurtosis,piecewise_rul_norm,fit,7534,0.12404042022782182,0.12404042022782182,-0.10517969637811284,0.10517969637811284,-0.08556312855707014,0.08556312855707014
