feature,monotonicity,robustness,trendability,prognosability
h__time__mean,0.019871805377655115,0.5500290656562443,0.09715940847526024,0.8632726117357054
h__time__std,0.01422914070247447,0.8337942143199012,0.6448654003319501,0.5994092465033944
h__time__rms,0.01723462453702552,0.8336781787423967,0.6446060631567413,0.5994177841783077
h__time__kurtosis,0.01985673635860757,0.6053764067613604,0.16911241053526702,0.970280535039305
h__time__crest_factor,0.01897495940081217,0.6058826576617093,0.1730239642304457,0.920727195463271
v__time__mean,0.01433348763387658,0.5506553415441158,0.14295930327034231,0.5604577663569001
v__time__std,0.025857701589039623,0.8426763859790772,0.6406459088403793,0.6457034514866774
v__time__rms,0.026519122219611193,0.8422258069152663,0.640514923845433,0.6445082895434472
v__time__kurtosis,0.016658416497223213,0.585323883237623,0.07593073532030133,0.9133324495020837
v__time__crest_factor,0.015309763844644773,0.5953449898578681,0.11507687532387442,0.8314052334497316
mag__time__mean,0.02754667014534995,0.8999277216419115,0.6724924890265566,0.6219051952251751
mag__time__std,0.016744178207513866,0.7733447458153635,0.6106272583239942,0.643682989078189
mag__time__rms,0.015613325840145591,0.8384504725409266,0.6559961013308823,0.6332140502439826
mag__time__kurtosis,0.00818415367894629,0.5915060289283355,0.09550880911939662,0.913267842281329
mag__time__crest_factor,0.01052502014102689,0.6040893065481422,0.12948930708855913,0.8677793640884071
h__spectral__centroid,0.020954427977349446,0.8290444299715968,0.362254734196105,0.8545525407127114
h__spectral__rms_frequency,0.01613966213805114,0.8380181555025209,0.38974347828145744,0.839774887654801
h__spectral__entropy,0.017804425316623677,0.7336543920081341,0.23248392258549655,0.8347874720435182
v__spectral__centroid,0.011239639210445978,0.7734415099718103,0.4021290360680369,0.7228377552505307
v__spectral__rms_frequency,0.016472616330758073,0.7766634644530677,0.43114962377116456,0.696769612206472
v__spectral__entropy,0.01945196152331738,0.694814557451715,0.23207616945444132,0.8460447305219814
mag__spectral__centroid,0.01429731455155423,0.7224848273659589,0.26751246509322024,0.780484594533485
mag__spectral__rms_frequency,0.010993583695757167,0.7219372871842853,0.2621675139683018,0.8073142127883305
mag__spectral__entropy,0.009861235119051905,0.6883985246709877,0.266115904966664,0.7609646023336964
tsfresh__h__sum_values,0.019871805377655115,0.5500290656433903,0.09715940847526024,0.8632726117353606
tsfresh__h__median,0.013036817346895864,0.5651937035805169,0.09504789793806796,0.8116703264533273
tsfresh__h__mean,0.019871805377655115,0.5500290656562443,0.09715940847526024,0.8632726117357054
tsfresh__h__length,0.0,1.0,0.0,1.0
tsfresh__h__standard_deviation,0.01422914070247447,0.8337942143199012,0.6448654003319501,0.5994092465033944
tsfresh__h__variance,0.01422914070247447,0.7942657898510679,0.683929900409114,0.42207034709460756
tsfresh__h__root_mean_square,0.01723462453702552,0.8336781787423967,0.6446060631567413,0.5994177841783077
tsfresh__h__maximum,0.01560942977082306,0.7255144937277104,0.5940599157668377,0.5445736344048372
tsfresh__h__absolute_maximum,0.018738137885736746,0.7061623578357722,0.5528456219004183,0.6896536104956978
tsfresh__h__minimum,0.014940073081901588,0.7017762849576893,0.5582927097745716,0.6898701494837515
tsfresh__v__sum_values,0.01433348763387658,0.5506553415311134,0.1429593032703422,0.5604577663558937
tsfresh__v__median,0.014878494519667176,0.5521105678537249,0.2025757047709265,0.5861349443404221
tsfresh__v__mean,0.01433348763387658,0.5506553415441158,0.14295930327034231,0.5604577663569001
tsfresh__v__length,0.0,1.0,0.0,1.0
tsfresh__v__standard_deviation,0.025857701589039623,0.8426763859790772,0.6406459088403793,0.6457034514866774
tsfresh__v__variance,0.025857701589039623,0.8384655023138099,0.740880986002956,0.45808831850150417
tsfresh__v__root_mean_square,0.026519122219611193,0.8422258069152663,0.640514923845433,0.6445082895434472
tsfresh__v__maximum,0.013070996040938561,0.6784066169216976,0.405396868465344,0.6144070440365906
tsfresh__v__absolute_maximum,0.026025164114401752,0.6674291325397372,0.4102709217270545,0.6275928099549297
tsfresh__v__minimum,0.026018694454152568,0.6650431640160394,0.4215211043904294,0.6032784892023885
