feature,healthy_mean,fault_mean,mean_shift,cohens_d,auc,auc_raw,auc_abs,healthy_std,fault_std
h__time__mean,0.0009682699496227456,0.0014484457714864024,0.0004801758218636568,0.023354255893824855,0.5100429109913065,0.5100429109913065,0.5100429109913065,0.02171874556289123,0.019333046267141562
h__time__std,0.3386153173802126,0.6347764081120743,0.29616109073186164,0.8806033087947922,0.8173952834967007,0.8173952834967007,0.8173952834967007,0.0688916598645728,0.4706070637024217
h__time__rms,0.33933619931320397,0.6351387190258074,0.29580251971260346,0.879732226266858,0.8168459928563946,0.8168459928563946,0.8168459928563946,0.06877484463514696,0.4705175543692908
h__time__kurtosis,4.145040913767567,1.5917489254786832,-2.5532919882888843,-0.22971223827975215,0.6061365292487524,0.3938634707512476,0.6061365292487524,13.622729513161717,7.843183124716263
h__time__crest_factor,5.63197275847022,4.682738986459031,-0.9492337720111887,-0.41630419646008365,0.6309660096139997,0.36903399038600027,0.6309660096139997,2.8584527278229266,1.4924365778564586
v__time__mean,0.0011216244076647037,0.0011579622787782852,3.6337871113581444e-05,0.0016823209675403963,0.5040358994173882,0.5040358994173882,0.5040358994173882,0.017203138159040843,0.025242000571666853
v__time__std,0.38872808847172646,0.605543157739788,0.2168150692680615,0.7134158266576047,0.7801689804137276,0.7801689804137276,0.7801689804137276,0.17941874303912722,0.3905546894435394
v__time__rms,0.3891071372914016,0.6060538846233436,0.21694674733194202,0.7138064594594982,0.7800410749286988,0.7800410749286988,0.7800410749286988,0.17942534334185897,0.3905799146580215
v__time__kurtosis,12.671823241830621,1.6182555261340106,-11.05356771569661,-0.35418845487930456,0.5494185457910423,0.4505814542089576,0.5494185457910423,43.23710625853627,8.857220163672645
v__time__crest_factor,6.014502468363264,4.5890991998946,-1.4254032684686644,-0.43367936622596565,0.6078948858359499,0.39210511416405014,0.6078948858359499,4.297070940249846,1.7722480649296233
mag__time__mean,0.42910969716990965,0.7456878975343582,0.3165782003644485,1.0117626017571066,0.8242928580220845,0.8242928580220845,0.8242928580220845,0.09297749350715762,0.43262586442745166
mag__time__std,0.28969262230157145,0.4969713660508012,0.20727874374922978,0.6885977590802348,0.7612615087238952,0.7612615087238952,0.7612615087238952,0.16363096168906024,0.3929959597775834
mag__time__rms,0.5238620492812396,0.8992933079326731,0.37543125865143356,0.8788675925574546,0.8030424390246511,0.8030424390246511,0.8030424390246511,0.17042713066361484,0.5795804417716534
mag__time__kurtosis,21.9514432827746,4.871885289777161,-17.07955799299744,-0.3817349066858729,0.5929061814795455,0.40709381852045445,0.5929061814795455,61.63873516448319,14.295021509471663
mag__time__crest_factor,5.349966229056763,4.146913120997757,-1.203053108059006,-0.39960925317347085,0.5980648068210758,0.40193519317892423,0.5980648068210758,3.944419267323212,1.6027054174758038
h__spectral__centroid,3956.6579522572315,4699.969543403658,743.311591146426,0.2812771397569583,0.5236162502314179,0.47638374976858205,0.5236162502314179,1704.1792723582494,3326.0737409677636
h__spectral__rms_frequency,4949.355156759616,5805.2316750987675,855.8765183391515,0.3390149511601504,0.5811721903523964,0.5811721903523964,0.5811721903523964,1848.215651701829,3054.7161140352796
h__spectral__entropy,0.8092909220554905,0.7902605999854122,-0.019030322070078265,-0.4028255154123491,0.5875482864217936,0.41245171357820637,0.5875482864217936,0.04789572073179797,0.046579302184972186
v__spectral__centroid,7044.209680823859,8227.969800675924,1183.7601198520651,0.8101981182499748,0.6829035828740821,0.6829035828740821,0.6829035828740821,1091.6096507465556,1754.385359839045
v__spectral__rms_frequency,7562.257244312321,8723.607525254603,1161.3502809422826,0.8769293654804964,0.696970588385861,0.696970588385861,0.696970588385861,1075.4097178168156,1533.372943649225
v__spectral__entropy,0.8867786269128155,0.8580609715648035,-0.02871765534801196,-0.8036799683311261,0.6964213741526548,0.3035786258473452,0.6964213741526548,0.019750532907206575,0.046514171754473234
mag__spectral__centroid,4417.9123254513215,3701.005796184383,-716.9065292669384,-0.6681810972842475,0.6648420905929947,0.3351579094070053,0.6648420905929947,865.3905296095626,1246.3645482133827
mag__spectral__rms_frequency,5859.369776448633,5102.574328264488,-756.7954481841452,-0.7488826614444785,0.665334457943966,0.33466554205603405,0.665334457943966,746.3399037663512,1218.7963440450021
mag__spectral__entropy,0.8964635951667493,0.8694372967398221,-0.027026298426927275,-0.6151928710456451,0.6297692452101726,0.37023075478982737,0.6297692452101726,0.030467243687623276,0.05414505487854471
tsfresh__h__sum_values,2.4787710710342292,3.70802117500519,1.2292501039709607,0.02335425589382484,0.5100429873984063,0.5100429873984063,0.5100429873984063,55.59998864100155,49.49259844388239
tsfresh__h__median,0.0022443871917556127,0.008275378866514428,0.006030991674758815,0.24717270221489374,0.5664229076431474,0.5664229076431474,0.5664229076431474,0.022475973569409106,0.02618285360111537
tsfresh__h__mean,0.0009682699496227456,0.0014484457714864024,0.0004801758218636568,0.023354255893824855,0.5100429109913065,0.5100429109913065,0.5100429109913065,0.02171874556289123,0.019333046267141562
tsfresh__h__length,2560.0,2560.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0
tsfresh__h__standard_deviation,0.3386153173802126,0.6347764081120743,0.29616109073186164,0.8806033087947922,0.8173952834967007,0.8173952834967007,0.8173952834967007,0.0688916598645728,0.4706070637024217
tsfresh__h__variance,0.11940639396339811,0.6244120967022819,0.5050057027388838,0.3799017716382162,0.8173952834967007,0.8173952834967007,0.8173952834967007,0.05757665772902271,1.879040656243788
tsfresh__h__root_mean_square,0.33933619931320397,0.6351387190258074,0.29580251971260346,0.879732226266858,0.8168459928563946,0.8168459928563946,0.8168459928563946,0.06877484463514696,0.4705175543692908
tsfresh__h__maximum,1.5879322782480674,2.760518580029064,1.1725863017809968,0.5783731303652103,0.7239122666173791,0.7239122666173791,0.7239122666173791,0.8175103716653049,2.748140243231439
tsfresh__h__absolute_maximum,1.9359297018770705,3.2179437409175833,1.2820140390405128,0.46307623446407,0.6710315241176336,0.6710315241176336,0.6710315241176336,1.2378594649841368,3.7143760091260587
tsfresh__h__minimum,-1.8834538093485462,-3.08908407722649,-1.2056302678779436,-0.4366277692227999,0.653237876924819,0.34676212307518095,0.653237876924819,1.2435632120810434,3.7016681711793478
tsfresh__v__sum_values,2.8713584836216413,2.9643834336724106,0.09302495005076938,0.001682320967540412,0.504035975824488,0.504035975824488,0.504035975824488,44.040033687144565,64.61952146346714
tsfresh__v__median,0.0017914979757085022,0.0013211542453809427,-0.0004703437303275595,-0.02060392554511716,0.5061328922708029,0.49386710772919706,0.5061328922708029,0.01793177203018498,0.0268453875701826
tsfresh__v__mean,0.0011216244076647037,0.0011579622787782852,3.6337871113581444e-05,0.0016823209675403963,0.5040358994173882,0.5040358994173882,0.5040358994173882,0.017203138159040843,0.025242000571666853
tsfresh__v__length,2560.0,2560.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0
tsfresh__v__standard_deviation,0.38872808847172646,0.605543157739788,0.2168150692680615,0.7134158266576047,0.7801689804137276,0.7801689804137276,0.7801689804137276,0.17941874303912722,0.3905546894435394
