feature,feature_family,physical_meaning,rul_score,health_score,early_fault_score,fault_type_score,overall_score,recommended_for,why,caveat,is_label_source,label_source_warning,example_plot
h__time__std,time_domain,Signal dispersion and vibration intensity.,0.5260136970329972,0.982651386643971,0.9245479802240972,0.0,0.6083032659752663,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__std.png
tsfresh__h__standard_deviation,tsfresh,Numerical feature extracted from the vibration snapshot.,0.5260136970329972,0.982651386643971,0.9245479802240972,0.0,0.6083032659752663,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Requires train-only scaling and cross-bearing validation before interpretation.,False,,figures/curves/tsfresh__h__standard_deviation.png
h__time__rms,time_domain,RMS vibration energy/amplitude level.,0.5265145925153222,0.9777591808396955,0.9232705972600368,0.0,0.6068860926537636,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__rms.png
tsfresh__h__root_mean_square,tsfresh,Numerical feature extracted from the vibration snapshot.,0.5265145925153222,0.9777591808396955,0.9232705972600368,0.0,0.6068860926537636,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Requires train-only scaling and cross-bearing validation before interpretation.,False,,figures/curves/tsfresh__h__root_mean_square.png
mag__time__mean,time_domain,Numerical feature extracted from the vibration snapshot.,0.5372811134968272,0.8672682371915791,1.0,0.0,0.6011373376721015,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__mean.png
mag__time__rms,time_domain,RMS vibration energy/amplitude level.,0.5087477550030763,0.7593427374191145,0.9015607627771809,0.0,0.542412813799843,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming. Used as HI source for FPT-based labels; do not overclaim independent detection ability.,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,figures/curves/mag__time__rms.png
mag__time__std,time_domain,Signal dispersion and vibration intensity.,0.4699319131732441,0.6284543027959244,0.7431133529503112,0.0,0.46037489222986994,"RUL,HealthState",high RUL score from correlation/trend metrics; separates health-state label distributions,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__std.png
tsfresh__h__variance,tsfresh,Signal dispersion and vibration intensity.,0.5259209121546633,0.5343436940893888,0.6771077525031781,0.0,0.4343430896868075,RUL,high RUL score from correlation/trend metrics,Requires train-only scaling and cross-bearing validation before interpretation.,False,,figures/curves/tsfresh__h__variance.png
tsfresh__h__maximum,tsfresh,Numerical feature extracted from the vibration snapshot.,0.46785259737878476,0.6324269146669532,0.6310560975694042,0.0,0.43283390240378555,HealthState,separates health-state label distributions,Requires train-only scaling and cross-bearing validation before interpretation.,False,,figures/curves/tsfresh__h__maximum.png
tsfresh__v__standard_deviation,tsfresh,Numerical feature extracted from the vibration snapshot.,0.4681414515813437,0.4410631950723308,0.7845299683543607,0.0,0.4234336537520088,EarlyFault,changes between healthy and post-FPT samples,Requires train-only scaling and cross-bearing validation before interpretation.,False,,figures/curves/tsfresh__v__standard_deviation.png
v__time__std,time_domain,Signal dispersion and vibration intensity.,0.4681414515813437,0.4410631950723308,0.7845299683543607,0.0,0.4234336537520088,EarlyFault,changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__std.png
tsfresh__v__root_mean_square,tsfresh,Numerical feature extracted from the vibration snapshot.,0.4679931543954175,0.43986288845024235,0.7845258072798664,0.0,0.4230954625313816,EarlyFault,changes between healthy and post-FPT samples,Requires train-only scaling and cross-bearing validation before interpretation.,False,,figures/curves/tsfresh__v__root_mean_square.png
v__time__rms,time_domain,RMS vibration energy/amplitude level.,0.4679931543954175,0.43986288845024235,0.7845258072798664,0.0,0.4230954625313816,EarlyFault,changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__rms.png
v__spectral__rms_frequency,spectral,RMS vibration energy/amplitude level.,0.34302913941753826,0.46660038914461366,0.7370596124563399,0.0,0.38667228525462294,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/v__spectral__rms_frequency.png
tsfresh__h__absolute_maximum,tsfresh,Numerical feature extracted from the vibration snapshot.,0.436152182462912,0.617138487098882,0.4925454735313438,0.0,0.38645903577328444,,"highest relative score is for HealthState, but it is outside the top recommendation band",Requires train-only scaling and cross-bearing validation before interpretation.,False,,figures/curves/tsfresh__h__absolute_maximum.png
mag__spectral__entropy,spectral,Spectral complexity or broadband excitation.,0.35422184860043193,0.6741371458422025,0.5041006967553759,0.0,0.38311492279950254,HealthState,separates health-state label distributions,"Useful for spectral complexity, but physical interpretation is weaker than energy or bearing-frequency features.",False,,figures/curves/mag__spectral__entropy.png
mag__spectral__centroid,spectral,Spectral energy center shift.,0.36808879513237464,0.5457719164297639,0.5843626763834758,0.0,0.37455584698640354,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/mag__spectral__centroid.png
mag__spectral__rms_frequency,spectral,RMS vibration energy/amplitude level.,0.356742834397265,0.5085956215643,0.6250034862487283,0.0,0.3725854855525733,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/mag__spectral__rms_frequency.png
