feature,rul_score,health_score,early_fault_score,fault_type_score,overall_score,rank_rul,rank_health,rank_early_fault,rank_fault_type,rank_overall,is_label_source,label_source_warning,recommended_for
h__time__std,0.5260136970329972,0.982651386643971,0.9245479802240972,0.0,0.6083032659752663,4,1,2,1,1,False,,"RUL,HealthState,EarlyFault"
tsfresh__h__standard_deviation,0.5260136970329972,0.982651386643971,0.9245479802240972,0.0,0.6083032659752663,4,1,2,1,1,False,,"RUL,HealthState,EarlyFault"
h__time__rms,0.5265145925153222,0.9777591808396955,0.9232705972600368,0.0,0.6068860926537636,2,3,4,1,3,False,,"RUL,HealthState,EarlyFault"
tsfresh__h__root_mean_square,0.5265145925153222,0.9777591808396955,0.9232705972600368,0.0,0.6068860926537636,2,3,4,1,3,False,,"RUL,HealthState,EarlyFault"
mag__time__mean,0.5372811134968272,0.8672682371915791,1.0,0.0,0.6011373376721015,1,5,1,1,5,False,,"RUL,HealthState,EarlyFault"
mag__time__rms,0.5087477550030763,0.7593427374191145,0.9015607627771809,0.0,0.542412813799843,7,6,6,1,6,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,"RUL,HealthState,EarlyFault"
mag__time__std,0.4699319131732441,0.6284543027959244,0.7431133529503112,0.0,0.46037489222986994,9,9,11,1,7,False,,"RUL,HealthState"
tsfresh__h__variance,0.5259209121546633,0.5343436940893888,0.6771077525031781,0.0,0.4343430896868075,6,13,15,1,8,False,,RUL
tsfresh__h__maximum,0.46785259737878476,0.6324269146669532,0.6310560975694042,0.0,0.43283390240378555,14,8,17,1,9,False,,HealthState
tsfresh__v__standard_deviation,0.4681414515813437,0.4410631950723308,0.7845299683543607,0.0,0.4234336537520088,10,17,7,1,10,False,,EarlyFault
v__time__std,0.4681414515813437,0.4410631950723308,0.7845299683543607,0.0,0.4234336537520088,10,17,7,1,10,False,,EarlyFault
tsfresh__v__root_mean_square,0.4679931543954175,0.43986288845024235,0.7845258072798664,0.0,0.4230954625313816,12,19,9,1,12,False,,EarlyFault
v__time__rms,0.4679931543954175,0.43986288845024235,0.7845258072798664,0.0,0.4230954625313816,12,19,9,1,12,False,,EarlyFault
v__spectral__rms_frequency,0.34302913941753826,0.46660038914461366,0.7370596124563399,0.0,0.38667228525462294,23,16,12,1,14,False,,
tsfresh__h__absolute_maximum,0.436152182462912,0.617138487098882,0.4925454735313438,0.0,0.38645903577328444,15,10,21,1,15,False,,
mag__spectral__entropy,0.35422184860043193,0.6741371458422025,0.5041006967553759,0.0,0.38311492279950254,19,7,20,1,16,False,,HealthState
mag__spectral__centroid,0.36808879513237464,0.5457719164297639,0.5843626763834758,0.0,0.37455584698640354,17,12,19,1,17,False,,
mag__spectral__rms_frequency,0.356742834397265,0.5085956215643,0.6250034862487283,0.0,0.3725854855525733,18,14,18,1,18,False,,
