feature,split,count,missing_count,nan_count,inf_count,mean,std,min,p25,median,p75,max,variance,is_constant
h__time__mean,train,7534,0,0,0,0.0012752790993330238,0.020227187689246327,-0.2798875,-0.007682031250000001,0.001238281249999999,0.0102626953125,0.652714453125,0.00040913912181599825,False
h__time__std,train,7534,0,0,0,0.5279713001324527,0.4043974358098386,0.03699255695227005,0.31680015655185456,0.37380181178739824,0.6155199957948919,6.706945963905146,0.16353728608957255,False
h__time__rms,train,7534,0,0,0,0.5284629231591836,0.40426313727295615,0.03926960597109424,0.31755943676683857,0.37413507613054475,0.6159204734497001,6.707559481368298,0.16342868415777298,False
h__time__kurtosis,train,7534,0,0,0,2.5125472175122505,10.380745061328676,-0.4141259378396587,0.1769457098682491,0.644316931409672,1.7573579689690189,413.6406575501815,107.75986802829969,False
h__time__crest_factor,train,7534,0,0,0,5.025062872648891,2.1397430584289236,2.9326485502961335,3.863608492029292,4.441072437226204,5.34913933544135,31.66643185955529,4.5785003560947635,False
v__time__mean,train,7534,0,0,0,0.0011448576868197504,0.022673938622838074,-0.5075199218750001,-0.00859306640625,0.0011429687500000012,0.011016503906249999,0.43359101562499996,0.0005141074926722282,False
v__time__std,train,7534,0,0,0,0.5273527485014918,0.34637115239452704,0.06332760678606132,0.32027285623945895,0.42370856348044234,0.6130625431343404,5.094401197829522,0.11997297521111268,False
v__time__rms,train,7534,0,0,0,0.5278159880875212,0.34640958051731113,0.06375704617922634,0.3207306093192957,0.42401608612551195,0.6133502086445451,5.119619129930163,0.11999959747417946,False
v__time__kurtosis,train,7534,0,0,0,5.604523575450137,27.43197002317383,-0.3734861728377181,0.09698787418056265,0.31444356405130525,0.7910080686960516,316.5658865800887,752.5129793523075,False
v__time__crest_factor,train,7534,0,0,0,5.103144949885224,3.0225235056692945,2.92890207431187,3.757853049756611,4.165932483106136,4.993314013643695,25.803365810750996,9.135648342323401,False
mag__time__mean,train,7534,0,0,0,0.6315197305061917,0.38196048845552705,0.0635738154971359,0.40281901163978856,0.4981016675522945,0.784774810764383,5.609605210704224,0.1458938147411848,False
mag__time__std,train,7534,0,0,0,0.42222005907354376,0.3439626389927306,0.039565551604408666,0.22979075605844576,0.28767250283650436,0.5443103609745465,6.112821729004281,0.11831029702284353,False
mag__time__rms,train,7534,0,0,0,0.763900856412107,0.5076874448315197,0.07488032378819552,0.4672468125279508,0.5814101650383934,0.959035264705326,8.296641495843174,0.2577465416395574,False
mag__time__kurtosis,train,7534,0,0,0,11.031317074615764,39.598935659220075,-0.0466331128958859,0.9687326514300895,1.9398474146650821,4.256801412690544,376.5846141171188,1568.0757053430514,False
mag__time__crest_factor,train,7534,0,0,0,4.580772331854716,2.7544352995633496,2.555074456547789,3.3149753268075126,3.799924719341658,4.605481175961446,24.267784527689088,7.586913819480639,False
h__spectral__centroid,train,7534,0,0,0,4431.907744472833,2871.921660712982,1052.7067688132165,2518.649160472719,3210.3084818609523,5694.001540433141,11128.952005285144,8247934.025272411,False
h__spectral__rms_frequency,train,7534,0,0,0,5496.57538357667,2714.206319758515,1719.5475210512102,3715.270410120718,4235.307897032819,7114.264875875373,11498.41967646066,7366915.946217061,False
h__spectral__entropy,train,7534,0,0,0,0.7971235393356118,0.04793732053619909,0.6379538187997794,0.7674811172611733,0.7959293866924465,0.8289968547777135,0.9260815915729986,0.002297986700190295,False
v__spectral__centroid,train,7534,0,0,0,7801.068254931558,1649.4629594207,731.85563385969,6615.053197099578,7574.283538511398,8375.658561672295,11457.126420337268,2720728.0545008937,False
v__spectral__rms_frequency,train,7534,0,0,0,8304.787680109903,1493.7746439547839,1958.929860594957,7273.352446124683,8135.4457961187245,8890.270246016915,11576.9197834458,2231362.6869222415,False
v__spectral__entropy,train,7534,0,0,0,0.8684174713763975,0.04140230091732098,0.6238574932540567,0.8594468851352971,0.8814234788743787,0.8967700754151214,0.9239684349486521,0.0017141505212483977,False
mag__spectral__centroid,train,7534,0,0,0,3959.545090054608,1175.4971942416548,552.8604246338286,2897.388702277405,4083.5118720266855,4919.9704096576115,6239.148692666609,1381793.653670003,False
mag__spectral__rms_frequency,train,7534,0,0,0,5375.498834863415,1132.5631617100878,1413.8029699435795,4498.317080444173,5597.609057050633,6263.841059893781,7487.264451708446,1282699.3152627503,False
mag__spectral__entropy,train,7534,0,0,0,0.8791838394563024,0.048760668777066835,0.624294316280611,0.8461706775059096,0.890001758645302,0.9200667627113853,0.9427558033155666,0.0023776028195868206,False
tsfresh__h__sum_values,train,7534,0,0,0,3.2647144942925403,51.78160048447061,-716.5120000000001,-19.666000000000004,3.1699999999999977,26.2725,1670.949,2681.3341487333264,False
tsfresh__h__median,train,7534,0,0,0,0.006100411468011681,0.025077490175495046,-0.275,-0.007375,0.0045000000000000005,0.018,0.6655,0.0006288805135020506,False
tsfresh__h__mean,train,7534,0,0,0,0.0012752790993330238,0.020227187689246327,-0.2798875,-0.007682031250000001,0.001238281249999999,0.0102626953125,0.652714453125,0.00040913912181599825,False
tsfresh__h__length,train,7534,0,0,0,2560.0,0.0,2560.0,2560.0,2560.0,2560.0,2560.0,0.0,True
tsfresh__h__standard_deviation,train,7534,0,0,0,0.5279713001324527,0.4043974358098386,0.03699255695227005,0.31680015655185456,0.37380181178739824,0.6155199957948919,6.706945963905146,0.16353728608957255,False
tsfresh__h__variance,train,7534,0,0,0,0.44229097985312504,1.5223261416295684,0.0013684492698669433,0.10036233934261321,0.13972779482299802,0.3788648662623596,44.98312416274353,2.3174768814887687,False
tsfresh__h__root_mean_square,train,7534,0,0,0,0.5284629231591836,0.40426313727295615,0.03926960597109424,0.31755943676683857,0.37413507613054475,0.6159204734497001,6.707559481368298,0.16342868415777298,False
tsfresh__h__maximum,train,7534,0,0,0,2.3376466684364217,2.320934312744842,0.145,1.2582499999999999,1.675,2.53275,44.295,5.386736084076371,False
tsfresh__h__absolute_maximum,train,7534,0,0,0,2.7556087071940536,3.1229251251351724,0.145,1.395,1.871,2.8354999999999997,48.148,9.752661337200532,False
tsfresh__h__minimum,train,7534,0,0,0,-2.6542954605787097,3.1070399248820126,-48.148,-2.711,-1.789,-1.324,-0.113,9.653697094810823,False
tsfresh__v__sum_values,train,7534,0,0,0,2.930835678258561,58.04528287446547,-1299.2510000000002,-21.99825,2.9260000000000033,28.202249999999996,1109.993,3369.2548639767147,False
tsfresh__v__median,train,7534,0,0,0,0.0014907751526413591,0.024016414694760263,-0.5025,-0.0095,0.0015,0.0125,0.43,0.0005767881747906966,False
tsfresh__v__mean,train,7534,0,0,0,0.0011448576868197504,0.022673938622838074,-0.5075199218750001,-0.00859306640625,0.0011429687500000012,0.011016503906249999,0.43359101562499996,0.0005141074926722282,False
tsfresh__v__length,train,7534,0,0,0,2560.0,0.0,2560.0,2560.0,2560.0,2560.0,2560.0,0.0,True
tsfresh__v__standard_deviation,train,7534,0,0,0,0.5273527485014918,0.34637115239452704,0.06332760678606132,0.32027285623945895,0.42370856348044234,0.6130625431343404,5.094401197829522,0.11997297521111268,False
tsfresh__v__variance,train,7534,0,0,0,0.3980738965631904,0.9344212386681235,0.00401038578125,0.10257470830032347,0.17952894726249696,0.37584568383457184,25.95292356444687,0.8731430512740702,False
tsfresh__v__root_mean_square,train,7534,0,0,0,0.5278159880875212,0.34640958051731113,0.06375704617922634,0.3207306093192957,0.42401608612551195,0.6133502086445451,5.119619129930163,0.11999959747417946,False
tsfresh__v__maximum,train,7534,0,0,0,2.68188638173613,3.347096821272424,0.208,1.268,1.676,2.73,47.849,11.203057130971965,False
tsfresh__v__absolute_maximum,train,7534,0,0,0,2.9035176533050175,3.612758318045562,0.246,1.367,1.805,2.911,47.849,13.052022664607396,False
tsfresh__v__minimum,train,7534,0,0,0,-2.69720613220069,3.2497463257450137,-47.843,-2.76275,-1.686,-1.285,-0.246,10.560851181693216,False
h__time__mean,val,4330,0,0,0,0.0009824539008371823,0.04702527736845876,-1.559198046875,-0.007774609374999998,0.0016933593750000004,0.011186816406250001,0.93180703125,0.0022113767115804796,False
h__time__std,val,4330,0,0,0,0.5774994995622249,0.9026686066413508,0.23070819637056372,0.2806804541647769,0.36395268845436457,0.5233293730262115,14.253403981157472,0.8148106134158377,False
h__time__rms,val,4330,0,0,0,0.5780204835785795,0.9035601517891825,0.23072172429682472,0.2807004716086081,0.36478791099535973,0.5235887416978315,14.253711132132615,0.8164209479012905,False
h__time__kurtosis,val,4330,0,0,0,2.6871530329155044,7.610699487645874,-0.26070303929198646,0.1634327890543691,0.404533656444247,1.361115997625582,110.64545844842453,57.922746691253174,False
h__time__crest_factor,val,4330,0,0,0,5.09876590853255,2.2753476559833046,3.0348896500041502,3.838485340005515,4.295082712671366,5.3093539590934125,20.514897637717233,5.177206955588719,False
v__time__mean,val,4330,0,0,0,0.014150040054849886,0.3444056359326224,-1.6300539062500001,-0.008807519531249999,0.00203359375,0.01418623046875,21.1402140625,0.11861524206215407,False
v__time__std,val,4330,0,0,0,0.6713185123605828,1.0334781416413161,0.244980929563118,0.2895296766909957,0.32321513331599006,0.3884997538800644,13.529110081723632,1.0680770692503883,False
v__time__rms,val,4330,0,0,0,0.6783088336259958,1.085107462977314,0.24502523466981926,0.2896387269753351,0.3244390540523181,0.39026171311052876,25.098714513132318,1.1774582062090633,False
v__time__kurtosis,val,4330,0,0,0,17.486843674264072,47.43698476774105,-0.25811080883731075,0.05895339707001279,0.2556482631480126,5.768068527082651,404.1549169095989,2250.2675238548964,False
v__time__crest_factor,val,4330,0,0,0,6.467857193192745,4.646336032199249,1.8291375032764798,3.7438403460399257,4.315672227893731,7.174260429134852,28.48551197660268,21.588438524113062,False
mag__time__mean,val,4330,0,0,0,0.6838236235401404,0.9713876604511447,0.3090929702103808,0.34878984310100525,0.4405665413835569,0.5255243222374781,22.509705773229264,0.9435939868767482,False
mag__time__std,val,4330,0,0,0,0.6046136467147037,1.0056457182029166,0.1683487664403375,0.20101826198347197,0.25259011467754255,0.3644239679657332,11.441169069719706,1.01132331053986,False
mag__time__rms,val,4330,0,0,0,0.9316346145053203,1.3856935636631036,0.3542476082752712,0.4031815562442648,0.5145324056612295,0.6527350854639474,25.130664413020277,1.9201466523773516,False
mag__time__kurtosis,val,4330,0,0,0,21.309770102608432,56.77566510746973,-0.45364690779823036,0.8461910822332072,1.4983924537320026,10.752379331846882,446.3645963034818,3223.476148395556,False
mag__time__crest_factor,val,4330,0,0,0,5.4313512831284685,3.9710048977325374,1.8277330571639578,3.23666982624933,3.7058787585528696,5.8639160343342365,26.855430129288102,15.7688798978158,False
h__spectral__centroid,val,4330,0,0,0,3222.3378603554106,1144.13980731592,690.7645859407198,2299.140637253042,3653.5763084955393,3978.6889167598715,7013.997981143932,1309055.8986849107,False
h__spectral__rms_frequency,val,4330,0,0,0,4394.494044971103,1189.9322902258866,754.2321650961966,3672.650225273834,4774.059649192926,5207.147208155284,7949.52325832473,1415938.8553222239,False
h__spectral__entropy,val,4330,0,0,0,0.7941898228046477,0.06756751790326701,0.33884401366844547,0.7417548216995834,0.8237384757576647,0.8425429003500876,0.9081720702990954,0.004565369475608308,False
v__spectral__centroid,val,4330,0,0,0,6490.981136710268,2292.1697513594468,188.3800860846893,6521.523881288675,6830.271153520436,8179.037075935405,9643.24646331075,5254042.169047227,False
v__spectral__rms_frequency,val,4330,0,0,0,7108.169363308604,2086.876242751244,760.1346480777297,7019.966312229202,7222.9432573720605,8823.118833077542,10052.850748379815,4355052.4525595475,False
v__spectral__entropy,val,4330,0,0,0,0.8457429851985713,0.0837950654075733,0.40827211509956457,0.8591150754734111,0.8725258642564913,0.8842746452679594,0.9176789684127631,0.007021612986659488,False
mag__spectral__centroid,val,4330,0,0,0,4029.477705010768,1582.5898299470853,185.30802573045293,2900.2477352283004,4765.298680728899,5264.391378937689,6019.28732602653,2504590.569851944,False
mag__spectral__rms_frequency,val,4330,0,0,0,5399.113748506309,1568.2482117037728,883.7798727420776,4551.108214424103,6128.368760824723,6524.807132941114,7250.534100044619,2459402.453512081,False
mag__spectral__entropy,val,4330,0,0,0,0.8654140326351453,0.09566782294700617,0.32631772788699237,0.84524972056708,0.9134030927559257,0.9274800015463499,0.9416325702006139,0.00915233234741972,False
tsfresh__h__sum_values,val,4330,0,0,0,2.5150819861431866,120.38471006325443,-3991.547,-19.902999999999995,4.335000000000001,28.638250000000003,2385.426,14492.478417013832,False
tsfresh__h__median,val,4330,0,0,0,0.009522632794457274,0.051341199555729904,-1.4985,-0.006500000000000001,0.004,0.0185,0.665,0.00263591877182128,False
tsfresh__h__mean,val,4330,0,0,0,0.0009824539008371823,0.04702527736845876,-1.559198046875,-0.007774609374999998,0.0016933593750000004,0.011186816406250001,0.93180703125,0.0022113767115804796,False
tsfresh__h__length,val,4330,0,0,0,2560.0,0.0,2560.0,2560.0,2560.0,2560.0,2560.0,0.0,True
tsfresh__h__standard_deviation,val,4330,0,0,0,0.5774994995622249,0.9026686066413508,0.23070819637056372,0.2806804541647769,0.36395268845436457,0.5233293730262115,14.253403981157472,0.8148106134158377,False
tsfresh__h__variance,val,4330,0,0,0,1.1483162854104578,8.974949415318173,0.05322627187255859,0.07878151744853974,0.13246155966796874,0.27387363736984255,203.1595250500757,80.54971700752003,False
