feature,mutual_information,fisher_score,anova_f,anova_p,class_count,state_0_mean,state_0_std,state_1_mean,state_1_std,state_2_mean,state_2_std,state_3_mean,state_3_std
h__time__mean,0.034390645815056686,0.0004013429777836596,1.0073708742373126,0.38829048549590917,4,0.0009682699496227456,0.02171874556289123,0.001607674656201349,0.022687237297322624,0.0017043606256496881,0.013644685345377706,0.0006211018374741202,0.021572378503025614
h__time__std,0.4740928531697637,0.682113988359405,1712.106110782109,0.0,4,0.3386153173802126,0.0688916598645728,0.42063849672823583,0.1499768131710519,0.591168979722775,0.20046947668352408,1.1487975752525172,0.7873904641058705
h__time__rms,0.4687821885047485,0.6815413615305886,1710.6688174417807,0.0,4,0.33933619931320397,0.06877484463514696,0.42118399108241256,0.15017033804520163,0.5913907164443565,0.2002869852361361,1.1490744516486169,0.7872822046262203
h__time__kurtosis,0.19230529541328956,0.026477731076851484,66.45910500289722,2.076442681244325e-42,4,4.145040913767567,13.622729513161717,0.6728034333129367,2.5560184303674047,1.1092691803880879,1.5348387540659834,4.385847261873816,16.705387807876814
h__time__crest_factor,0.13375414432925936,0.09882635725084787,248.0541566996279,1.6595611062627421e-153,4,5.63197275847022,2.8584527278229266,4.198265536914339,1.27950265711485,4.636901446352785,1.0491780812719347,5.7404737322530694,2.014309944810613
v__time__mean,0.024913908364157855,9.888105262169183e-05,0.24819144208051044,0.8626698475043839,4,0.0011216244076647037,0.017203138159040843,0.001417917463998443,0.022931768633388482,0.0011532248895530146,0.022416616496474872,0.000648832977484472,0.03357031863150715
v__time__std,0.36096382530012083,0.1726850444583784,433.4394615905301,9.053796585054758e-260,4,0.38872808847172646,0.17941874303912722,0.5372418150814856,0.2735794410848363,0.5715023433836949,0.2982062130061394,0.8095920336442102,0.6172039755369189
v__time__rms,0.3593528526096086,0.1728338979922867,433.8130839606401,5.6163102646768195e-260,4,0.3891071372914016,0.17942534334185897,0.5378201818777135,0.2734077667586525,0.571904879911778,0.298279259963559,0.8101833155300528,0.6173413892432045
v__time__kurtosis,0.09478703515884668,0.039105524912960356,98.15486753153051,2.5470641447832816e-62,4,12.671823241830621,43.23710625853627,1.25424030299259,6.6607551095405295,1.5152714537965297,10.35138050843514,2.5495171101617866,9.387589486737639
v__time__crest_factor,0.07266914321686047,0.06280550766026381,157.64182422726225,4.251329091186805e-99,4,6.014502468363264,4.297070940249846,4.299186630220552,1.7041852430700128,4.566693738030632,1.5326290986138174,5.21204912783266,2.1525344157294186
mag__time__mean,0.4950869060013574,0.5312170015073606,1333.3546737834774,0.0,4,0.42910969716990965,0.09297749350715762,0.5853971351372106,0.24577871882867597,0.7053783553975211,0.26515085878361006,1.1457250178351637,0.6769477581374406
mag__time__std,0.3453081556678901,0.4004296072594051,1005.0783142211084,0.0,4,0.28969262230157145,0.16363096168906024,0.35778171434858624,0.18123106840031142,0.4465994960505472,0.19644045533764917,0.8749568077802595,0.6642283203590282
mag__time__rms,0.42093869930193084,0.4781797954006571,1200.2312864556493,0.0,4,0.5238620492812396,0.17042713066361484,0.6872408843182285,0.3027365300936604,0.8369605492758824,0.32465459106360484,1.4464498793205616,0.9409970815056886
mag__time__kurtosis,0.16750375491084712,0.04718130386318457,118.42507269659323,6.110746909556039e-75,4,21.9514432827746,61.63873516448319,3.41486635856907,11.980091324604112,4.040395482853373,12.69654126801764,9.434475216236121,19.626193957342164
mag__time__crest_factor,0.12210900390614521,0.07174346844543822,180.07610579805012,9.162097097003399e-113,4,5.349966229056763,3.944419267323212,3.735142168579035,1.4743185347292183,4.0563262084298,1.3060400274778337,5.148747329167147,1.9279968692569776
h__spectral__centroid,0.3967123604144789,0.025220101849355372,63.302455641882055,2.049669585287644e-40,4,3956.6579522572315,1704.1792723582494,5015.426711445413,2880.322640030181,4697.696750535463,3664.9759895867937,4075.214771832172,3357.630031029115
h__spectral__rms_frequency,0.3034099017247307,0.03119791942209634,78.30677774946176,7.077393654107518e-50,4,4949.355156759616,1848.215651701829,5986.494423530377,2709.8710717085833,5913.092549292931,3262.1636949556464,5228.815900588119,3204.0318851866177
h__spectral__entropy,0.2651072444456051,0.31038707866982806,779.0715674613266,0.0,4,0.8092909220554905,0.04789572073179797,0.8221152020944295,0.028405698314399815,0.7750980468332556,0.03556361317989002,0.7569158111662335,0.055644810654393265
v__spectral__centroid,0.3344405228579683,0.17953588331872233,450.63506712999316,2.7505166995158338e-269,4,7044.209680823859,1091.6096507465556,8197.015797953254,1730.8400458141473,8592.98278128921,1658.2735759381856,7562.714509316317,1784.6569254415074
v__spectral__rms_frequency,0.35691198729467777,0.2055236770381911,515.8644293658589,6.75812074393745e-305,4,7562.257244312321,1075.4097178168156,8658.200233334124,1529.7328947657786,9064.683979641224,1427.3392331723328,8174.75530298847,1567.56804638077
v__spectral__entropy,0.25673173127306503,0.15476760208872753,388.4666812427417,1.294824321109207e-234,4,0.8867786269128155,0.019750532907206575,0.858160612431236,0.04875322192879341,0.8507971765774476,0.0459325998228332,0.8723296398940557,0.03919739492703391
mag__spectral__centroid,0.2613986134304511,0.38526050001565093,967.0038550392846,0.0,4,4417.9123254513215,865.3905296095626,4435.6760211771425,1182.2938124271827,3427.271036076185,959.2139479146359,2780.670552796316,1025.820436004601
mag__spectral__rms_frequency,0.27422328351912895,0.3309482314178431,830.6800608587862,0.0,4,5859.369776448633,746.3399037663512,5710.494599395355,1146.9396368649939,4893.179925480962,1015.1951540119276,4306.935061687181,1128.228910526586
mag__spectral__entropy,0.28205443523711593,0.5117882294509902,1284.5884559220956,0.0,4,0.8964635951667493,0.030467243687623276,0.9010383374816554,0.04062373813599917,0.8649746290083339,0.041049283928944205,0.8152871592717795,0.05483455666397542
tsfresh__h__sum_values,0.034390645815056686,0.00040134297778378954,1.007370874237312,0.38829048549590917,4,2.4787710710342292,55.59998864100155,4.115647119875454,58.07932748114592,4.363163201663201,34.930394484166925,1.5900207039337482,55.22528896774556
