feature,target_column,split_scope,n,pearson,abs_pearson,spearman,abs_spearman,kendall,abs_kendall
h__time__mean,piecewise_rul_norm,fit,7534,-0.0013400270214916222,0.0013400270214916222,-0.014483033075023745,0.014483033075023745,-0.010194274410769635,0.010194274410769635
h__time__std,piecewise_rul_norm,fit,7534,-0.6027186050644658,0.6027186050644658,-0.6477842540771666,0.6477842540771666,-0.5028160100497525,0.5028160100497525
h__time__rms,piecewise_rul_norm,fit,7534,-0.6023973994598473,0.6023973994598473,-0.6472831085749663,0.6472831085749663,-0.5022027591382926,0.5022027591382926
h__time__kurtosis,piecewise_rul_norm,fit,7534,0.019437872918914533,0.019437872918914533,-0.11578728214467261,0.11578728214467261,-0.10137771532457249,0.10137771532457249
h__time__crest_factor,piecewise_rul_norm,fit,7534,0.010917741533398242,0.010917741533398242,-0.022644748063008393,0.022644748063008393,-0.028322471405986028,0.028322471405986028
v__time__mean,piecewise_rul_norm,fit,7534,0.007369795062498888,0.007369795062498888,-0.010165346597659436,0.010165346597659436,-0.007365063352110165,0.007365063352110165
v__time__std,piecewise_rul_norm,fit,7534,-0.3633516290138429,0.3633516290138429,-0.47146447777197853,0.47146447777197853,-0.33672448773896674,0.33672448773896674
v__time__rms,piecewise_rul_norm,fit,7534,-0.3633785802809925,0.3633785802809925,-0.47090065053821384,0.47090065053821384,-0.336356446485682,0.336356446485682
v__time__kurtosis,piecewise_rul_norm,fit,7534,0.13345216641299076,0.13345216641299076,-0.09843375039165038,0.09843375039165038,-0.08218416365579019,0.08218416365579019
v__time__crest_factor,piecewise_rul_norm,fit,7534,0.10551406183090467,0.10551406183090467,0.010917588599416841,0.010917588599416841,-0.0015728491267914908,0.0015728491267914908
mag__time__mean,piecewise_rul_norm,fit,7534,-0.5691468838196022,0.5691468838196022,-0.6168868680765603,0.6168868680765603,-0.4656671247795645,0.4656671247795645
mag__time__std,piecewise_rul_norm,fit,7534,-0.4931022550468519,0.4931022550468519,-0.5398613365528402,0.5398613365528402,-0.4087094716236124,0.4087094716236124
mag__time__rms,piecewise_rul_norm,fit,7534,-0.5415345540750247,0.5415345540750247,-0.5884431679105091,0.5884431679105091,-0.4453182002300148,0.4453182002300148
mag__time__kurtosis,piecewise_rul_norm,fit,7534,0.12404042022782182,0.12404042022782182,-0.10517969637811284,0.10517969637811284,-0.08556312855707014,0.08556312855707014
mag__time__crest_factor,piecewise_rul_norm,fit,7534,0.055475209727886096,0.055475209727886096,-0.06590503236098538,0.06590503236098538,-0.05671992677649421,0.05671992677649421
h__spectral__centroid,piecewise_rul_norm,fit,7534,-0.022328395114887493,0.022328395114887493,0.1787470868323348,0.1787470868323348,0.13662834222677156,0.13662834222677156
h__spectral__rms_frequency,piecewise_rul_norm,fit,7534,-0.059780321509891494,0.059780321509891494,-0.009746065391807677,0.009746065391807677,-0.01262489590570173,0.01262489590570173
h__spectral__entropy,piecewise_rul_norm,fit,7534,0.45334142998648547,0.45334142998648547,0.3673194505612944,0.3673194505612944,0.2875302449259715,0.2875302449259715
v__spectral__centroid,piecewise_rul_norm,fit,7534,-0.215890183344606,0.215890183344606,-0.2461726551565624,0.2461726551565624,-0.17445805468289824,0.17445805468289824
v__spectral__rms_frequency,piecewise_rul_norm,fit,7534,-0.24946865444201605,0.24946865444201605,-0.2781381934000066,0.2781381934000066,-0.1965582932183491,0.1965582932183491
v__spectral__entropy,piecewise_rul_norm,fit,7534,0.20751836782989314,0.20751836782989314,0.2644666516489986,0.2644666516489986,0.1909892220791003,0.1909892220791003
mag__spectral__centroid,piecewise_rul_norm,fit,7534,0.5341218396092833,0.5341218396092833,0.47575716572185783,0.47575716572185783,0.34492404473040433,0.34492404473040433
mag__spectral__rms_frequency,piecewise_rul_norm,fit,7534,0.5120587040626293,0.5120587040626293,0.44906708069373785,0.44906708069373785,0.32426240983687465,0.32426240983687465
mag__spectral__entropy,piecewise_rul_norm,fit,7534,0.5637623115994299,0.5637623115994299,0.4595818682661103,0.4595818682661103,0.33082864676239,0.33082864676239
tsfresh__h__sum_values,piecewise_rul_norm,fit,7534,-0.0013400270214916172,0.0013400270214916172,-0.014483077389554075,0.014483077389554075,-0.010194349281002475,0.010194349281002475
tsfresh__h__median,piecewise_rul_norm,fit,7534,-0.23554671273180955,0.23554671273180955,-0.20677154519075114,0.20677154519075114,-0.15057080503418957,0.15057080503418957
tsfresh__h__mean,piecewise_rul_norm,fit,7534,-0.0013400270214916222,0.0013400270214916222,-0.014483033075023745,0.014483033075023745,-0.010194274410769635,0.010194274410769635
tsfresh__h__length,piecewise_rul_norm,fit,7534,0.0,0.0,0.0,0.0,0.0,0.0
