task,feature,xjtu_step_f_rank,xjtu_step_i_decision,phm2012_rank,phm2012_score,xjtu_interpretation,phm2012_interpretation,decision
RUL,h__time__mean_abs,4,stable_cross_condition,1,0.543875,stable_cross_condition,amplitude_dominant,consistent_manual_basic_candidate
RUL,mag__time__mean,2,stable_cross_condition,2,0.537281,stable_cross_condition,amplitude_dominant,consistent_manual_basic_candidate
RUL,mag__time__mean_abs,2,stable_cross_condition,2,0.537281,stable_cross_condition,amplitude_dominant,consistent_manual_basic_candidate
RUL,h__time__rms,5,stable_cross_condition,4,0.526515,stable_cross_condition,amplitude_dominant,consistent_manual_basic_candidate
RUL,h__time__std,6,stable_cross_condition,5,0.526014,stable_cross_condition,amplitude_dominant,consistent_manual_basic_candidate
RUL,mag__time__rms,1,label_source_reference,6,0.508748,label_source_reference,label_source_reference,caveat_label_source
RUL,v__time__mean_abs,7,stable_cross_condition,7,0.491257,stable_cross_condition,secondary_time_domain_signal,consistent_manual_basic_candidate
RUL,mag__time__std,8,stable_cross_condition,8,0.469932,stable_cross_condition,secondary_time_domain_signal,consistent_manual_basic_candidate
RUL,v__time__std,10,stable_cross_condition,9,0.468141,stable_cross_condition,secondary_time_domain_signal,consistent_manual_basic_candidate
RUL,v__time__rms,9,stable_cross_condition,10,0.467993,stable_cross_condition,secondary_time_domain_signal,consistent_manual_basic_candidate
RUL,mag__spectral__entropy,15,not_checked_in_step_i,15,0.354222,not_checked_in_step_i,not_top_candidate,dataset_specific_or_low_priority
RUL,v__spectral__rms_frequency,23,not_checked_in_step_i,17,0.343029,not_checked_in_step_i,not_top_candidate,dataset_specific_or_low_priority
HealthState,h__time__mean_abs,1,downgrade,1,0.943868,downgrade,amplitude_dominant,consistent_manual_basic_candidate
HealthState,h__time__std,3,stable_cross_condition,2,0.85398,stable_cross_condition,amplitude_dominant,consistent_manual_basic_candidate
HealthState,h__time__rms,2,downgrade,3,0.849583,downgrade,amplitude_dominant,consistent_manual_basic_candidate
HealthState,mag__time__mean,4,stable_cross_condition,4,0.754813,stable_cross_condition,amplitude_dominant,consistent_manual_basic_candidate
HealthState,mag__time__mean_abs,4,stable_cross_condition,4,0.754813,stable_cross_condition,amplitude_dominant,consistent_manual_basic_candidate
HealthState,mag__time__rms,6,label_source_reference,6,0.659154,label_source_reference,label_source_reference,caveat_label_source
HealthState,mag__spectral__entropy,19,not_checked_in_step_i,7,0.581146,not_checked_in_step_i,secondary_spectral_signal,phm_secondary_only
HealthState,h__time__ptp,8,downgrade,8,0.560193,downgrade,secondary_time_domain_signal,consistent_manual_basic_candidate
HealthState,mag__time__std,7,stable_cross_condition,9,0.543584,stable_cross_condition,secondary_time_domain_signal,consistent_manual_basic_candidate
HealthState,v__time__mean_abs,9,stable_cross_condition,11,0.461925,stable_cross_condition,secondary_time_domain_signal,dataset_specific_or_low_priority
HealthState,v__time__std,11,stable_cross_condition,17,0.381959,stable_cross_condition,not_top_candidate,dataset_specific_or_low_priority
HealthState,v__time__rms,10,condition_sensitive,18,0.38087,condition_sensitive,not_top_candidate,dataset_specific_or_low_priority
EarlyFault,h__time__mean_abs,1,downgrade,1,0.993958,downgrade,amplitude_dominant,consistent_manual_basic_candidate
EarlyFault,mag__time__mean,4,stable_cross_condition,2,0.982818,stable_cross_condition,amplitude_dominant,consistent_manual_basic_candidate
EarlyFault,mag__time__mean_abs,4,stable_cross_condition,2,0.982818,stable_cross_condition,amplitude_dominant,consistent_manual_basic_candidate
EarlyFault,h__time__std,2,downgrade,4,0.90752,downgrade,amplitude_dominant,consistent_manual_basic_candidate
EarlyFault,h__time__rms,3,downgrade,5,0.906261,downgrade,amplitude_dominant,consistent_manual_basic_candidate
EarlyFault,mag__time__rms,6,label_source_reference,6,0.885023,label_source_reference,label_source_reference,caveat_label_source
EarlyFault,v__time__mean_abs,9,stable_cross_condition,7,0.867092,stable_cross_condition,secondary_time_domain_signal,consistent_manual_basic_candidate
EarlyFault,v__time__rms,11,condition_sensitive,8,0.768673,condition_sensitive,secondary_time_domain_signal,dataset_specific_or_low_priority
EarlyFault,v__time__std,10,stable_cross_condition,9,0.768672,stable_cross_condition,secondary_time_domain_signal,consistent_manual_basic_candidate
EarlyFault,mag__time__std,7,stable_cross_condition,10,0.727887,stable_cross_condition,secondary_time_domain_signal,consistent_manual_basic_candidate
EarlyFault,v__spectral__rms_frequency,26,not_checked_in_step_i,11,0.724151,not_checked_in_step_i,secondary_spectral_signal,phm_secondary_only
EarlyFault,v__spectral__peak_frequency,14,not_checked_in_step_i,12,0.70567,not_checked_in_step_i,secondary_spectral_signal,phm_secondary_only
EarlyFault,mag__spectral__entropy,16,condition_sensitive,19,0.493329,condition_sensitive,not_top_candidate,dataset_specific_or_low_priority
