task,feature,step_f_rank,step_h_top10_count,step_i_rank,step_i_score,train_mean,val_mean,test_mean,train_std,val_std,test_std,condition_shift_note,decision
RUL,mag__time__rms,1,3,6,0.67307,2.221831,2.519407,1.340987,2.108984,2.731222,1.34802,test_mean_lower_than_train,label_source_reference
RUL,mag__time__mean,2,3,4,0.676735,1.922017,2.207957,1.168386,1.83058,2.418457,1.171681,test_mean_lower_than_train,stable_cross_condition
RUL,mag__time__mean_abs,2,3,4,0.676735,1.922017,2.207957,1.168386,1.83058,2.418457,1.171681,test_mean_lower_than_train,stable_cross_condition
RUL,h__time__mean_abs,4,3,8,0.615849,1.121159,1.296775,0.708641,1.01441,1.527589,0.641853,test_mean_lower_than_train,stable_cross_condition
RUL,h__time__rms,5,3,10,0.610293,1.445736,1.642115,0.897779,1.311243,1.906851,0.826023,test_mean_lower_than_train,stable_cross_condition
RUL,h__time__std,6,3,9,0.612063,1.44493,1.641659,0.897419,1.311808,1.907114,0.82608,test_mean_lower_than_train,stable_cross_condition
RUL,mag__time__std,8,3,7,0.643967,1.111336,1.210262,0.656163,1.050763,1.2721,0.668501,test_mean_lower_than_train,stable_cross_condition
RUL,v__time__mean_abs,7,3,1,0.69369,1.323545,1.499203,0.776414,1.349478,1.602108,0.867219,test_mean_lower_than_train,stable_cross_condition
RUL,v__time__std,10,3,3,0.681007,1.660538,1.877701,0.987162,1.678286,1.986963,1.07333,test_mean_lower_than_train,stable_cross_condition
RUL,v__time__rms,9,2,2,0.684112,1.661018,1.878001,0.987442,1.678051,1.986826,1.073332,test_mean_lower_than_train,stable_cross_condition
RUL,v__spectral__entropy,27,0,14,0.561891,0.673236,0.632018,0.745154,0.121041,0.117816,0.060069,low_mean_shift,downgrade
RUL,mag__time__ptp,13,0,13,0.571037,9.909145,9.179486,5.210667,8.906116,8.938333,5.031688,test_mean_lower_than_train,downgrade
RUL,v__time__ptp,12,0,11,0.602939,14.09616,14.914727,8.89809,13.418625,13.874067,8.234063,test_mean_lower_than_train,downgrade
RUL,h__time__ptp,11,1,12,0.574968,17.051279,14.123779,8.365155,15.537524,14.585146,7.742446,test_mean_lower_than_train,downgrade
HealthState,h__time__mean_abs,1,3,14,0.767461,1.121159,1.296775,0.708641,1.01441,1.527589,0.641853,test_mean_lower_than_train,downgrade
HealthState,h__time__rms,2,2,13,0.770083,1.445736,1.642115,0.897779,1.311243,1.906851,0.826023,test_mean_lower_than_train,downgrade
HealthState,h__time__std,3,2,10,0.776251,1.44493,1.641659,0.897419,1.311808,1.907114,0.82608,test_mean_lower_than_train,stable_cross_condition
HealthState,mag__time__mean,4,3,5,0.894757,1.922017,2.207957,1.168386,1.83058,2.418457,1.171681,test_mean_lower_than_train,stable_cross_condition
HealthState,mag__time__mean_abs,4,3,5,0.894757,1.922017,2.207957,1.168386,1.83058,2.418457,1.171681,test_mean_lower_than_train,stable_cross_condition
HealthState,mag__time__rms,6,3,4,0.89602,2.221831,2.519407,1.340987,2.108984,2.731222,1.34802,test_mean_lower_than_train,label_source_reference
HealthState,mag__time__std,7,3,7,0.849905,1.111336,1.210262,0.656163,1.050763,1.2721,0.668501,test_mean_lower_than_train,stable_cross_condition
HealthState,v__time__mean_abs,9,2,1,0.922021,1.323545,1.499203,0.776414,1.349478,1.602108,0.867219,test_mean_lower_than_train,stable_cross_condition
HealthState,v__time__std,11,2,3,0.917859,1.660538,1.877701,0.987162,1.678286,1.986963,1.07333,test_mean_lower_than_train,stable_cross_condition
HealthState,v__time__rms,10,1,2,0.918476,1.661018,1.878001,0.987442,1.678051,1.986826,1.073332,test_mean_lower_than_train,condition_sensitive
HealthState,v__spectral__entropy,23,1,8,0.849118,0.673236,0.632018,0.745154,0.121041,0.117816,0.060069,low_mean_shift,condition_sensitive
HealthState,v__time__ptp,13,1,9,0.780204,14.09616,14.914727,8.89809,13.418625,13.874067,8.234063,test_mean_lower_than_train,condition_sensitive
HealthState,h__time__ptp,8,2,11,0.774845,17.051279,14.123779,8.365155,15.537524,14.585146,7.742446,test_mean_lower_than_train,downgrade
EarlyFault,h__time__mean_abs,1,1,16,0.711428,1.121159,1.296775,0.708641,1.01441,1.527589,0.641853,test_mean_lower_than_train,downgrade
EarlyFault,h__time__rms,3,1,13,0.714685,1.445736,1.642115,0.897779,1.311243,1.906851,0.826023,test_mean_lower_than_train,downgrade
EarlyFault,h__time__std,2,1,14,0.714663,1.44493,1.641659,0.897419,1.311808,1.907114,0.82608,test_mean_lower_than_train,downgrade
EarlyFault,mag__time__mean,4,3,9,0.772308,1.922017,2.207957,1.168386,1.83058,2.418457,1.171681,test_mean_lower_than_train,stable_cross_condition
EarlyFault,mag__time__mean_abs,4,3,9,0.772308,1.922017,2.207957,1.168386,1.83058,2.418457,1.171681,test_mean_lower_than_train,stable_cross_condition
EarlyFault,mag__time__rms,6,3,8,0.776375,2.221831,2.519407,1.340987,2.108984,2.731222,1.34802,test_mean_lower_than_train,label_source_reference
EarlyFault,mag__time__std,7,2,7,0.786892,1.111336,1.210262,0.656163,1.050763,1.2721,0.668501,test_mean_lower_than_train,stable_cross_condition
EarlyFault,v__time__mean_abs,9,2,5,0.799202,1.323545,1.499203,0.776414,1.349478,1.602108,0.867219,test_mean_lower_than_train,stable_cross_condition
EarlyFault,v__time__std,10,3,3,0.804058,1.660538,1.877701,0.987162,1.678286,1.986963,1.07333,test_mean_lower_than_train,stable_cross_condition
EarlyFault,v__time__rms,11,1,4,0.803671,1.661018,1.878001,0.987442,1.678051,1.986826,1.073332,test_mean_lower_than_train,condition_sensitive
EarlyFault,v__spectral__entropy,29,1,1,0.927318,0.673236,0.632018,0.745154,0.121041,0.117816,0.060069,low_mean_shift,condition_sensitive
EarlyFault,mag__spectral__entropy,16,1,2,0.896268,0.847331,0.822897,0.901208,0.1025,0.107555,0.066252,low_mean_shift,condition_sensitive
EarlyFault,v__time__ptp,13,1,6,0.788084,14.09616,14.914727,8.89809,13.418625,13.874067,8.234063,test_mean_lower_than_train,condition_sensitive
EarlyFault,mag__time__ptp,12,1,11,0.754533,9.909145,9.179486,5.210667,8.906116,8.938333,5.031688,test_mean_lower_than_train,downgrade
