feature,monotonicity,robustness,trendability,prognosability
h__time__mean,0.02797611422084574,0.5751841591278519,0.08154346624077381,0.8131149390101642
h__time__std,0.1302277547735186,0.8904015206702813,0.7016712001430386,0.7754674628423756
h__time__rms,0.13209845875279838,0.8903938965030965,0.7016956336016444,0.775468283794883
h__time__mean_abs,0.13435753421785998,0.892646087735495,0.7000402404331101,0.7928434702031298
h__time__ptp,0.05493844669409698,0.8444696258600233,0.6590965878756968,0.7963501046345675
h__time__skewness,0.03142872783951545,0.729281689117578,0.16977154226644975,0.6657124154225545
h__time__kurtosis,0.023679753229677775,0.7150781158999103,0.1874328248072457,0.7888686738669628
h__time__crest_factor,0.02274795210382149,0.6459929933638153,0.16698885491984136,0.8887467661010495
h__time__impulse_factor,0.026359058663987148,0.6519897274878481,0.17195735439152798,0.8792574975751521
h__time__clearance_factor,0.024519977151495016,0.6547290326617111,0.1723681567561945,0.8716359291816501
v__time__mean,0.015568010510906881,0.5608123841583109,0.08691320866583543,0.8226199556295365
v__time__std,0.13685057040227758,0.8937145675499748,0.6514688591029273,0.7028661033288391
v__time__rms,0.14237034883865976,0.8937034526496611,0.6514691690229004,0.702863193726472
v__time__mean_abs,0.148879834841407,0.8945413344984328,0.6549485624018719,0.6836972960829063
v__time__ptp,0.041784916193630645,0.8636494078038823,0.6413224597105947,0.8243598895519313
v__time__skewness,0.039298978164562355,0.7325797268915415,0.1896500630577591,0.8325788265336338
v__time__kurtosis,0.042224490569835814,0.7472430461119723,0.25802788831512413,0.8847309621912924
v__time__crest_factor,0.022308031825616415,0.631039121033614,0.15629068993214712,0.8791199623396198
v__time__impulse_factor,0.01976258198377462,0.6404584485125782,0.17360458347812519,0.8765380229272414
v__time__clearance_factor,0.02190348156953279,0.6450416885476593,0.18059197290438062,0.8748688946129006
mag__time__mean,0.1565010043236767,0.8977077784287347,0.6862995830089099,0.7517123460123624
mag__time__std,0.13956380725267328,0.8907261219629178,0.6808524165259265,0.7991454436282651
mag__time__rms,0.16503613323008684,0.8964697081983802,0.6861279521653736,0.7664454301795977
mag__time__mean_abs,0.1565010043236767,0.8977077784287347,0.6862995830089099,0.7517123460123624
mag__time__ptp,0.038507030041722776,0.8416187260073861,0.6421338499470588,0.8139406842336234
mag__time__skewness,0.04661474840294489,0.7326755665144927,0.21318572946589812,0.7944744548644977
mag__time__kurtosis,0.04754292038998678,0.6779977232410833,0.1874771268687367,0.8765456727593922
mag__time__crest_factor,0.02432801087822018,0.6382659664510757,0.15647133032581506,0.8516892341787909
mag__time__impulse_factor,0.024474048022663675,0.6446525296924613,0.16299644542788747,0.843326731488707
mag__time__clearance_factor,0.022994188332517134,0.6475922218668452,0.16585173109089588,0.8397976639878775
h__spectral__centroid,0.03091435152664693,0.8229057023495974,0.31995910790656995,0.8859558333244669
h__spectral__bandwidth,0.037161970562024325,0.8013644616287624,0.3259898461621977,0.7733577887636301
h__spectral__rms_frequency,0.04653391522720504,0.8195178600088978,0.320113498758767,0.8628583534655647
h__spectral__peak_frequency,0.037932971031168175,0.6485592790244629,0.18713014680502316,0.9402561442452954
h__spectral__entropy,0.026072501447899393,0.8279881401164613,0.37201886504336956,0.7592614181319254
v__spectral__centroid,0.0379009986011867,0.823135357697301,0.34879484966070073,0.8289885976700833
v__spectral__bandwidth,0.02487763317103309,0.8444697657618071,0.3267625193729662,0.8390531987232301
v__spectral__rms_frequency,0.036332873129145175,0.8385039054380905,0.3531784137043814,0.8365051352585405
v__spectral__peak_frequency,0.023963220250029102,0.6363024640245161,0.171789263269808,0.923111278160955
v__spectral__entropy,0.02975484875270547,0.8302528089833225,0.40335829341761514,0.7083617338796155
mag__spectral__centroid,0.04096877918304895,0.8657427593063615,0.39986440537713586,0.8496722159627621
mag__spectral__bandwidth,0.024445958211267375,0.8164222765639899,0.2811285360893399,0.8272736879382709
mag__spectral__rms_frequency,0.03928589974473461,0.860460729038479,0.3802291200788618,0.848908333596556
mag__spectral__peak_frequency,0.010258393264366925,0.6056136787831431,0.0913657415484908,0.8189897801764664
mag__spectral__entropy,0.041815362313847845,0.8793247771304297,0.4309926777418635,0.7560969983141005
