feature,feature_family,physical_meaning,rul_score,health_score,early_fault_score,fault_type_score,overall_score,recommended_for,why,caveat,is_label_source,label_source_warning,example_plot
h__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.6193669807101265,0.9962923267289785,0.9956673681334776,0.0,0.6528316688931457,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__mean_abs.png
h__time__rms,time_domain,RMS vibration energy/amplitude level.,0.6193045511667673,0.9769311123094976,0.99110743215558,0.0,0.6468357739079612,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__rms.png
h__time__std,time_domain,Signal dispersion and vibration intensity.,0.6188317993537891,0.974955214647958,0.9911767120252735,0.0,0.6462409315067552,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__std.png
mag__time__mean,time_domain,Numerical feature extracted from the vibration snapshot.,0.6246182401300011,0.8745682707966682,0.9611238763604877,0.0,0.6150775968217892,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__mean.png
mag__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.6246182401300011,0.8745682707966682,0.9611238763604877,0.0,0.6150775968217892,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__mean_abs.png
mag__time__rms,time_domain,RMS vibration energy/amplitude level.,0.6252042615484985,0.8504526436299317,0.954181131464432,0.0,0.6074595091607156,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming. Used as HI source for FPT-based labels; do not overclaim independent detection ability.,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,figures/curves/mag__time__rms.png
mag__time__std,time_domain,Signal dispersion and vibration intensity.,0.6098628466237819,0.7603480896406012,0.9232956275503679,0.0,0.5733766409536878,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__std.png
v__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.6129642722530992,0.736047104136563,0.9113414405111011,0.0,0.5650882042251908,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__mean_abs.png
h__time__ptp,time_domain,Peak-to-peak vibration amplitude.,0.5659035992015966,0.7457506855059045,0.921421744423969,0.0,0.5582690072828675,"HealthState,EarlyFault",separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__ptp.png
v__time__rms,time_domain,RMS vibration energy/amplitude level.,0.6067628024811134,0.7172158026223592,0.9014283450620697,0.0,0.5563517375413856,RUL,high RUL score from correlation/trend metrics,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__rms.png
