feature,split,count,missing_count,nan_count,inf_count,mean,std,min,p25,median,p75,max,variance,is_constant
h__time__mean,train,7032,0,0,0,0.0018936992909885236,0.025238523865479007,-0.179895498241038,-0.011783359080784171,0.0018831479032825095,0.015323211145435878,0.12778334899336047,0.0006369830869083534,False
h__time__std,train,7032,0,0,0,0.9884942196557645,0.8476678893974527,0.3381267485237921,0.4932689753532225,0.5892671516341114,1.1143622077515962,9.140704369561139,0.7185408507155321,False
h__time__rms,train,7032,0,0,0,0.9889363897567701,0.8475299754033183,0.3381332623511846,0.4937397448382877,0.589333247002266,1.1145209986990836,9.140705241315093,0.7183070592071494,False
h__time__mean_abs,train,7032,0,0,0,0.7783616324461384,0.6566120061087908,0.269910242202214,0.39336346412772966,0.46794376284781297,0.8807890242655702,6.754737095939629,0.43113932656621073,False
h__time__ptp,train,7032,0,0,0,9.514404942490271,8.66408566306719,2.608656883239746,4.173743724822998,6.122875213623047,10.97823679447174,88.04129600524902,75.06638037696644,False
h__time__skewness,train,7032,0,0,0,-0.02053919272251212,0.08161152318957415,-0.9294023197085473,-0.02630133648680571,-0.006900872850107696,0.010761507818118144,0.2953837489050947,0.0066604407173223995,False
h__time__kurtosis,train,7032,0,0,0,0.2649500507553708,0.4712187273744507,-0.7057020611266109,0.026032530921926922,0.07178348172568016,0.3594262401235586,5.767132137288474,0.2220470890283969,False
h__time__crest_factor,train,7032,0,0,0,4.950409478661472,1.064349636958412,3.370567634942082,4.279527342927672,4.581310124757083,5.273833370579215,15.3347089081729,1.1328401496935034,False
h__time__impulse_factor,train,7032,0,0,0,6.270454391762738,1.422877158993252,4.098405846058477,5.373173320113976,5.760608003162751,6.705326295731293,19.80206737326045,2.024579409584708,False
h__time__clearance_factor,train,7032,0,0,0,7.438875991683724,1.7291129754373769,4.757547883318413,6.34694345931886,6.809174198550087,7.976841487141178,23.58626967387821,2.9898316818258985,False
v__time__mean,train,7032,0,0,0,0.0022673315492132955,0.025075307737917666,-0.7142995534201289,-0.00926181326244618,0.0031729211201445354,0.014882547407022101,0.13595515841564404,0.0006287710581512736,False
v__time__std,train,7032,0,0,0,1.0931235851232644,1.0322787385724261,0.4444679087377351,0.5094425793666968,0.7648928665135926,1.1445650293463083,11.600106701791171,1.0655993941086792,False
v__time__rms,train,7032,0,0,0,1.0934503414643324,1.0322397149225842,0.44447426329158,0.5096881134741293,0.7655337914858877,1.1445967802531705,11.600636579172015,1.0655188290634579,False
v__time__mean_abs,train,7032,0,0,0,0.8604800234378704,0.8229426643932992,0.35533823743497767,0.40679801749026856,0.609606657141126,0.8735952976623501,9.67868612966679,0.6772346288787423,False
v__time__ptp,train,7032,0,0,0,9.842822140462028,8.424692474562244,3.4271240234375,4.240649938583374,6.6465675830841064,11.82619333267212,72.47927188873291,70.97544329094572,False
v__time__skewness,train,7032,0,0,0,-0.07360218461911479,0.12740295996646409,-0.5685536922293934,-0.14273994271075305,-0.024193705869001197,0.006595033150148144,0.4560350477411001,0.016231514208216453,False
v__time__kurtosis,train,7032,0,0,0,0.3879519556826573,0.6754999687073426,-0.6508000677028178,-0.009362052622765571,0.048315740161660736,0.5119577470326651,9.471495096609845,0.45630020772362095,False
v__time__crest_factor,train,7032,0,0,0,4.787844590981466,0.890403000248988,2.9119888454165377,4.2061695448485885,4.536075493473432,5.1215082015757085,12.066560203591543,0.7928175028523994,False
v__time__impulse_factor,train,7032,0,0,0,6.105338105776756,1.2644652271952468,3.5585424559264873,5.2735378828001185,5.711669746523717,6.6268943748494085,15.498899464842975,1.598872310785927,False
v__time__clearance_factor,train,7032,0,0,0,7.266942887961169,1.5843049333579209,4.108661178385065,6.224740403740874,6.756891623728912,7.912026860389819,18.427126746576203,2.510022121862246,False
mag__time__mean,train,7032,0,0,0,1.289104858820322,1.1523015072079745,0.5029761007709854,0.628382224483587,0.8526045996039516,1.3723026239801248,12.884141345785686,1.3277987635137698,False
mag__time__std,train,7032,0,0,0,0.7274779039821703,0.6622994180685975,0.2688636082490763,0.3307192366152053,0.4817245144196436,0.7981957515064511,7.104918457512057,0.4386405191740028,False
mag__time__rms,train,7032,0,0,0,1.4810150558777784,1.3281751107318522,0.570806748088086,0.7100661381079245,0.9807961692372651,1.5848269156232766,14.71329210292787,1.764049124767568,False
