feature,mutual_information,fisher_score,anova_f,anova_p,class_count,state_0_mean,state_0_std,state_1_mean,state_1_std,state_2_mean,state_2_std,state_3_mean,state_3_std
h__time__mean,0.012575621420916061,0.010918821461453272,25.579159077036984,1.8822051849065836e-16,4,0.00010509843784009532,0.024806719221346536,0.005750979921946458,0.02595190269078782,0.006357346048609157,0.023944307584248564,0.0033121270236037385,0.0283634733275234
h__time__std,0.6255340402440286,1.7926046487468723,4199.475157131007,0.0,4,0.6022213714011776,0.20567791279352143,1.0671627737013534,0.5475242733235322,1.8736927541163018,0.7829808312145007,2.9536677304982395,1.2750815270097882
h__time__rms,0.6287308913133876,1.7922963748476597,4198.752974143119,0.0,4,0.6027576713662791,0.2056029132982399,1.0675077655794616,0.5474969962504889,1.8738936666880808,0.7828919405243957,2.953837124926047,1.275008885820598
h__time__mean_abs,0.623019635250939,1.8638003303298436,4366.262907186054,0.0,4,0.47695003353544385,0.1587545746430177,0.8409008908682911,0.4254751001855222,1.468183524243004,0.5977047169557497,2.3113026364152716,0.9687271377032507
h__time__ptp,0.4895057109923344,1.3558834768793437,3176.3830251693403,0.0,4,5.7622246897408225,2.863380577039746,10.488023995841521,5.8439049564978705,17.86636426884641,9.242550136279853,28.676833184356365,12.594751975141833
h__time__skewness,0.1423081163936244,0.07905722295193866,185.20472096874587,1.3814683971396738e-115,4,-0.007668126588507702,0.024511293629991215,-0.025011666168254565,0.0794680599344865,-0.049426038239965026,0.15924004941761769,-0.08354483669564373,0.15408722578117606
h__time__kurtosis,0.1450611149340002,0.05439386181054273,127.4266869348315,2.2424638712767256e-80,4,0.1908087788026156,0.3572759904843508,0.41435806138304354,0.656809475056875,0.3844403710801515,0.60362463657709,0.4748603005733579,0.5464944927800007
h__time__crest_factor,0.04000308784601536,0.028281867489403936,66.2549882385105,3.055457184726974e-42,4,4.842610475293268,0.9739239510340403,5.304348566480685,1.3531627912021376,4.981595114035562,1.0742078087726106,5.266642476721052,1.041210043098238
h__time__impulse_factor,0.04264951238874981,0.030686445675886864,71.88811340337749,8.66090028586406e-46,4,6.115071526514647,1.2939169686073992,6.744117412495065,1.8073881607883686,6.355158058954573,1.4584979557221622,6.719988337458423,1.4005134287280792
h__time__clearance_factor,0.03504401142446456,0.03192256795709695,74.78393586749239,1.307988117939927e-47,4,7.243055603887791,1.5651863183898886,8.012030706295485,2.191601919175227,7.572108455222632,1.7965052668677917,8.000117611998093,1.7153695779143316
v__time__mean,0.025987701503255467,0.0089675979363422,21.008092765542457,1.5204932988107628e-13,4,0.0011210477077397691,0.021938964069374293,0.0062746557110681354,0.022679568808419544,0.005865528043873313,0.021255750188414708,-0.0013466048530815888,0.05104664319727546
v__time__std,0.5731958375089243,1.0964783600008992,2568.6833046954403,0.0,4,0.6686765458962121,0.2367418607633749,1.154693249388645,0.619415553950649,2.109398414125676,1.2277371996137676,3.2154130303754496,1.8206362942136392
v__time__rms,0.5745640358014397,1.0962820246084577,2568.22335631608,0.0,4,0.6690574183870012,0.2366849751528724,1.1549454526456162,0.6193923346462539,2.1095411341869976,1.227689991544981,3.215710263380096,1.8208274346665745
v__time__mean_abs,0.5898958027059373,1.1238004957810568,2632.689961449756,0.0,4,0.5208189700301565,0.16782311658092128,0.9023006825092782,0.472782481235313,1.6815101680186295,0.9874116623723865,2.558239391831916,1.4580076172413698
v__time__ptp,0.4014372269280939,1.0266293177076402,2405.0502816164303,0.0,4,6.35569428748549,3.4158822499750903,11.026470216047098,5.26326722276644,17.662054082398775,8.97754639636287,26.982628662362057,13.916239631634744
v__time__skewness,0.2751596165827159,0.022188173045956352,51.97949338899419,3.1992081444226974e-33,4,-0.07793097568060715,0.13229027710348426,-0.10124362663589391,0.10808118179304006,-0.033117717580215714,0.11813905853273986,-0.05551405388279185,0.10847617703853762
v__time__kurtosis,0.4135981609523798,0.041014077434898995,96.08231207082345,6.055332508804991e-61,4,0.438874316964234,0.7576052356350442,0.5250464627704916,0.5347285896557126,0.11572771704220061,0.2686014306303689,0.1442757133403272,0.32657145564146695
v__time__crest_factor,0.09071528123587491,0.03776656479275946,88.4744724545048,3.414108542897233e-56,4,4.769880355392918,0.9082264886299262,5.181266871479616,0.9958909932421385,4.593349807899304,0.6187324327918264,4.571345485382075,0.6750290051366096
v__time__impulse_factor,0.1148809073350261,0.03682054256206719,86.2582577087362,8.314514329244875e-55,4,6.102254844392047,1.328856409131082,6.618402144508512,1.2937141048355267,5.780037089275299,0.8086493394552317,5.761004251672609,0.8926255560419832
v__time__clearance_factor,0.1242228616366845,0.03655540839073375,85.6371367233588,2.035353365837428e-54,4,7.275502189060122,1.6843475822424885,7.882121326766032,1.5533136744320817,6.834069444566823,0.9772623820839058,6.816045801686218,1.0854583307225436
mag__time__mean,0.6272257102120617,1.4780428877722929,3462.561805087892,0.0,4,0.7835978143806447,0.2518863809960463,1.368524371869777,0.6857422475914503,2.484080502803026,1.2298772752094682,3.8351471406351845,1.8631701825045717
mag__time__std,0.5576843605148796,1.2639396180835067,2960.9892119636324,0.0,4,0.44565997664266327,0.18210402657511265,0.7850399330690604,0.44439011041501614,1.376020388037658,0.7107021964088226,2.1555026327637443,1.086764990790381
mag__time__rms,0.6151391473309726,1.4276151743029613,3344.426481667072,0.0,4,0.9020733507495355,0.30904796517194993,1.5786516273986018,0.8153101818282618,2.8408137207989204,1.4182951669095631,4.401044659465231,2.1535580720630603
mag__time__mean_abs,0.6272257102120617,1.4780428877722929,3462.561805087892,0.0,4,0.7835978143806447,0.2518863809960463,1.368524371869777,0.6857422475914503,2.484080502803026,1.2298772752094682,3.8351471406351845,1.8631701825045717
mag__time__ptp,0.42754790022162537,1.1521129633841007,2699.0166355544866,0.0,4,3.6646194657428866,1.9837279085855495,6.580966805438638,3.4089957012145264,10.93998051935536,5.93382141850921,17.377498706361294,8.358976956126646
mag__time__skewness,0.2297907437039748,0.01753744610141091,41.08439040023873,2.6000606567439993e-26,4,0.8677197635472621,0.31100155222250436,0.9620613468280277,0.2582568077749964,0.8214478831634473,0.17510434915377254,0.8793023787583708,0.22704103084105554
mag__time__kurtosis,0.22770587152785482,0.02257520965917743,52.88619116156636,8.529790826337208e-34,4,1.0917395503049334,1.2538691896776673,1.549397973453666,1.5302148478172968,0.8676760894307294,0.7002073040249728,1.1177477603827157,0.8823281530420289
