feature,target_column,split_scope,n,pearson,abs_pearson,spearman,abs_spearman,kendall,abs_kendall
h__time__mean,piecewise_rul_norm,fit,7032,-0.07313823520519655,0.07313823520519655,-0.08266723210456858,0.08266723210456858,-0.06165041520942141,0.06165041520942141
h__time__std,piecewise_rul_norm,fit,7032,-0.8174410378768941,0.8174410378768941,-0.7653151899935582,0.7653151899935582,-0.6269007040081924,0.6269007040081924
h__time__rms,piecewise_rul_norm,fit,7032,-0.8174164746436863,0.8174164746436863,-0.76532008702177,0.76532008702177,-0.6269085498045387,0.6269085498045387
h__time__mean_abs,piecewise_rul_norm,fit,7032,-0.8231522687380491,0.8231522687380491,-0.7635438043484013,0.7635438043484013,-0.6252091721098119,0.6252091721098119
h__time__ptp,piecewise_rul_norm,fit,7032,-0.7693447376472471,0.7693447376472471,-0.718444985088367,0.718444985088367,-0.5804466845376266,0.5804466845376266
h__time__skewness,piecewise_rul_norm,fit,7032,0.2786682882141687,0.2786682882141687,-0.0028497681567955825,0.0028497681567955825,-0.003209911430174202,0.003209911430174202
h__time__kurtosis,piecewise_rul_norm,fit,7032,-0.18206645952278305,0.18206645952278305,-0.2877434252892994,0.2877434252892994,-0.21891166614376886,0.21891166614376886
h__time__crest_factor,piecewise_rul_norm,fit,7032,-0.08909830175573166,0.08909830175573166,-0.1593142026109139,0.1593142026109139,-0.11975616501122709,0.11975616501122709
h__time__impulse_factor,piecewise_rul_norm,fit,7032,-0.10149673001709081,0.10149673001709081,-0.17200697954291028,0.17200697954291028,-0.12927943620410634,0.12927943620410634
h__time__clearance_factor,piecewise_rul_norm,fit,7032,-0.10811956698864789,0.10811956698864789,-0.17729224258408122,0.17729224258408122,-0.13328493317767268,0.13328493317767268
v__time__mean,piecewise_rul_norm,fit,7032,-0.0194222136842049,0.0194222136842049,-0.07037894757347855,0.07037894757347855,-0.05308912582411176,0.05308912582411176
v__time__std,piecewise_rul_norm,fit,7032,-0.7438965585468786,0.7438965585468786,-0.7489736412654221,0.7489736412654221,-0.6072476379771086,0.6072476379771086
v__time__rms,piecewise_rul_norm,fit,7032,-0.7438618497712408,0.7438618497712408,-0.7489591169626744,0.7489591169626744,-0.6072327091701719,0.6072327091701719
v__time__mean_abs,piecewise_rul_norm,fit,7032,-0.7485360104694134,0.7485360104694134,-0.759560954750533,0.759560954750533,-0.6169354529544724,0.6169354529544724
v__time__ptp,piecewise_rul_norm,fit,7032,-0.7265591188180288,0.7265591188180288,-0.6896208739754929,0.6896208739754929,-0.5556383846542318,0.5556383846542318
v__time__skewness,piecewise_rul_norm,fit,7032,-0.11538886526427937,0.11538886526427937,0.08356146085636197,0.08356146085636197,0.04494300982879307,0.04494300982879307
v__time__kurtosis,piecewise_rul_norm,fit,7032,0.17926090688203644,0.17926090688203644,-0.08579457183122564,0.08579457183122564,-0.045913927126645944,0.045913927126645944
v__time__crest_factor,piecewise_rul_norm,fit,7032,0.08764889803302187,0.08764889803302187,-0.06921853024463828,0.06921853024463828,-0.047206086197121744,0.047206086197121744
v__time__impulse_factor,piecewise_rul_norm,fit,7032,0.10718367372515639,0.10718367372515639,-0.06660074323128211,0.06660074323128211,-0.04336491506925263,0.04336491506925263
v__time__clearance_factor,piecewise_rul_norm,fit,7032,0.11545353109825086,0.11545353109825086,-0.06625024258232036,0.06625024258232036,-0.04221528796573435,0.04221528796573435
