feature,target_column,split_scope,n,pearson,abs_pearson,spearman,abs_spearman,kendall,abs_kendall
h__time__mean,piecewise_rul_norm,fit,442,-0.03764270133292271,0.03764270133292271,-0.08429900954955429,0.08429900954955429,-0.061555634768989724,0.061555634768989724
h__time__std,piecewise_rul_norm,fit,442,-0.8312558010507345,0.8312558010507345,-0.8612752142528658,0.8612752142528658,-0.6842850126847464,0.6842850126847464
h__time__rms,piecewise_rul_norm,fit,442,-0.8312445888509905,0.8312445888509905,-0.861309008117634,0.861309008117634,-0.6843291544092132,0.6843291544092132
h__time__mean_abs,piecewise_rul_norm,fit,442,-0.8282549697868457,0.8282549697868457,-0.8630619400861073,0.8630619400861073,-0.6879929175399597,0.6879929175399597
h__time__ptp,piecewise_rul_norm,fit,442,-0.8339040235906066,0.8339040235906066,-0.8312554254875338,0.8312554254875338,-0.6465879799900763,0.6465879799900763
h__time__skewness,piecewise_rul_norm,fit,442,0.31346577460031694,0.31346577460031694,0.34568956287663066,0.34568956287663066,0.25240238050131464,0.25240238050131464
h__time__kurtosis,piecewise_rul_norm,fit,442,-0.046117874942458406,0.046117874942458406,-0.16967749780471122,0.16967749780471122,-0.12931318182556858,0.12931318182556858
h__time__crest_factor,piecewise_rul_norm,fit,442,-0.05121502218749891,0.05121502218749891,-0.12580129764845394,0.12580129764845394,-0.08634121305711287,0.08634121305711287
h__time__impulse_factor,piecewise_rul_norm,fit,442,-0.06931193418032933,0.06931193418032933,-0.14235237763174166,0.14235237763174166,-0.09836983297432313,0.09836983297432313
h__time__clearance_factor,piecewise_rul_norm,fit,442,-0.08316459365610221,0.08316459365610221,-0.15299844316475902,0.15299844316475902,-0.10688918579642066,0.10688918579642066
v__time__mean,piecewise_rul_norm,fit,442,-0.026517906804935532,0.026517906804935532,-0.042879495030814785,0.042879495030814785,-0.030435719019876958,0.030435719019876958
v__time__std,piecewise_rul_norm,fit,442,-0.8222876745229406,0.8222876745229406,-0.8965960056070412,0.8965960056070412,-0.7278308238712707,0.7278308238712707
v__time__rms,piecewise_rul_norm,fit,442,-0.8222706389148534,0.8222706389148534,-0.8964973332255238,0.8964973332255238,-0.7277204695601037,0.7277204695601037
v__time__mean_abs,piecewise_rul_norm,fit,442,-0.8249221147522442,0.8249221147522442,-0.8986870901084167,0.8986870901084167,-0.7318477207977521,0.7318477207977521
v__time__ptp,piecewise_rul_norm,fit,442,-0.8263906215654288,0.8263906215654288,-0.8661423863203703,0.8661423863203703,-0.6840643040624121,0.6840643040624121
v__time__skewness,piecewise_rul_norm,fit,442,0.20030447063101303,0.20030447063101303,0.29216635505021904,0.29216635505021904,0.21424185969974302,0.21424185969974302
v__time__kurtosis,piecewise_rul_norm,fit,442,0.44220612618280475,0.44220612618280475,0.4891246274922758,0.4891246274922758,0.3378386882068576,0.3378386882068576
v__time__crest_factor,piecewise_rul_norm,fit,442,0.33224454259656905,0.33224454259656905,0.3844047839681054,0.3844047839681054,0.270522558394947,0.270522558394947
v__time__impulse_factor,piecewise_rul_norm,fit,442,0.35362924978956495,0.35362924978956495,0.3987457879725953,0.3987457879725953,0.284890689708899,0.284890689708899
v__time__clearance_factor,piecewise_rul_norm,fit,442,0.362127521057817,0.362127521057817,0.40080956646087756,0.40080956646087756,0.2872081302434074,0.2872081302434074
mag__time__mean,piecewise_rul_norm,fit,442,-0.8454369258673635,0.8454369258673635,-0.8918210180693792,0.8918210180693792,-0.7235270057357551,0.7235270057357551
mag__time__std,piecewise_rul_norm,fit,442,-0.8389840934232824,0.8389840934232824,-0.8767853148701602,0.8767853148701602,-0.7079449769989654,0.7079449769989654
mag__time__rms,piecewise_rul_norm,fit,442,-0.8451952180844147,0.8451952180844147,-0.8895101308568635,0.8895101308568635,-0.7209667857166793,0.7209667857166793
mag__time__mean_abs,piecewise_rul_norm,fit,442,-0.8454369258673635,0.8454369258673635,-0.8918210180693792,0.8918210180693792,-0.7235270057357551,0.7235270057357551
mag__time__ptp,piecewise_rul_norm,fit,442,-0.8385220473995312,0.8385220473995312,-0.83036359541499,0.83036359541499,-0.6475149562038797,0.6475149562038797
mag__time__skewness,piecewise_rul_norm,fit,442,0.20883570399218915,0.20883570399218915,0.09837336997971263,0.09837336997971263,0.08503903218534149,0.08503903218534149
mag__time__kurtosis,piecewise_rul_norm,fit,442,0.3199632673786692,0.3199632673786692,0.18720410827665634,0.18720410827665634,0.14866932800427207,0.14866932800427207
mag__time__crest_factor,piecewise_rul_norm,fit,442,0.203015849025723,0.203015849025723,0.08365913626623189,0.08365913626623189,0.06744855498531108,0.06744855498531108
mag__time__impulse_factor,piecewise_rul_norm,fit,442,0.18833050057962475,0.18833050057962475,0.06642005882511007,0.06642005882511007,0.05402947074739579,0.05402947074739579
mag__time__clearance_factor,piecewise_rul_norm,fit,442,0.17681944426009305,0.17681944426009305,0.054515207477013015,0.054515207477013015,0.0452673384407307,0.0452673384407307
h__spectral__centroid,piecewise_rul_norm,fit,442,0.5908940278655295,0.5908940278655295,0.6458938670865525,0.6458938670865525,0.4487006292052926,0.4487006292052926
h__spectral__bandwidth,piecewise_rul_norm,fit,442,-0.42413353404234205,0.42413353404234205,-0.5756267973985129,0.5756267973985129,-0.40846544735378015,0.40846544735378015
h__spectral__rms_frequency,piecewise_rul_norm,fit,442,0.46097795856282664,0.46097795856282664,0.5383580107551768,0.5383580107551768,0.370062147067641,0.370062147067641
h__spectral__peak_frequency,piecewise_rul_norm,fit,442,-0.05794228035085173,0.05794228035085173,0.17419336406804703,0.17419336406804703,0.1283732265598718,0.1283732265598718
h__spectral__entropy,piecewise_rul_norm,fit,442,0.6791444031458859,0.6791444031458859,0.765262138971501,0.765262138971501,0.5446868090584072,0.5446868090584072
v__spectral__centroid,piecewise_rul_norm,fit,442,0.7107331984474798,0.7107331984474798,0.7564594788550388,0.7564594788550388,0.5650361440376142,0.5650361440376142
v__spectral__bandwidth,piecewise_rul_norm,fit,442,0.6219535073476795,0.6219535073476795,0.6592814420751237,0.6592814420751237,0.4799529701278059,0.4799529701278059
v__spectral__rms_frequency,piecewise_rul_norm,fit,442,0.685594325456517,0.685594325456517,0.7248280649566146,0.7248280649566146,0.5389263140154863,0.5389263140154863
v__spectral__peak_frequency,piecewise_rul_norm,fit,442,-0.1941561720346427,0.1941561720346427,-0.08025035355588402,0.08025035355588402,-0.04285836879694165,0.04285836879694165
v__spectral__entropy,piecewise_rul_norm,fit,442,0.8224614155917889,0.8224614155917889,0.8425616833997785,0.8425616833997785,0.6428580042726295,0.6428580042726295
mag__spectral__centroid,piecewise_rul_norm,fit,442,0.6859385586636466,0.6859385586636466,0.7547990165967013,0.7547990165967013,0.5436936202579035,0.5436936202579035
mag__spectral__bandwidth,piecewise_rul_norm,fit,442,0.22412171106987622,0.22412171106987622,0.26198337186198734,0.26198337186198734,0.1654652541638996,0.1654652541638996
mag__spectral__rms_frequency,piecewise_rul_norm,fit,442,0.629292509074836,0.629292509074836,0.726122997373883,0.726122997373883,0.523322214416463,0.523322214416463
mag__spectral__peak_frequency,piecewise_rul_norm,fit,442,-0.20726192277394795,0.20726192277394795,-0.559601518436644,0.559601518436644,-0.42461636939670855,0.42461636939670855
mag__spectral__entropy,piecewise_rul_norm,fit,442,0.7218006515520515,0.7218006515520515,0.7986509764280195,0.7986509764280195,0.5852309829811874,0.5852309829811874
