feature,monotonicity,robustness,trendability,prognosability
h__time__mean,0.017597670706015894,0.6226096120453528,0.06740415545084132,0.9042150106842014
h__time__std,0.023108777790233726,0.8767576728087971,0.7068692194433184,0.7422801607642465
h__time__rms,0.02496149123183247,0.8767548085442715,0.7068850384095086,0.7422754702062441
h__time__mean_abs,0.032780635825906505,0.8819695148471434,0.7139752818396982,0.7642620879351189
h__time__ptp,0.013679205132825814,0.8340022713610279,0.6923137898574598,0.8411748909173173
h__time__skewness,0.020776997360831172,0.6711660051803587,0.1090457151515547,0.5356648708744604
h__time__kurtosis,0.009718304890754639,0.7102241479577377,0.19825253849369395,0.8460009883927941
h__time__crest_factor,0.010665338816635499,0.6158615287977859,0.1346876460295459,0.8160917536947859
h__time__impulse_factor,0.013578009513435747,0.6235021798604065,0.15832434320405897,0.8201291649513714
h__time__clearance_factor,0.00939351564243445,0.626980440722286,0.16917161274800577,0.8222489712287222
v__time__mean,0.00717682902264916,0.5876705158108062,0.05954784757202907,0.9660615466171144
v__time__std,0.018970772049021572,0.8654759207820794,0.6825676128997813,0.6799840783893009
v__time__rms,0.025961689827221444,0.8654481952353955,0.6825340072247057,0.6799866115744738
v__time__mean_abs,0.016126707032049447,0.8671230997873991,0.6883977949715625,0.6652604719816624
v__time__ptp,0.023497121548170435,0.8237007207766424,0.6668620544529515,0.8578794263411447
v__time__skewness,0.026906553272805684,0.7023068153054628,0.20305898910776032,0.8874308899083696
v__time__kurtosis,0.003173236500592829,0.7210331749815886,0.1786429900664063,0.9402997414886679
v__time__crest_factor,0.016488427180524817,0.607221369207149,0.1505420016905754,0.8745346707516493
v__time__impulse_factor,0.013677579763318445,0.622797347886245,0.16034161232919847,0.8800113461909028
v__time__clearance_factor,0.015746582633924523,0.6289906228768872,0.16140454448367958,0.8830353966954183
mag__time__mean,0.018714671029944067,0.875464218847883,0.69910649683505,0.7012004500875387
mag__time__std,0.024776166372879705,0.8656670559730736,0.681761239014076,0.7190915216346639
mag__time__rms,0.027986457597749554,0.8734869287430982,0.6950653759676951,0.7046761173759963
mag__time__mean_abs,0.018714671029944067,0.875464218847883,0.69910649683505,0.7012004500875387
mag__time__ptp,0.01666932852946978,0.817880831746051,0.6798462273024225,0.8911706624192871
mag__time__skewness,0.027014342882500167,0.7448127591889165,0.15306678644954577,0.8988053396448678
mag__time__kurtosis,0.03348412905311488,0.707388005485471,0.12335444429005456,0.9297819793637256
mag__time__crest_factor,0.011647843371993288,0.6162663428513563,0.13919689740464236,0.8473732181576308
mag__time__impulse_factor,0.0065140625453999545,0.6298453983773895,0.15136066916054225,0.8534153514169573
mag__time__clearance_factor,0.005776641508807457,0.6352727921904749,0.15525351118190947,0.8598257179827603
h__spectral__centroid,0.01082249724603411,0.8192791561742933,0.30532171596957447,0.873696825092867
h__spectral__bandwidth,0.02848259096538075,0.7905477768644648,0.2632839734880597,0.9037240273558871
h__spectral__rms_frequency,0.020774199220330743,0.814771579835643,0.2948839498179598,0.8893101992380871
h__spectral__peak_frequency,0.0049174913975859975,0.5696712286240411,0.1450851569874077,0.9802069465419533
h__spectral__entropy,0.01008949971944941,0.8016836925335414,0.24553032223512847,0.7095446229752501
v__spectral__centroid,0.010733944496463622,0.8125952812304332,0.3789396475097913,0.7838974582716736
v__spectral__bandwidth,0.019489105516106307,0.8317521339545774,0.3169328660891931,0.7701860248019545
v__spectral__rms_frequency,0.010762738586221579,0.8291535504507387,0.4417610519394411,0.7744997444275231
v__spectral__peak_frequency,0.005477349355093017,0.6129441870364659,0.19436164105416429,0.9831015547549349
v__spectral__entropy,0.00664242688504061,0.793251928763898,0.3443199938870021,0.6420488513283356
mag__spectral__centroid,0.03059591148547935,0.8582467366129367,0.32308344539042405,0.8214099221707662
mag__spectral__bandwidth,0.0037032151281935835,0.7999614330780954,0.412341070412176,0.7577168707793848
mag__spectral__rms_frequency,0.019934954904144365,0.8492440375961423,0.3221270423281604,0.8024557626407376
mag__spectral__peak_frequency,0.0036655740184200337,0.5751946283212136,0.08941791798021903,0.8253708815628008
mag__spectral__entropy,0.03285746086554641,0.8661544760574372,0.34644338072435343,0.712403279312853
