feature,feature_family,physical_meaning,rul_score,health_score,early_fault_score,fault_type_score,overall_score,recommended_for,why,caveat,is_label_source,label_source_warning,example_plot
h__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.5926770793544918,1.0,1.0,0.0,0.648169269838623,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__mean_abs.png
h__time__rms,time_domain,RMS vibration energy/amplitude level.,0.5878035949798087,0.9624830237661476,0.9860788449416706,0.0,0.6340913659219067,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__rms.png
h__time__std,time_domain,Signal dispersion and vibration intensity.,0.5873368757260924,0.9619838591157208,0.9861177540423782,0.0,0.6338596222210479,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__std.png
mag__time__mean,time_domain,Numerical feature extracted from the vibration snapshot.,0.5816824989031028,0.8257811248854166,0.9422010486290352,0.0,0.5874161681043887,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__mean.png
mag__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.5816824989031028,0.8257811248854166,0.9422010486290352,0.0,0.5874161681043887,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__mean_abs.png
mag__time__rms,time_domain,RMS vibration energy/amplitude level.,0.5807139043185965,0.7841016161569309,0.9285572837136,0.0,0.5733432010472819,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming. Used as HI source for FPT-based labels; do not overclaim independent detection ability.,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,figures/curves/mag__time__rms.png
v__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.5705548684130511,0.6780682266323704,0.8760974358283194,0.0,0.5311801327184352,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__mean_abs.png
mag__time__std,time_domain,Signal dispersion and vibration intensity.,0.5639978066447812,0.6490509643812553,0.8721096789792993,0.0,0.521289612501334,"HealthState,EarlyFault",separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__std.png
v__time__rms,time_domain,RMS vibration energy/amplitude level.,0.5657952146304897,0.6284186044044702,0.8567840664022468,0.0,0.5127494713593017,RUL,high RUL score from correlation/trend metrics,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__rms.png
v__time__std,time_domain,Signal dispersion and vibration intensity.,0.5640590461575576,0.6291185229099499,0.8569307703414135,0.0,0.5125270848522303,RUL,high RUL score from correlation/trend metrics,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__std.png
h__time__ptp,time_domain,Peak-to-peak vibration amplitude.,0.5421207924700974,0.6573461454311491,0.8384302367978878,0.0,0.5094742936747836,HealthState,separates health-state label distributions,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__ptp.png
h__spectral__bandwidth,spectral,Numerical feature extracted from the vibration snapshot.,0.43229553657541586,0.4670598815919945,0.8832655191682639,0.0,0.44565523433391857,EarlyFault,changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__spectral__bandwidth.png
mag__time__ptp,time_domain,Peak-to-peak vibration amplitude.,0.5164514747989467,0.4895655069836363,0.7601187675997201,0.0,0.4415339373455758,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__ptp.png
v__time__ptp,time_domain,Peak-to-peak vibration amplitude.,0.5154542889743124,0.4154485172270506,0.7584181184575407,0.0,0.42233023116472596,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__ptp.png
v__spectral__peak_frequency,spectral,Dominant frequency location.,0.3543518793591029,0.4347291744995991,0.8239342762833622,0.0,0.40325383253551605,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/v__spectral__peak_frequency.png
h__spectral__peak_frequency,spectral,Dominant frequency location.,0.269325808110769,0.35218911854486734,0.4704005850314701,0.0,0.2729788779217766,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/h__spectral__peak_frequency.png
h__spectral__rms_frequency,spectral,RMS vibration energy/amplitude level.,0.2895045646609745,0.2307792730320858,0.282094660719658,0.0,0.20059462460317956,,"highest relative score is for RUL, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/h__spectral__rms_frequency.png
v__time__kurtosis,time_domain,Impulsive shock sensitivity and tail heaviness.,0.23191076240410413,0.30487258573847503,0.1845661404183505,0.0,0.18033737214023243,,"highest relative score is for HealthState, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/v__time__kurtosis.png
mag__spectral__entropy,spectral,Spectral complexity or broadband excitation.,0.3274153106084675,0.2197266115236096,0.1501866944072622,0.0,0.17433215413483483,,"highest relative score is for RUL, but it is outside the top recommendation band","Useful for spectral complexity, but physical interpretation is weaker than energy or bearing-frequency features.",False,,figures/curves/mag__spectral__entropy.png
v__spectral__entropy,spectral,Spectral complexity or broadband excitation.,0.3180004938990173,0.19845676616547883,0.17907062337007523,0.0,0.17388197085864282,,"highest relative score is for RUL, but it is outside the top recommendation band","Useful for spectral complexity, but physical interpretation is weaker than energy or bearing-frequency features.",False,,figures/curves/v__spectral__entropy.png
v__spectral__bandwidth,spectral,Numerical feature extracted from the vibration snapshot.,0.288247888655459,0.203689545506083,0.2017773879878757,0.0,0.17342870553735443,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__spectral__bandwidth.png
mag__spectral__bandwidth,spectral,Numerical feature extracted from the vibration snapshot.,0.30075628758026385,0.13110096134435525,0.23553014458274488,0.0,0.166846848376841,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__spectral__bandwidth.png
mag__spectral__centroid,spectral,Spectral energy center shift.,0.29953492268092463,0.21594733751848194,0.13106610117872378,0.0,0.16163709034453258,,"highest relative score is for RUL, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/mag__spectral__centroid.png
mag__time__skewness,time_domain,Numerical feature extracted from the vibration snapshot.,0.2374506770466983,0.2088479276676453,0.172510232471128,0.0,0.1547022092963679,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__skewness.png
mag__time__kurtosis,time_domain,Impulsive shock sensitivity and tail heaviness.,0.22700238857757524,0.18661163323078597,0.176557773803263,0.0,0.14754294890290606,,"highest relative score is for RUL, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/mag__time__kurtosis.png
mag__spectral__rms_frequency,spectral,RMS vibration energy/amplitude level.,0.2801518263249288,0.19331193998967966,0.11470740265575509,0.0,0.1470427922425909,,"highest relative score is for RUL, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/mag__spectral__rms_frequency.png
h__spectral__centroid,spectral,Spectral energy center shift.,0.26432469956295157,0.18895332209010737,0.12990579732775315,0.0,0.14579595474520302,,"highest relative score is for RUL, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/h__spectral__centroid.png
v__time__skewness,time_domain,Numerical feature extracted from the vibration snapshot.,0.24210251698714946,0.22097019508886614,0.11582847571718968,0.0,0.14472529694830133,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__skewness.png
v__spectral__rms_frequency,spectral,RMS vibration energy/amplitude level.,0.2919189073465082,0.17029270241023714,0.08729357828628394,0.0,0.13737629701075732,,"highest relative score is for RUL, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/v__spectral__rms_frequency.png
h__spectral__entropy,spectral,Spectral complexity or broadband excitation.,0.2250125951389173,0.11540554289398285,0.14303066313698443,0.0,0.12086220029247115,,"highest relative score is for RUL, but it is outside the top recommendation band","Useful for spectral complexity, but physical interpretation is weaker than energy or bearing-frequency features.",False,,figures/curves/h__spectral__entropy.png
h__time__skewness,time_domain,Numerical feature extracted from the vibration snapshot.,0.23741930860333388,0.07075479554321099,0.1506641279860427,0.0,0.11470955803314689,,"highest relative score is for RUL, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__skewness.png
v__spectral__centroid,spectral,Spectral energy center shift.,0.25002336778911666,0.14991437244755895,0.04656187887963281,0.0,0.1116249047790771,,"highest relative score is for RUL, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/v__spectral__centroid.png
h__time__kurtosis,time_domain,Impulsive shock sensitivity and tail heaviness.,0.21730389770966288,0.09166188844070006,0.09335021042822664,0.0,0.10057899914464741,,"highest relative score is for RUL, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/h__time__kurtosis.png
