feature,rul_score,health_score,early_fault_score,fault_type_score,overall_score,rank_rul,rank_health,rank_early_fault,rank_fault_type,rank_overall,is_label_source,label_source_warning,recommended_for
h__time__mean_abs,0.5926770793544918,1.0,1.0,0.0,0.648169269838623,1,1,1,1,1,False,,"RUL,HealthState,EarlyFault"
h__time__rms,0.5878035949798087,0.9624830237661476,0.9860788449416706,0.0,0.6340913659219067,2,2,3,1,2,False,,"RUL,HealthState,EarlyFault"
h__time__std,0.5873368757260924,0.9619838591157208,0.9861177540423782,0.0,0.6338596222210479,3,3,2,1,3,False,,"RUL,HealthState,EarlyFault"
mag__time__mean,0.5816824989031028,0.8257811248854166,0.9422010486290352,0.0,0.5874161681043887,4,4,4,1,4,False,,"RUL,HealthState,EarlyFault"
mag__time__mean_abs,0.5816824989031028,0.8257811248854166,0.9422010486290352,0.0,0.5874161681043887,4,4,4,1,4,False,,"RUL,HealthState,EarlyFault"
mag__time__rms,0.5807139043185965,0.7841016161569309,0.9285572837136,0.0,0.5733432010472819,6,6,6,1,6,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,"RUL,HealthState,EarlyFault"
v__time__mean_abs,0.5705548684130511,0.6780682266323704,0.8760974358283194,0.0,0.5311801327184352,7,7,8,1,7,False,,"RUL,HealthState,EarlyFault"
mag__time__std,0.5639978066447812,0.6490509643812553,0.8721096789792993,0.0,0.521289612501334,10,9,9,1,8,False,,"HealthState,EarlyFault"
v__time__rms,0.5657952146304897,0.6284186044044702,0.8567840664022468,0.0,0.5127494713593017,8,11,11,1,9,False,,RUL
v__time__std,0.5640590461575576,0.6291185229099499,0.8569307703414135,0.0,0.5125270848522303,9,10,10,1,10,False,,RUL
h__time__ptp,0.5421207924700974,0.6573461454311491,0.8384302367978878,0.0,0.5094742936747836,11,8,12,1,11,False,,HealthState
h__spectral__bandwidth,0.43229553657541586,0.4670598815919945,0.8832655191682639,0.0,0.44565523433391857,14,13,7,1,12,False,,EarlyFault
mag__time__ptp,0.5164514747989467,0.4895655069836363,0.7601187675997201,0.0,0.4415339373455758,12,12,14,1,13,False,,
