feature,split,count,missing_count,nan_count,inf_count,mean,std,min,p25,median,p75,max,variance,is_constant
h__time__mean,train,5405,0,0,0,0.002138126787817813,0.026139124986808246,-0.179895498241038,-0.011304602231146724,0.0022215625338020684,0.015619181000401036,0.12778334899336047,0.0006832538550759831,False
h__time__std,train,5405,0,0,0,0.8937922605478709,0.6207575305214509,0.4358239488345663,0.49608963166908426,0.6270072941894554,1.0591520963881997,9.140704369561139,0.38533991169909,False
h__time__rms,train,5405,0,0,0,0.8942297639615949,0.6206814572715942,0.4358309536543785,0.49655276588747366,0.6270460951000016,1.0598408140862976,9.140705241315093,0.38524547140078974,False
h__time__mean_abs,train,5405,0,0,0,0.707818621173581,0.4850739587028113,0.34716347697914873,0.39560358183607075,0.5010628291846287,0.8400210199307128,6.754737095939629,0.23529674541161666,False
h__time__ptp,train,5405,0,0,0,8.313570651602237,6.059155460244667,3.4132003784179688,4.22513484954834,5.578041076660156,10.498046875,80.8069372177124,36.71336489141276,False
h__time__skewness,train,5405,0,0,0,-0.00821524767256927,0.04241114020543179,-0.9294023197085473,-0.023276097758395273,-0.005260179156338991,0.011664460765807506,0.2937845991231732,0.0017987048135247928,False
h__time__kurtosis,train,5405,0,0,0,0.17753433651201933,0.28108954256582097,-0.47150076597822865,0.03094220091699551,0.06885969929737712,0.18017482987905886,5.150593020975887,0.07901133093986248,False
h__time__crest_factor,train,5405,0,0,0,4.808084009880019,0.818803354536861,3.546893755114257,4.276661064427942,4.543954314226955,5.061931028844009,11.070544507188973,0.6704389334008166,False
h__time__impulse_factor,train,5405,0,0,0,6.069404319597378,1.0813270568400988,4.389879574746102,5.370818033340832,5.710159717940563,6.387414350170761,14.296956816515761,1.1692682038544702,False
h__time__clearance_factor,train,5405,0,0,0,7.188635410775193,1.307040621368539,5.059886103362315,6.344465216165674,6.75023175994911,7.56501579500798,17.096407794452286,1.7083551859074568,False
v__time__mean,train,5405,0,0,0,0.003314545283250023,0.025427794559837857,-0.7142995534201289,-0.00743604133627996,0.004024722741691536,0.015308397064404122,0.13595515841564404,0.0006465727361773196,False
v__time__std,train,5405,0,0,0,0.923997828993637,0.6324061503175612,0.4444679087377351,0.5102544095318506,0.7719909230049258,1.1123104685901182,11.54178666388008,0.39993753895947787,False
v__time__rms,train,5405,0,0,0,0.9243304381526313,0.6324399789668654,0.44447426329158,0.5104276395417918,0.7726622413844629,1.1123838903323013,11.541787417542062,0.3999803269956092,False
v__time__mean_abs,train,5405,0,0,0,0.7225454035063535,0.49774008924772495,0.35533823743497767,0.40742048219881943,0.6168011512543087,0.848676063935941,9.369966043574578,0.2477451964443332,False
v__time__ptp,train,5405,0,0,0,8.672125456401533,5.8814492332481825,3.4271240234375,4.243981838226318,6.577730178833008,11.389446258544922,69.80944871902466,34.59144508327564,False
v__time__skewness,train,5405,0,0,0,-0.09303246724953294,0.12609605441790991,-0.5685536922293934,-0.19077186012243738,-0.03168819204985408,0.0015539831196093238,0.17276078056663668,0.015900214939764498,False
v__time__kurtosis,train,5405,0,0,0,0.4703398239338001,0.7257024128778051,-0.5454436399342311,-0.0036757060023915322,0.05640991977590648,0.7744915167570632,9.471495096609845,0.5266439920566683,False
v__time__crest_factor,train,5405,0,0,0,4.83580316448754,0.8589864553940424,3.0400085519328175,4.244094057544685,4.594995374868041,5.184720712269528,10.472088517468611,0.7378577305504211,False
v__time__impulse_factor,train,5405,0,0,0,6.189777078162865,1.2527436289737048,3.744638165255608,5.320211270824862,5.782216198278886,6.744386115976604,14.089859063581402,1.5693665999342075,False
v__time__clearance_factor,train,5405,0,0,0,7.381294126910744,1.5863902177820168,4.387478516772013,6.278109199743817,6.838585308306072,8.091191760401282,17.195059159833786,2.5166339230744748,False
mag__time__mean,train,5405,0,0,0,1.1232728478562266,0.7686163328969975,0.5524551055100722,0.6301935607544238,0.8837522741528963,1.3158147735787689,12.884141345785686,0.5907710671960281,False
mag__time__std,train,5405,0,0,0,0.6296380749937848,0.43623659250193536,0.29063027080878995,0.3316750711408417,0.4770974325957162,0.7829288407591704,7.104918457512057,0.1903023646376996,False
mag__time__rms,train,5405,0,0,0,1.288411563133559,0.8827542534762338,0.6242376133448989,0.711883132317645,1.0051376953457802,1.5310536686562033,14.71329210292787,0.7792550720303828,False
mag__time__mean_abs,train,5405,0,0,0,1.1232728478562266,0.7686163328969975,0.5524551055100722,0.6301935607544238,0.8837522741528963,1.3158147735787689,12.884141345785686,0.5907710671960281,False
mag__time__ptp,train,5405,0,0,0,5.081376607560633,3.6504629511721443,2.004703217293717,2.44041070132128,3.715544722827135,6.561776405729017,45.285266138510984,13.32587975788044,False
mag__time__skewness,train,5405,0,0,0,0.8614605568447876,0.2916330829288872,0.4103805348373637,0.6575366875362184,0.7207296044067824,0.9703272118283985,3.188829553865868,0.08504985505860718,False
mag__time__kurtosis,train,5405,0,0,0,1.0388119605451411,1.0816362146260623,-0.37284652387484085,0.3295686269666853,0.518795451240647,1.3700642676562262,14.716612328433136,1.1699369007905973,False
mag__time__crest_factor,train,5405,0,0,0,3.849795501490233,0.6924894859748937,2.786840306335325,3.3779304801323615,3.6206468992857426,4.118275244340442,8.800773250079263,0.4795416881857724,False
mag__time__impulse_factor,train,5405,0,0,0,4.417078596632256,0.8749855123557584,3.1824856908090826,3.819807071669874,4.109586051986346,4.739775044855366,10.183241973029121,0.765599646832469,False
mag__time__clearance_factor,train,5405,0,0,0,4.802486919211208,0.9931249735504118,3.4417361879784965,4.127498204254796,4.444784250831682,5.167380615481181,11.514295256065555,0.9862972130895061,False
h__spectral__centroid,train,5405,0,0,0,5536.167960733749,1183.0350068421233,1514.105807708027,4509.095893063552,5585.812310775005,6447.62894130373,7866.963317386733,1399571.8274139424,False
h__spectral__bandwidth,train,5405,0,0,0,3717.7773149480086,658.3612831894038,1880.5458036467194,3232.066662454557,3437.764098810507,4440.417232835821,4774.584694809999,433439.5792027984,False
h__spectral__rms_frequency,train,5405,0,0,0,6692.089183168334,1232.8737259488603,2808.6249084762917,5638.946600051124,6364.562551214521,7785.787534941953,9006.63447860533,1519977.6241350253,False
h__spectral__peak_frequency,train,5405,0,0,0,765.2201376040703,693.2174235729614,39.0625,39.84375,989.84375,1153.125,11815.625,480550.3963451345,False
h__spectral__entropy,train,5405,0,0,0,0.8179239153084606,0.054388924433540695,0.42988176247525967,0.8053533345907982,0.8336040976659449,0.8463457323657543,0.8718652921553428,0.0029581551010374,False
v__spectral__centroid,train,5405,0,0,0,3699.1429050561615,994.0693237309212,1077.381882086349,2938.1881929337446,4008.697504168526,4442.3072836945885,5956.648158007505,988173.8203828508,False
v__spectral__bandwidth,train,5405,0,0,0,3523.820630880876,781.2495684409124,1481.4130318041337,3057.0797409424545,3376.139014485101,4243.876483534842,4780.559281399139,610350.888189112,False
v__spectral__rms_frequency,train,5405,0,0,0,5119.844723346418,1219.2968416439212,1831.7577052238755,4327.971613020708,5216.8813934041455,6137.398298579707,7139.026348660863,1486684.7880428417,False
v__spectral__peak_frequency,train,5405,0,0,0,620.472941720629,554.0874962139592,39.0625,39.84375,371.875,1156.25,5724.21875,307012.9534606542,False
v__spectral__entropy,train,5405,0,0,0,0.7522631573260677,0.054534792173064534,0.3679130457774714,0.7263038045251494,0.7650898041531737,0.7823902670623243,0.8865689055128804,0.002974043557359341,False
mag__spectral__centroid,train,5405,0,0,0,5078.81131383608,1150.1708964281684,1569.145407060054,4379.279695546444,5593.230672733196,5996.230813803981,6249.370152959683,1322893.0909903762,False
mag__spectral__bandwidth,train,5405,0,0,0,3894.9917006515334,279.84072471538957,2371.883578937187,3720.221862404353,3956.0848144082784,4107.163553891916,4437.899066190981,78310.83120923446,False
