feature,monotonicity,robustness,trendability,prognosability
h__time__mean,0.040085738638764246,0.5493105749832485,0.10634520557865543,0.8345321381363608
h__time__std,0.21828905195015738,0.8199267269841956,0.7034067275462381,0.6238444012561273
h__time__rms,0.21167748170222347,0.8197895405304297,0.702910292861236,0.6238497719172446
h__time__mean_abs,0.20990839952617665,0.8201773236566003,0.7326087955827274,0.5919768061647929
h__time__ptp,0.11350524145085283,0.792549408813116,0.63182028240183,0.7607311901383726
h__time__skewness,0.05190360831474735,0.6855831856276717,0.14333877087211472,0.6686326980478926
h__time__kurtosis,0.043874626230973525,0.6429344218104904,0.06418581130822021,0.16026347497397686
h__time__crest_factor,0.03777347455274156,0.6239069394824768,0.16802944038985113,0.4263389120825591
h__time__impulse_factor,0.042821245253378507,0.6222590120973435,0.14763538310359553,0.34598024258722776
h__time__clearance_factor,0.048116611807643525,0.6215779775140692,0.141860198945967,0.3270814403376998
v__time__mean,0.03637149884448587,0.5485004903153492,0.07190719246288077,0.756870223676605
v__time__std,0.24848989390244786,0.813042633923649,0.7806800191420731,0.6137071059241698
v__time__rms,0.26165884119956206,0.8129556960426993,0.780111966862342,0.6136851134237442
v__time__mean_abs,0.27855935550364436,0.8163250371688502,0.8030939056324412,0.5891851523977991
v__time__ptp,0.08280806222647583,0.791010650280976,0.6842301689236838,0.7193483262740209
v__time__skewness,0.05238904087226075,0.6981360980351546,0.16423606276268993,0.7035811464864482
v__time__kurtosis,0.05833733056397762,0.6969145927945626,0.2927096256063974,0.19987769322566457
v__time__crest_factor,0.053899612243162046,0.6034331560396122,0.1863985691266317,0.3557321141810512
v__time__impulse_factor,0.05929052019870096,0.6054475298727158,0.20191816163766202,0.32154672449327987
v__time__clearance_factor,0.06514407602330483,0.6062795718274653,0.20716253145261837,0.31068620556603255
mag__time__mean,0.2990228109068703,0.8213231600520625,0.7808417987474947,0.6048758690657896
mag__time__std,0.22870494591788476,0.8193799709368349,0.7120790047712151,0.7048103138212789
mag__time__rms,0.30615570443907913,0.8197218004016312,0.7553500368022626,0.633177151232566
mag__time__mean_abs,0.2990228109068703,0.8213231600520625,0.7808417987474947,0.6048758690657896
mag__time__ptp,0.08007137108742085,0.7870439087840948,0.6382964506223333,0.7378898293558815
mag__time__skewness,0.05702835690258627,0.6545328223000235,0.168684412508405,0.30889132241686373
mag__time__kurtosis,0.04060474207071252,0.6134183344639335,0.16792635622607482,0.20612081134271285
mag__time__crest_factor,0.07808718511899568,0.6102140425019537,0.17054143828374096,0.430396225639923
mag__time__impulse_factor,0.08136587364358584,0.6084555463307197,0.17317081684904936,0.3797944640256936
mag__time__clearance_factor,0.08391364434422278,0.6076192301125384,0.17252256045893993,0.3645029118894624
h__spectral__centroid,0.07240192740849115,0.8275218335627784,0.5515784384268655,0.7450390291428715
h__spectral__bandwidth,0.05670378316175623,0.7476154769824305,0.3078527311185036,0.6133817757634163
h__spectral__rms_frequency,0.09274198905384697,0.8136288995203076,0.5585853863533782,0.7102472813437128
h__spectral__peak_frequency,0.09850759101992909,0.7143068763582285,0.4039518657139385,0.9148322673717639
h__spectral__entropy,0.05546886926621769,0.8388407435320511,0.5606260433347912,0.6858214828530441
v__spectral__centroid,0.10154610350850202,0.829784218502726,0.4977482474630424,0.8497966251793098
v__spectral__bandwidth,0.045992512402819465,0.8273664112130792,0.5334137523851291,0.7537603641284064
v__spectral__rms_frequency,0.06754114710155643,0.8317570399079128,0.501102590867727,0.8105601835629245
v__spectral__peak_frequency,0.04180553307939958,0.6983642155503463,0.3923565053588227,0.738609875366794
v__spectral__entropy,0.052254522897734766,0.8198228380983371,0.6366803485007443,0.6636949929669983
mag__spectral__centroid,0.07252246505889788,0.8356725814996253,0.43757712603264415,0.9451625651784378
mag__spectral__bandwidth,0.028017943019881985,0.7672820564383537,0.31716686756565526,0.8190682399311824
mag__spectral__rms_frequency,0.059289555176343045,0.8273122890513216,0.4526509739108035,0.9194366429555697
mag__spectral__peak_frequency,0.02503084213655552,0.6142357736327119,0.13296700744378873,0.9441665569843809
mag__spectral__entropy,0.07319918968409754,0.8088209696037794,0.3090707826218658,0.804228258007588
