feature,healthy_mean,fault_mean,mean_shift,cohens_d,auc,auc_raw,auc_abs,healthy_std,fault_std
h__time__mean,-0.0031495096240957243,0.0002939749573449327,0.003443484581440657,0.11647144585590617,0.5434194341943419,0.5434194341943419,0.5434194341943419,0.03370812124685965,0.024737570479589285
h__time__std,0.5925609901275243,2.114472727063145,1.5219117369356208,1.4992103606766332,0.8728595112038077,0.8728595112038077,0.8728595112038077,0.18622082609911358,1.423498951919299
h__time__rms,0.5938705183352354,2.114882594470719,1.5210120761354835,1.4988801862869483,0.8729450772768598,0.8729450772768598,0.8729450772768598,0.18512343826499197,1.4231049943797203
h__time__mean_abs,0.4671284103164101,1.634904231496757,1.1677758211803468,1.4820279673185401,0.8732766458099364,0.8732766458099364,0.8732766458099364,0.1425762417542255,1.105182199726592
h__time__ptp,6.559339396628067,25.292772742285244,18.733433345657176,1.58489435160494,0.8884967110540671,0.8884967110540671,0.8884967110540671,3.5924307963164175,16.32540067736542
h__time__skewness,0.009431815970442872,-0.04876676093156637,-0.05819857690200925,-0.7169478834274821,0.6818118615968769,0.31818813840312316,0.6818118615968769,0.026787968658912538,0.11163026720481344
h__time__kurtosis,0.5771870596001853,1.3049689822863677,0.7277819226861824,0.13452439075502767,0.7047221776565591,0.7047221776565591,0.7047221776565591,0.9150946450234323,7.596025347095197
h__time__crest_factor,5.604888132224579,6.569108702377415,0.9642205701528361,0.4993194975156695,0.7121022514572972,0.7121022514572972,0.7121022514572972,2.0440021773609764,1.811108128785073
h__time__impulse_factor,7.147423644751254,8.528509345494639,1.3810857007433848,0.4843109726500617,0.7152254131236966,0.7152254131236966,0.7152254131236966,2.7460347343243074,2.953492189871721
h__time__clearance_factor,8.493433626811022,10.234258578580306,1.7408249517692838,0.4848605627996635,0.7171827370447618,0.7171827370447618,0.7171827370447618,3.3239913244598713,3.8382913654855972
v__time__mean,-0.00019058417972392112,0.00011968036302398642,0.0003102645427479075,0.01081817942358881,0.5162842932777154,0.5162842932777154,0.5162842932777154,0.03160000350374353,0.025426671780057534
v__time__std,0.6063517294289913,2.488609811769265,1.8822580823402737,1.4286553905616826,0.9696882186213167,0.9696882186213167,0.9696882186213167,0.0727410176004825,1.8618104716219686
v__time__rms,0.607186606422049,2.488809534698857,1.881622928276808,1.4282477951883135,0.9694101288838977,0.9694101288838977,0.9694101288838977,0.07264087656770302,1.8617171260502305
v__time__mean_abs,0.48296030796746015,1.983830184628882,1.500869876661422,1.4114994625312736,0.9685972511899033,0.9685972511899033,0.9685972511899033,0.05768149161934061,1.5026491335561043
v__time__ptp,5.42228833335792,20.90954933995786,15.48726100659994,1.4896787260436382,0.9427669928873201,0.9427669928873201,0.9427669928873201,0.9473296794563726,14.672145654743959
v__time__skewness,0.01327147086705812,-0.04367402410084543,-0.05694549496790355,-0.6102687199704894,0.6986469864698648,0.30135301353013527,0.6986469864698648,0.038164377245979354,0.126324187164291
