feature,feature_family,physical_meaning,rul_score,health_score,early_fault_score,fault_type_score,overall_score,recommended_for,why,caveat,is_label_source,label_source_warning,example_plot
v__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.6936902810310768,0.9220210102100397,0.7992015381438415,0.0,0.6037282073462396,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__mean_abs.png
v__time__rms,time_domain,RMS vibration energy/amplitude level.,0.6841118982901812,0.9184760816122517,0.8036707523343221,0.0,0.6015646830591888,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__rms.png
v__time__std,time_domain,Signal dispersion and vibration intensity.,0.6810073634666814,0.9178587278931353,0.8040583583551748,0.0,0.6007311124287479,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__std.png
mag__time__rms,time_domain,RMS vibration energy/amplitude level.,0.6730699167401286,0.896019641079244,0.7763747383044213,0.0,0.5863660740309484,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming. Used as HI source for FPT-based labels; do not overclaim independent detection ability.,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,figures/curves/mag__time__rms.png
mag__time__mean,time_domain,Numerical feature extracted from the vibration snapshot.,0.6767348233287181,0.8947566959481286,0.7723083411554654,0.0,0.5859499651080781,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__mean.png
mag__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.6767348233287181,0.8947566959481286,0.7723083411554654,0.0,0.5859499651080781,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__mean_abs.png
v__spectral__entropy,spectral,Spectral complexity or broadband excitation.,0.5618910534695146,0.8491184718182536,0.9273178616787898,0.0,0.5845818467416395,"HealthState,EarlyFault",separates health-state label distributions; changes between healthy and post-FPT samples,"Useful for spectral complexity, but physical interpretation is weaker than energy or bearing-frequency features.",False,,figures/curves/v__spectral__entropy.png
mag__time__std,time_domain,Signal dispersion and vibration intensity.,0.6439672701522167,0.8499051917339168,0.7868922776314322,0.0,0.5701911848793915,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__std.png
v__time__ptp,time_domain,Peak-to-peak vibration amplitude.,0.6029393278514796,0.7802035314603908,0.7880836396998857,0.0,0.5428066247529391,"HealthState,EarlyFault",separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__ptp.png
mag__spectral__entropy,spectral,Spectral complexity or broadband excitation.,0.5029531080813076,0.7444947629815611,0.896268257790366,0.0,0.5359290322133087,EarlyFault,changes between healthy and post-FPT samples,"Useful for spectral complexity, but physical interpretation is weaker than energy or bearing-frequency features.",False,,figures/curves/mag__spectral__entropy.png
