feature,rul_score,health_score,early_fault_score,fault_type_score,overall_score,rank_rul,rank_health,rank_early_fault,rank_fault_type,rank_overall,is_label_source,label_source_warning,recommended_for
v__time__mean_abs,0.6936902810310768,0.9220210102100397,0.7992015381438415,0.0,0.6037282073462396,1,1,5,1,1,False,,"RUL,HealthState,EarlyFault"
v__time__rms,0.6841118982901812,0.9184760816122517,0.8036707523343221,0.0,0.6015646830591888,2,2,4,1,2,False,,"RUL,HealthState,EarlyFault"
v__time__std,0.6810073634666814,0.9178587278931353,0.8040583583551748,0.0,0.6007311124287479,3,3,3,1,3,False,,"RUL,HealthState,EarlyFault"
mag__time__rms,0.6730699167401286,0.896019641079244,0.7763747383044213,0.0,0.5863660740309484,6,4,8,1,4,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,"RUL,HealthState,EarlyFault"
mag__time__mean,0.6767348233287181,0.8947566959481286,0.7723083411554654,0.0,0.5859499651080781,4,5,9,1,5,False,,"RUL,HealthState,EarlyFault"
mag__time__mean_abs,0.6767348233287181,0.8947566959481286,0.7723083411554654,0.0,0.5859499651080781,4,5,9,1,5,False,,"RUL,HealthState,EarlyFault"
v__spectral__entropy,0.5618910534695146,0.8491184718182536,0.9273178616787898,0.0,0.5845818467416395,14,8,1,1,7,False,,"HealthState,EarlyFault"
mag__time__std,0.6439672701522167,0.8499051917339168,0.7868922776314322,0.0,0.5701911848793915,7,7,7,1,8,False,,"RUL,HealthState,EarlyFault"
v__time__ptp,0.6029393278514796,0.7802035314603908,0.7880836396998857,0.0,0.5428066247529391,11,9,6,1,9,False,,"HealthState,EarlyFault"
mag__spectral__entropy,0.5029531080813076,0.7444947629815611,0.896268257790366,0.0,0.5359290322133087,18,15,2,1,10,False,,EarlyFault
h__time__std,0.612063284190738,0.7762507922146729,0.7146629931103365,0.0,0.5257442673789368,9,10,14,1,11,False,,RUL
h__time__ptp,0.5749678255457079,0.7748446577567794,0.74991838430952,0.0,0.5249327169030018,12,11,12,1,12,False,,
mag__time__ptp,0.5710370394635818,0.7724038502957187,0.7545325648732756,0.0,0.524493363658144,13,12,11,1,13,False,,
h__time__rms,0.6102932263659855,0.7700833858110128,0.7146845545614573,0.0,0.5237652916846138,10,13,13,1,14,False,,
h__time__mean_abs,0.6158489726314436,0.7674608853508772,0.711428484880648,0.0,0.5236845857157422,8,14,16,1,15,False,,RUL
mag__spectral__centroid,0.5107571596559504,0.5042057128186523,0.7119047686452051,0.0,0.43171691027995196,16,16,15,1,16,False,,
h__spectral__entropy,0.5200284239093076,0.47850098908217786,0.7015327837363414,0.0,0.4250155491819567,15,17,17,1,17,False,,
mag__spectral__rms_frequency,0.48605530130938135,0.3883451120411599,0.615718379237469,0.0,0.37252969814700254,19,19,18,1,18,False,,
v__spectral__centroid,0.5044172234624761,0.40018307806388914,0.5660878290851834,0.0,0.36767203265288717,17,18,19,1,19,False,,
v__spectral__rms_frequency,0.46962994114235146,0.3405640088185973,0.48057007434362525,0.0,0.3226910060761435,20,21,21,1,20,False,,
h__spectral__bandwidth,0.4145404468067152,0.25749754704824956,0.5149928338314489,0.0,0.2967577069216034,23,24,20,1,21,False,,
h__spectral__centroid,0.4467373927047687,0.23965473041853402,0.3973118656261944,0.0,0.2709259971873743,21,25,22,1,22,False,,
v__spectral__bandwidth,0.4250793397161804,0.2616005218484666,0.3406943740982879,0.0,0.25684355891573374,22,23,23,1,23,False,,
v__spectral__peak_frequency,0.2918349325786884,0.36407818668605724,0.20285571855245926,0.0,0.21469220945430123,28,20,32,1,24,False,,
mag__spectral__peak_frequency,0.3209278890350348,0.1686034279766044,0.3288321110393642,0.0,0.20459085701275087,25,26,27,1,25,False,,
h__spectral__peak_frequency,0.3055929435748755,0.3338259099018735,0.16777203137558666,0.0,0.20179772121308392,27,22,34,1,26,False,,
h__time__skewness,0.28045362960714043,0.15482724375247764,0.3406702108893807,0.0,0.19398777106224968,30,27,24,1,27,False,,
v__time__skewness,0.27816062772292166,0.1496795234205171,0.3359660469741867,0.0,0.19095154952940635,33,28,25,1,28,False,,
h__spectral__rms_frequency,0.3924576945687883,0.136171308031108,0.22704122538609095,0.0,0.18891755699649682,24,30,31,1,29,False,,
h__time__clearance_factor,0.28254167367953315,0.11736471883384411,0.3290812242292332,0.0,0.1822469041856526,29,31,26,1,30,False,,
h__time__impulse_factor,0.2804230930224196,0.11029391136799349,0.3268504434073428,0.0,0.17939186194943896,31,35,28,1,31,False,,
h__time__crest_factor,0.28007885812934913,0.10771540652824535,0.32669761993502344,0.0,0.17862297114815448,32,36,29,1,32,False,,
h__time__kurtosis,0.2712534696373479,0.11698443943412255,0.2404997465974908,0.0,0.1571844139172403,34,32,30,1,33,False,,
v__time__kurtosis,0.31910357754242696,0.11566884322608559,0.07327441941896493,0.0,0.12701171004686937,26,33,40,1,34,False,,
mag__time__skewness,0.21671817492667994,0.10679837863041304,0.17006553537643096,0.0,0.12339552223338099,42,37,33,1,35,False,,
mag__time__clearance_factor,0.23393771381844733,0.06385737280514239,0.16440725024469618,0.0,0.11555058421707148,39,39,35,1,36,False,,
mag__spectral__bandwidth,0.2608803546830557,0.13685048467413716,0.06303134760393289,0.0,0.11519054674028145,35,29,41,1,37,False,,
mag__time__impulse_factor,0.23044168271731172,0.04986723101429524,0.15336220663859015,0.0,0.10841778009254927,40,41,36,1,38,False,,
mag__time__crest_factor,0.22333162218452332,0.054881754187408274,0.130728415642205,0.0,0.10223544800353415,41,40,37,1,39,False,,
mag__time__kurtosis,0.18733794551643218,0.11317696904939721,0.10326916618971922,0.0,0.10094602018888715,43,34,38,1,40,False,,
v__time__impulse_factor,0.2515983090896866,0.07021892672322337,0.05996825764310784,0.0,0.09544637336400447,37,38,43,1,41,False,,
v__time__crest_factor,0.2458666337189696,0.04005432654434763,0.07450911722964235,0.0,0.09010751937323991,38,43,39,1,42,False,,
v__time__clearance_factor,0.2537677182997372,0.04927133964960295,0.05240809304274056,0.0,0.08886178774802019,36,42,44,1,43,False,,
