feature,target_column,split_scope,n,pearson,abs_pearson,spearman,abs_spearman,kendall,abs_kendall
h__time__mean,piecewise_rul_norm,fit,616,-0.016088284006382382,0.016088284006382382,-0.05154958098740562,0.05154958098740562,-0.03792154872517565,0.03792154872517565
h__time__std,piecewise_rul_norm,fit,616,-0.7668569781781652,0.7668569781781652,-0.7223552294203195,0.7223552294203195,-0.5718815155171553,0.5718815155171553
h__time__rms,piecewise_rul_norm,fit,616,-0.7669028115574177,0.7669028115574177,-0.7223825407488469,0.7223825407488469,-0.5718578994195528,0.5718578994195528
h__time__mean_abs,piecewise_rul_norm,fit,616,-0.7609046313263638,0.7609046313263638,-0.7223275682915252,0.7223275682915252,-0.5724483018596147,0.5724483018596147
h__time__ptp,piecewise_rul_norm,fit,616,-0.7782528918126919,0.7782528918126919,-0.7477645055428728,0.7477645055428728,-0.5881766228628637,0.5881766228628637
h__time__skewness,piecewise_rul_norm,fit,616,0.2859583851660405,0.2859583851660405,0.2905523892242751,0.2905523892242751,0.2149360083045336,0.2149360083045336
h__time__kurtosis,piecewise_rul_norm,fit,616,-0.10756525422811936,0.10756525422811936,-0.3396021898738925,0.3396021898738925,-0.2468059320190748,0.2468059320190748
h__time__crest_factor,piecewise_rul_norm,fit,616,-0.18534942327506815,0.18534942327506815,-0.32070918147628047,0.32070918147628047,-0.2231544102701952,0.2231544102701952
h__time__impulse_factor,piecewise_rul_norm,fit,616,-0.19561080469456893,0.19561080469456893,-0.3306825790539632,0.3306825790539632,-0.2317742858950989,0.2317742858950989
h__time__clearance_factor,piecewise_rul_norm,fit,616,-0.2018698427470306,0.2018698427470306,-0.336642529816043,0.336642529816043,-0.23704067566045103,0.23704067566045103
v__time__mean,piecewise_rul_norm,fit,616,-0.003441588038772511,0.003441588038772511,-0.03377326958015491,0.03377326958015491,-0.025133431873434954,0.025133431873434954
v__time__std,piecewise_rul_norm,fit,616,-0.7780841675650163,0.7780841675650163,-0.8575438839369286,0.8575438839369286,-0.6863133164499522,0.6863133164499522
v__time__rms,piecewise_rul_norm,fit,616,-0.7780367470832431,0.7780367470832431,-0.8573818725979497,0.8573818725979497,-0.6860653474251261,0.6860653474251261
v__time__mean_abs,piecewise_rul_norm,fit,616,-0.7793546651417753,0.7793546651417753,-0.8576190102711637,0.8576190102711637,-0.687399656939666,0.687399656939666
v__time__ptp,piecewise_rul_norm,fit,616,-0.7726002580547495,0.7726002580547495,-0.820540424154082,0.820540424154082,-0.6502043032157665,0.6502043032157665
v__time__skewness,piecewise_rul_norm,fit,616,0.19004231888931342,0.19004231888931342,0.26453981527225023,0.26453981527225023,0.2005538048646258,0.2005538048646258
v__time__kurtosis,piecewise_rul_norm,fit,616,0.009342982589628871,0.009342982589628871,0.30455543206068736,0.30455543206068736,0.20746151341334998,0.20746151341334998
v__time__crest_factor,piecewise_rul_norm,fit,616,0.11714076274889493,0.11714076274889493,0.2126439589283723,0.2126439589283723,0.1504758698985757,0.1504758698985757
v__time__impulse_factor,piecewise_rul_norm,fit,616,0.10331688090035243,0.10331688090035243,0.21515011639410236,0.21515011639410236,0.15380573966052477,0.15380573966052477
v__time__clearance_factor,piecewise_rul_norm,fit,616,0.0976964236576411,0.0976964236576411,0.21369508182255495,0.21369508182255495,0.15301460039084183,0.15301460039084183
mag__time__mean,piecewise_rul_norm,fit,616,-0.7868163801773519,0.7868163801773519,-0.8044175109773976,0.8044175109773976,-0.6434146751550548,0.6434146751550548
mag__time__std,piecewise_rul_norm,fit,616,-0.7891617534980826,0.7891617534980826,-0.8014263958032442,0.8014263958032442,-0.6415490034444592,0.6415490034444592
mag__time__rms,piecewise_rul_norm,fit,616,-0.7887792635763798,0.7887792635763798,-0.8043332091130859,0.8043332091130859,-0.6436154119846758,0.6436154119846758
mag__time__mean_abs,piecewise_rul_norm,fit,616,-0.7868163801773519,0.7868163801773519,-0.8044175109773976,0.8044175109773976,-0.6434146751550548,0.6434146751550548
mag__time__ptp,piecewise_rul_norm,fit,616,-0.7823553753651498,0.7823553753651498,-0.7598603566012598,0.7598603566012598,-0.5983315448319283,0.5983315448319283
