figure_id,path,source_type,used_in_report,used_in_slides,caption_cn,notes
"F001","reports/feature_analysis/xjtu_sy/all_conditions_bearing_index_manual_basic/figures/feature_recommendation_matrix.png","feature_analysis","yes","yes","XJTU-SY 三任务推荐特征矩阵","特征分析主图"
"F002","reports/feature_analysis/xjtu_sy/all_conditions_bearing_index_manual_basic/figures/rul_top_features.png","feature_analysis","yes","yes","XJTU-SY RUL 相关特征排序","用于解释寿命预测特征选择"
"F003","reports/feature_analysis/xjtu_sy/all_conditions_bearing_index_manual_basic/figures/health_state_boxplots.png","feature_analysis","yes","optional","XJTU-SY 健康阶段特征箱线图","用于说明阶段可分性"
"F004","reports/feature_analysis/xjtu_sy/all_conditions_bearing_index_manual_basic/figures/early_fault_effects.png","feature_analysis","yes","yes","XJTU-SY 早期故障特征效应","用于说明预警特征"
"F005","reports/feature_analysis/xjtu_sy/all_conditions_bearing_index_manual_basic/figures/feature_score_heatmap.png","feature_analysis","appendix","optional","XJTU-SY 特征评分热力图","适合附录"
"F006","reports/feature_analysis/phm2012/manual_basic/figures/feature_recommendation_matrix.png","feature_analysis","yes","yes","PHM2012 三任务推荐特征矩阵","特征分析主图"
"F007","reports/feature_analysis/phm2012/manual_basic/figures/rul_top_features.png","feature_analysis","yes","yes","PHM2012 RUL 相关特征排序","用于解释寿命预测特征选择"
"F008","reports/feature_analysis/phm2012/manual_basic/figures/health_state_boxplots.png","feature_analysis","yes","optional","PHM2012 健康阶段特征箱线图","用于说明阶段可分性"
"F009","reports/feature_analysis/phm2012/manual_basic/figures/early_fault_effects.png","feature_analysis","yes","yes","PHM2012 早期故障特征效应","用于说明预警特征"
"F010","reports/final_defense/assets/gru_sequence/xjtu_rul_gru_test_true_pred_by_bearing.png","gru_sequence","yes","yes","XJTU-SY GRU RUL 分轴承预测曲线","RUL 主结果图"
"F011","reports/final_defense/assets/gru_sequence/xjtu_rul_gru_test_pred_vs_true.png","gru_sequence","yes","yes","XJTU-SY GRU RUL 预测值与真实值散点图","RUL 主结果图"
"F012","reports/final_defense/assets/gru_sequence/xjtu_rul_gru_test_residuals.png","gru_sequence","yes","optional","XJTU-SY GRU RUL 残差分布","用于解释误差"
"F013","reports/final_defense/assets/gru_sequence/xjtu_early_gru_test_confusion_matrix.png","gru_sequence","yes","yes","XJTU-SY GRU EarlyFault 混淆矩阵","分类主结果图"
