step_id,experiment_id,dataset,split,task,task_label,task_type,model,model_family,feature_subset,label_source_included,feature_count,target_columns,train_examples,val_examples,test_examples,primary_metric,metric_direction,val_primary,test_primary,val_MAE,val_MSE,val_RMSE,test_MAE,test_MSE,test_RMSE,val_Accuracy,val_MacroF1,val_WeightedF1,test_Accuracy,test_MacroF1,test_WeightedF1,fit_status,run_id
Y1,y01_xjtu_rul_xgboost_full_manual_basic_no_reference,XJTU-SY,xjtu_bearing_index_split,rul_tabular,RUL,regression,xgboost_regressor,XGBoost,full_manual_basic_no_reference,no,44,piecewise_rul_norm,7032,1679,505,RMSE,lower_is_better,0.3020166071279257,0.4314536988810559,0.2445996105670929,0.09121403098106384,0.3020166071279257,0.37335461378097534,0.18615229427814484,0.4314536988810559,,,,,,,completed,20260622-002247_y01_xjtu_rul_xgboost_full_manual_basic_no_reference_93cdc491
Y2,y02_xjtu_rul_random_forest_full_manual_basic_no_reference,XJTU-SY,xjtu_bearing_index_split,rul_tabular,RUL,regression,random_forest_regressor,RandomForest,full_manual_basic_no_reference,no,44,piecewise_rul_norm,7032,1679,505,RMSE,lower_is_better,0.28349515915241896,0.39965771085922863,0.1709870887452076,0.08036950526285534,0.28349515915241896,0.31525961600793634,0.15972628584923879,0.39965771085922863,,,,,,,completed,20260622-002447_y02_xjtu_rul_random_forest_full_manual_basic_no_reference_3f03d893
Y3,y03_xjtu_health_xgboost_compact_non_label_source,XJTU-SY,xjtu_bearing_index_split,health_state_tabular,HealthState,multiclass_classification,xgboost_classifier,XGBoost,compact_non_label_source,no,6,health_state_id,7032,1679,505,WeightedF1,higher_is_better,0.5839393934428085,0.36512102813980735,,,,,,,0.6902918403811793,0.35852611616513486,0.5839393934428085,0.3782178217821782,0.30983328411535005,0.36512102813980735,completed,20260622-002618_y03_xjtu_health_xgboost_compact_non_label_source_b9f49c06
Y4,y04_xjtu_health_random_forest_compact_non_label_source,XJTU-SY,xjtu_bearing_index_split,health_state_tabular,HealthState,multiclass_classification,random_forest_classifier,RandomForest,compact_non_label_source,no,6,health_state_id,7032,1679,505,WeightedF1,higher_is_better,0.5833143742780375,0.35072182939021695,,,,,,,0.6867182846932698,0.358017375869951,0.5833143742780375,0.36633663366336633,0.2948485272968408,0.35072182939021695,completed,20260622-002745_y04_xjtu_health_random_forest_compact_non_label_source_8ff9cb6e
Y5,y05_xjtu_early_xgboost_compact_non_label_source,XJTU-SY,xjtu_bearing_index_split,early_fault_tabular,EarlyFault,binary_classification,xgboost_classifier,XGBoost,compact_non_label_source,no,5,early_fault,7032,1679,505,WeightedF1,higher_is_better,0.6309843919700102,0.8393685654657599,,,,,,,0.7081596188207266,0.5442029659965252,0.6309843919700102,0.8495049504950495,0.8237638674601425,0.8393685654657599,completed,20260622-002918_y05_xjtu_early_xgboost_compact_non_label_source_c5dd4768
Y6,y06_xjtu_early_random_forest_compact_non_label_source,XJTU-SY,xjtu_bearing_index_split,early_fault_tabular,EarlyFault,binary_classification,random_forest_classifier,RandomForest,compact_non_label_source,no,5,early_fault,7032,1679,505,WeightedF1,higher_is_better,0.6259318472151616,0.8370473352760115,,,,,,,0.6950565812983919,0.5418143055111395,0.6259318472151616,0.8475247524752475,0.8211271039473018,0.8370473352760115,completed,20260622-003054_y06_xjtu_early_random_forest_compact_non_label_source_9fa9d8ba
Y7,y07_phm_rul_xgboost_compact_non_label_source,PHM2012,phm2012_official,rul_tabular,RUL,regression,xgboost_regressor,XGBoost,compact_non_label_source,no,7,piecewise_rul_norm,7534,4330,13025,RMSE,lower_is_better,0.2913166128161648,0.35710509390091466,0.23419606685638428,0.08486536890268326,0.2913166128161648,0.2692122161388397,0.12752404808998108,0.35710509390091466,,,,,,,completed,20260622-003232_y07_phm_rul_xgboost_compact_non_label_source_18f54f3d
Y8,y08_phm_rul_random_forest_compact_non_label_source,PHM2012,phm2012_official,rul_tabular,RUL,regression,random_forest_regressor,RandomForest,compact_non_label_source,no,7,piecewise_rul_norm,7534,4330,13025,RMSE,lower_is_better,0.292971197458282,0.33757502543253376,0.22435753677142495,0.08583212254013964,0.292971197458282,0.2377967972896694,0.11395689779577582,0.33757502543253376,,,,,,,completed,20260622-003336_y08_phm_rul_random_forest_compact_non_label_source_4b0aac29
Y9,y09_phm_health_xgboost_compact_non_label_source,PHM2012,phm2012_official,health_state_tabular,HealthState,multiclass_classification,xgboost_classifier,XGBoost,compact_non_label_source,no,5,health_state_id,7534,4330,13025,WeightedF1,higher_is_better,0.24053985058418662,0.2953739317519941,,,,,,,0.25242494226327944,0.2621605027109286,0.24053985058418662,0.2856046065259117,0.23951120016333818,0.2953739317519941,completed,20260622-003441_y09_phm_health_xgboost_compact_non_label_source_5a62bcbc
Y10,y10_phm_health_random_forest_compact_non_label_source,PHM2012,phm2012_official,health_state_tabular,HealthState,multiclass_classification,random_forest_classifier,RandomForest,compact_non_label_source,no,5,health_state_id,7534,4330,13025,WeightedF1,higher_is_better,0.26153209305097624,0.3404705416237097,,,,,,,0.2789838337182448,0.28273459999299067,0.26153209305097624,0.3335124760076775,0.2693671736778901,0.3404705416237097,completed,20260622-003548_y10_phm_health_random_forest_compact_non_label_source_3f568d10
Y11,y11_phm_early_xgboost_compact_non_label_source,PHM2012,phm2012_official,early_fault_tabular,EarlyFault,binary_classification,xgboost_classifier,XGBoost,compact_non_label_source,no,7,early_fault,7534,4330,13025,WeightedF1,higher_is_better,0.49111525098806624,0.5781653973628067,,,,,,,0.48452655889145496,0.46564206816384374,0.49111525098806624,0.6033013435700576,0.5772386151204745,0.5781653973628067,completed,20260622-003656_y11_phm_early_xgboost_compact_non_label_source_8085bf17
Y12,y12_phm_early_random_forest_compact_non_label_source,PHM2012,phm2012_official,early_fault_tabular,EarlyFault,binary_classification,random_forest_classifier,RandomForest,compact_non_label_source,no,7,early_fault,7534,4330,13025,WeightedF1,higher_is_better,0.4647250467834286,0.6132200909089756,,,,,,,0.4558891454965358,0.44811234196663363,0.4647250467834286,0.6244913627639156,0.6126213859374661,0.6132200909089756,completed,20260622-003753_y12_phm_early_random_forest_compact_non_label_source_49c8a6f5
