experiment_id,dataset,task,model_family,feature_subset,primary_metric,metric_direction,non_mlp_test_primary,mlp_default_experiment_id,mlp_default_test_primary,delta_non_mlp_minus_mlp,relative_effect_vs_mlp,effect_vs_mlp_default
y01_xjtu_rul_xgboost_full_manual_basic_no_reference,XJTU-SY,rul_tabular,XGBoost,full_manual_basic_no_reference,RMSE,lower_is_better,0.4314536988810559,xjtu_main_rul_mlp_full_manual_basic_no_reference,0.4216453132580611,0.009808385622994797,-0.023262171580196684,worse_or_equal
y02_xjtu_rul_random_forest_full_manual_basic_no_reference,XJTU-SY,rul_tabular,RandomForest,full_manual_basic_no_reference,RMSE,lower_is_better,0.39965771085922863,xjtu_main_rul_mlp_full_manual_basic_no_reference,0.4216453132580611,-0.021987602398832462,0.052147152375378855,improved
y03_xjtu_health_xgboost_compact_non_label_source,XJTU-SY,health_state_tabular,XGBoost,compact_non_label_source,WeightedF1,higher_is_better,0.36512102813980735,xjtu_main_health_mlp_compact_non_label_source,0.3711011190718926,-0.005980090932085236,-0.016114451357735534,worse_or_equal
y04_xjtu_health_random_forest_compact_non_label_source,XJTU-SY,health_state_tabular,RandomForest,compact_non_label_source,WeightedF1,higher_is_better,0.35072182939021695,xjtu_main_health_mlp_compact_non_label_source,0.3711011190718926,-0.020379289681675627,-0.054915732220488386,worse_or_equal
y05_xjtu_early_xgboost_compact_non_label_source,XJTU-SY,early_fault_tabular,XGBoost,compact_non_label_source,WeightedF1,higher_is_better,0.8393685654657599,xjtu_main_early_mlp_compact_non_label_source,0.8416822329553054,-0.0023136674895455345,-0.0027488610296807748,worse_or_equal
y06_xjtu_early_random_forest_compact_non_label_source,XJTU-SY,early_fault_tabular,RandomForest,compact_non_label_source,WeightedF1,higher_is_better,0.8370473352760115,xjtu_main_early_mlp_compact_non_label_source,0.8416822329553054,-0.004634897679293926,-0.005506707279563124,worse_or_equal
y07_phm_rul_xgboost_compact_non_label_source,PHM2012,rul_tabular,XGBoost,compact_non_label_source,RMSE,lower_is_better,0.35710509390091466,phm_official_rul_mlp_compact_non_label_source,0.3924750218026824,-0.03536992790176774,0.0901202011259459,improved
y08_phm_rul_random_forest_compact_non_label_source,PHM2012,rul_tabular,RandomForest,compact_non_label_source,RMSE,lower_is_better,0.33757502543253376,phm_official_rul_mlp_compact_non_label_source,0.3924750218026824,-0.05489999637014864,0.13988150409671096,improved
y09_phm_health_xgboost_compact_non_label_source,PHM2012,health_state_tabular,XGBoost,compact_non_label_source,WeightedF1,higher_is_better,0.2953739317519941,phm_official_health_mlp_compact_non_label_source,0.4067245716520877,-0.11135063990009358,-0.2737740664346755,worse_or_equal
y10_phm_health_random_forest_compact_non_label_source,PHM2012,health_state_tabular,RandomForest,compact_non_label_source,WeightedF1,higher_is_better,0.3404705416237097,phm_official_health_mlp_compact_non_label_source,0.4067245716520877,-0.06625403002837799,-0.16289655124414687,worse_or_equal
y11_phm_early_xgboost_compact_non_label_source,PHM2012,early_fault_tabular,XGBoost,compact_non_label_source,WeightedF1,higher_is_better,0.5781653973628067,phm_official_early_mlp_compact_non_label_source,0.6645557876846732,-0.08639039032186646,-0.12999719801230303,worse_or_equal
y12_phm_early_random_forest_compact_non_label_source,PHM2012,early_fault_tabular,RandomForest,compact_non_label_source,WeightedF1,higher_is_better,0.6132200909089756,phm_official_early_mlp_compact_non_label_source,0.6645557876846732,-0.051335696775697603,-0.07724813736789847,worse_or_equal
