rank,feature,importance
1,h__time__rms,0.2814767360687256
2,h__time__mean_abs,0.2791072428226471
3,h__time__std,0.1798667013645172
4,mag__time__mean,0.04536847025156021
5,v__time__mean_abs,0.030070044100284576
6,v__spectral__rms_frequency,0.02165827713906765
7,mag__time__mean_abs,0.017926204949617386
8,h__time__ptp,0.01501350849866867
9,mag__spectral__bandwidth,0.012856154702603817
10,v__spectral__bandwidth,0.009936465881764889
11,mag__spectral__entropy,0.009157728403806686
12,mag__spectral__centroid,0.008481908589601517
13,mag__spectral__rms_frequency,0.007912963628768921
14,v__time__kurtosis,0.007828501053154469
15,v__time__rms,0.0073437499813735485
16,mag__time__skewness,0.005472053773701191
17,h__spectral__entropy,0.005336679518222809
18,mag__time__std,0.00467955507338047
19,v__time__std,0.004394950810819864
20,h__spectral__bandwidth,0.004383772145956755
21,v__time__skewness,0.0038842589128762484
22,v__time__ptp,0.003526415443047881
23,h__time__kurtosis,0.003420956199988723
24,mag__time__clearance_factor,0.002813509199768305
25,h__spectral__rms_frequency,0.0025298043619841337
26,v__spectral__peak_frequency,0.0024647500831633806
27,v__spectral__entropy,0.002228577621281147
28,h__spectral__centroid,0.002042397391051054
29,mag__time__kurtosis,0.001984303118661046
30,h__time__skewness,0.0017294199205935001
31,v__time__impulse_factor,0.0017187255434691906
32,v__time__crest_factor,0.0016878331080079079
33,mag__spectral__peak_frequency,0.0015621724305674434
34,v__time__clearance_factor,0.0013967760605737567
35,h__spectral__peak_frequency,0.0013323997845873237
36,v__spectral__centroid,0.00132568774279207
37,mag__time__ptp,0.0009716780623421073
38,h__time__clearance_factor,0.0009229990537278354
39,mag__time__crest_factor,0.0009063710458576679
40,mag__time__impulse_factor,0.0007699229172430933
41,h__time__impulse_factor,0.0007317824638448656
42,v__time__mean,0.0006887551862746477
43,h__time__crest_factor,0.0006317867082543671
44,h__time__mean,0.00045696337474510074
