rank,feature,importance
1,h__time__mean_abs,0.6162357994775979
2,h__time__rms,0.15319370543748762
3,h__time__std,0.10182129220863999
4,h__spectral__bandwidth,0.01470010418075182
5,mag__spectral__centroid,0.012342754177693746
6,h__spectral__entropy,0.009572521245437877
7,v__time__kurtosis,0.009356198976275577
8,v__time__skewness,0.008743445947699737
9,v__spectral__rms_frequency,0.007272583190077398
10,mag__spectral__entropy,0.006382451819686193
11,mag__spectral__bandwidth,0.005623175847348133
12,mag__time__skewness,0.005388243665640649
13,h__time__ptp,0.005109389837884946
14,v__spectral__entropy,0.0032816034624660526
15,v__spectral__peak_frequency,0.003279640465764685
16,mag__time__kurtosis,0.003165864128061539
17,v__spectral__bandwidth,0.002898469790341555
18,h__spectral__centroid,0.0027096969634682632
19,h__spectral__peak_frequency,0.0026438346538618404
20,mag__time__std,0.0024884517828485117
21,h__time__kurtosis,0.0024016294056192623
22,h__spectral__rms_frequency,0.0022181390863736214
23,mag__spectral__rms_frequency,0.0019643352671755323
24,h__time__skewness,0.0019296479169354785
25,v__time__mean_abs,0.0018809894144266473
26,mag__time__mean_abs,0.0013682699769881539
27,mag__time__mean,0.0013011000239573642
28,mag__spectral__peak_frequency,0.0012786702716803444
29,v__spectral__centroid,0.0011385056193519648
30,h__time__mean,0.0010569108610189995
31,v__time__std,0.0009909974784678161
32,v__time__rms,0.0009726451032653989
33,v__time__ptp,0.000885187572596871
34,v__time__mean,0.0007664211307535764
35,mag__time__ptp,0.0005338547790448054
36,h__time__crest_factor,0.00045573260750281496
37,v__time__clearance_factor,0.0004181787137642154
38,v__time__crest_factor,0.0003985448375026238
39,h__time__clearance_factor,0.00036159089210102447
40,v__time__impulse_factor,0.0003360976344055558
41,mag__time__clearance_factor,0.0003145892840228002
42,h__time__impulse_factor,0.0003105138593341486
43,mag__time__crest_factor,0.00026955522904159276
44,mag__time__impulse_factor,0.00023866577563501817
